config_id,asset,lookback_years,stress_pctile,stress_tilt_fraction,persistence_days,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb5_pc70_tf0.0_pd1,SP500,5,70,0.0,1,6.0,85.29177530033024,0.15310417639605303,85.27722344483453,0.1530965091120862,True,85.16371051004357,0.15234464076000903,85.14917987853534,0.15233705290993851,True
cfg00_lb5_pc70_tf0.0_pd1,GOLD,5,70,0.0,1,6.0,2.112812958198405,0.4995348398529883,2.2312322553607693,0.5049170813430391,False,2.109645026988693,0.496383341991026,2.227883543414292,0.5019039393179513,False
cfg00_lb5_pc70_tf0.0_pd1,SILVER,5,70,0.0,1,6.0,1.6217120087868513,0.3087472107341084,1.686659698183187,0.3196772758715409,False,1.61928146639007,0.30690462256817175,1.6841286627489933,0.31790937005101605,False
cfg00_lb5_pc70_tf0.0_pd1,BTC,5,70,0.0,1,6.0,6.869170932548631,0.9633163289889514,9.855679074865842,1.0673092354078406,False,6.858873127416014,0.961265583817802,9.84088617851966,1.0652491717139174,False
cfg00_lb5_pc70_tf0.0_pd1,OIL,5,70,0.0,1,6.0,1.1878477201105322,0.21933171617621378,1.1798550873762443,0.22782375575083372,False,1.186068621182562,0.21769703653930592,1.1780850183556857,0.2262905906561879,False
cfg01_lb5_pc70_tf0.0_pd3,SP500,5,70,0.0,3,6.0,85.28577003264189,0.15310071583830956,85.27722344483453,0.1530965091120862,True,85.15771394641303,0.15234120468133952,85.14917987853534,0.15233705290993851,True
cfg01_lb5_pc70_tf0.0_pd3,GOLD,5,70,0.0,3,6.0,2.1662912639113014,0.504620329704631,2.2312322553607693,0.5049170813430391,False,2.1630415477728393,0.5015095635879486,2.227883543414292,0.5019039393179513,False
cfg01_lb5_pc70_tf0.0_pd3,SILVER,5,70,0.0,3,6.0,1.6572907868327402,0.31547073802396725,1.686659698183187,0.3196772758715409,False,1.6548053356748758,0.3136499277220918,1.6841286627489933,0.31790937005101605,False
cfg01_lb5_pc70_tf0.0_pd3,BTC,5,70,0.0,3,6.0,7.172907218966919,0.9746108050951572,9.855679074865842,1.0673092354078406,False,7.162153353344186,0.9725346305093818,9.84088617851966,1.0652491717139174,False
cfg01_lb5_pc70_tf0.0_pd3,OIL,5,70,0.0,3,6.0,1.19112948410691,0.22316652558465977,1.1798550873762443,0.22782375575083372,False,1.1893439719039378,0.2215532454295162,1.1780850183556857,0.2262905906561879,False
