config_id,asset,corr_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_cw60_pl252_k0.5_mn0.25,SP500,60,252,0.5,0.25,85.27725005748403,0.15309652721069994,85.27722344483453,0.1530965091120862,True,85.14920645122598,0.15233707097330929,85.14917987853534,0.15233705290993851,True
cfg00_cw60_pl252_k0.5_mn0.25,GOLD,60,252,0.5,0.25,2.2311849661963348,0.5049290820129845,2.2312322553607693,0.5049170813430391,False,2.2278363252546067,0.5019158641212033,2.227883543414292,0.5019039393179513,False
cfg00_cw60_pl252_k0.5_mn0.25,SILVER,60,252,0.5,0.25,1.6865812272523226,0.31965096807987337,1.686659698183187,0.3196772758715409,False,1.6840503096423505,0.3178829371309509,1.6841286627489933,0.31790937005101605,False
cfg00_cw60_pl252_k0.5_mn0.25,BTC,60,252,0.5,0.25,9.85682022995729,1.0674361609080547,9.855679074865842,1.0673092354078406,True,9.84202562016501,1.0653761162118343,9.84088617851966,1.0652491717139174,True
cfg00_cw60_pl252_k0.5_mn0.25,OIL,60,252,0.5,0.25,1.1797681124280224,0.22772754866379039,1.1798550873762443,0.22782375575083372,False,1.1779981740004768,0.22619414478180955,1.1780850183556857,0.2262905906561879,False
cfg01_cw60_pl252_k0.5_mn0.5,SP500,60,252,0.5,0.5,85.27725005748403,0.15309652721069994,85.27722344483453,0.1530965091120862,True,85.14920645122598,0.15233707097330929,85.14917987853534,0.15233705290993851,True
cfg01_cw60_pl252_k0.5_mn0.5,GOLD,60,252,0.5,0.5,2.2311849661963348,0.5049290820129845,2.2312322553607693,0.5049170813430391,False,2.2278363252546067,0.5019158641212033,2.227883543414292,0.5019039393179513,False
cfg01_cw60_pl252_k0.5_mn0.5,SILVER,60,252,0.5,0.5,1.6865812272523226,0.31965096807987337,1.686659698183187,0.3196772758715409,False,1.6840503096423505,0.3178829371309509,1.6841286627489933,0.31790937005101605,False
cfg01_cw60_pl252_k0.5_mn0.5,BTC,60,252,0.5,0.5,9.85682022995729,1.0674361609080547,9.855679074865842,1.0673092354078406,True,9.84202562016501,1.0653761162118343,9.84088617851966,1.0652491717139174,True
cfg01_cw60_pl252_k0.5_mn0.5,OIL,60,252,0.5,0.5,1.1797681124280224,0.22772754866379039,1.1798550873762443,0.22782375575083372,False,1.1779981740004768,0.22619414478180955,1.1780850183556857,0.2262905906561879,False
cfg02_cw60_pl252_k1.0_mn0.25,SP500,60,252,1.0,0.25,85.27720138464142,0.15309649076633086,85.27722344483453,0.1530965091120862,False,85.14915785146553,0.15233703447776806,85.14917987853534,0.15233705290993851,False
cfg02_cw60_pl252_k1.0_mn0.25,GOLD,60,252,1.0,0.25,2.230929425623513,0.504919019980607,2.2312322553607693,0.5049170813430391,False,2.2275811683763393,0.5019055796969719,2.227883543414292,0.5019039393179513,False
cfg02_cw60_pl252_k1.0_mn0.25,SILVER,60,252,1.0,0.25,1.6862077345086357,0.31956944773567314,1.686659698183187,0.3196772758715409,False,1.6836773776985785,0.3178011752889928,1.6841286627489933,0.31790937005101605,False
cfg02_cw60_pl252_k1.0_mn0.25,BTC,60,252,1.0,0.25,9.85188143340119,1.0672533530986794,9.855679074865842,1.0673092354078406,False,9.837094239219345,1.0651930878642493,9.84088617851966,1.0652491717139174,False
cfg02_cw60_pl252_k1.0_mn0.25,OIL,60,252,1.0,0.25,1.179667425107577,0.22759926517366386,1.1798550873762443,0.22782375575083372,False,1.1778976378621921,0.22606551667939226,1.1780850183556857,0.2262905906561879,False
cfg03_cw60_pl252_k1.0_mn0.5,SP500,60,252,1.0,0.5,85.27723733911722,0.15309651778427819,85.27722344483453,0.1530965091120862,True,85.14919375195576,0.1523370615382161,85.14917987853534,0.15233705290993851,True
cfg03_cw60_pl252_k1.0_mn0.5,GOLD,60,252,1.0,0.5,2.2312399602906483,0.5049665410089755,2.2312322553607693,0.5049170813430391,True,2.2278912367752115,0.5019533231010188,2.227883543414292,0.5019039393179513,True
