asset,signal,p,ending_wealth,total_invested,wealth_over_invested,xirr,max_drawdown,longest_weeks_underwater,max_underwater_vs_money_in,annualized_vol,sharpe,sortino,calmar,annualized_return,avg_cost_basis,n_buys,n_sells,dca_wealth_over_invested,buy_and_hold_wealth_over_invested,buy_only_wealth_over_invested,rebalance_band_wealth_over_invested,avg_invested_fraction
BTC,Signal A (shock),1.0,9747.859410845598,1500.0,6.498572940563732,0.3378590449250618,-0.7387151735628767,254,-8842.896889299453,0.3901563687825007,0.6291209856537803,0.8837950072551871,0.28164585673579473,0.20805606794184772,6055.549404117864,3,6,53.23144414960886,182.04314794366775,14.004897970914042,24.691201040348037,0.4484297558146549
BTC,Signal A (shock),2.5,21391.59259852424,4000.0,5.34789814963106,0.28878656984383083,-0.6155098698777602,254,-8573.645179526682,0.3611860972105243,0.8878125102496371,1.3483169742298668,0.5202671255660084,0.3202295507588102,3595.05389984635,8,14,53.231444149608826,182.04314794366775,23.59000836291344,12.635321843772914,0.3286066343410343
BTC,Signal A (shock),5.0,34520.409136474234,12000.0,2.876700761372853,0.17944514945059675,-0.4689431615045516,188,-8280.363541583087,0.26213190478603243,0.9157266122510729,1.3467236896132369,0.5428955527886241,0.2545871568914586,2839.8579824190233,24,32,53.23144414960886,182.04314794366775,29.863236854633172,6.967772735956949,0.23255738080279406
BTC,Signal A (shock),10.0,53640.255900988544,29500.0,1.8183137593555438,0.10347616734507638,-0.21656748679180438,164,-5291.400759271695,0.14325045427535452,1.002450929659339,1.5733091252113645,0.7658356558030144,0.16585510327281217,2589.653693695385,59,64,53.231444149608755,182.04314794366775,32.74852995555617,3.5931373807955365,0.13381201868037762
BTC,Signal A (shock),15.0,59022.62876404641,41000.0,1.439576311318205,0.06352758918554696,-0.21218564943707874,164,-4186.2948345514815,0.09551216831769754,0.8139690520504608,1.056614125326613,0.45981475888660533,0.09756609323510812,2319.976934043474,82,95,53.23144414960887,182.04314794366775,36.55525635536806,2.9521254370689234,0.10441367660665532
BTC,Signal B (trend-stretch),1.0,48116.08729717413,16000.0,3.007255456073383,0.19605834958701185,-0.7039240288965805,165,-8777.97341077502,0.38772261436196936,0.4728625454953933,0.6553556341658473,0.1982865441791657,0.1395786630545781,10643.718929379025,32,17,53.231444149608826,182.04314794366775,7.96783080473996,10.078142900354328,0.29151863852370674
BTC,Signal B (trend-stretch),2.5,65464.838241184654,25000.0,2.618593529647386,0.18330556627975234,-0.7394604034941896,137,-10822.377653794996,0.38637234414964683,0.4260830646150615,0.575597372611188,0.160361566432623,0.1185810286192277,11451.475411017584,50,22,53.23144414960891,182.04314794366778,7.405801306695028,9.388258288609887,0.2800238904975937
BTC,Signal B (trend-stretch),5.0,66000.12273075242,37500.0,1.7600032728200647,0.10572055004334328,-0.7521018633684887,276,-8756.891465968702,0.3237272200289213,0.2745317313560164,0.3839884389645384,0.08206648062667789,0.06172235299941842,11166.47119267274,75,37,53.2314441496088,182.04314794366778,7.5948211479871315,4.965510069772426,0.1809641364003548
BTC,Signal B (trend-stretch),10.0,86224.74040928416,56000.0,1.5397275073086458,0.08411822551959915,-0.7481719607192041,447,-10923.35837501307,0.2999313246032244,0.1886871263557096,0.24927631072370285,0.04506435567244314,0.03371588734199937,11793.478046955977,112,54,53.23144414960883,182.04314794366778,7.191038235271883,4.487285101396926,0.1664073493060147
BTC,Signal B (trend-stretch),15.0,108770.6066583388,72000.0,1.5107028702547056,0.0830292679156921,-0.8413455888867418,452,-12206.089138165302,0.3348556690252823,-0.0035480569466207206,-0.0038690472855118026,-0.05435414073483839,-0.04573061654498545,11526.748462068515,144,71,53.231444149608805,182.04314794366775,7.357439250242911,4.115112430815636,0.1538221582024368
Gold,Signal A (shock),1.0,8090.464677265378,5000.0,1.6180929354530755,0.037410523034766066,-0.17139663875567723,594,-576.5028655770598,0.06610547209112312,0.39923676683753506,0.4852335908309071,0.2504922207729737,0.04293352467493272,1091.9202953506024,10,23,5.254147331626659,15.848850298407104,3.975564900189128,3.0510215249309045,0.24851078416343034
Gold,Signal A (shock),2.5,19399.00263363323,12000.0,1.6165835528027692,0.036887487806786336,-0.12088427880308883,441,-864.6954484509188,0.0695596094443334,0.5023106336749513,0.5903329307764982,0.4271431739249177,0.051634894525576014,981.5184966132236,24,29,5.254147331626646,15.848850298407102,4.422738863280547,3.3790806358530774,0.2908384221157293
Gold,Signal A (shock),5.0,43110.95802863651,29500.0,1.46138840775039,0.02827539942790348,-0.0893347812840658,273,-661.1069928231354,0.04119425543758015,0.44221737674946093,0.4907871396038224,0.40120055993731213,0.03584116427304451,879.0582853054755,59,71,5.254147331626656,15.848850298407102,4.938239104920656,2.394532658683853,0.14967027260012938
Gold,Signal A (shock),10.0,83728.32092549221,61500.0,1.3614361126096295,0.023835957054395653,-0.04552336660329215,299,-1108.6124396607484,0.028438210522006156,0.49459710719734085,0.6353211473662178,0.702395932420233,0.031975427532227485,906.4312513824464,123,143,5.254147331626645,15.848850298407102,4.789111135984458,2.1169904950418164,0.1002407896068284
Gold,Signal A (shock),15.0,119627.26169429999,89500.0,1.3366174490983238,0.022468308527442957,-0.058352352213973724,274,-1119.695487233781,0.02469364932895234,0.41066815245674765,0.5138935463980719,0.4805312502356399,0.028040128763571204,896.3269988043508,179,206,5.254147331626648,15.848850298407102,4.843098563125565,1.9657694034696067,0.07106490445903912
Gold,Signal B (trend-stretch),1.0,26450.574060541534,19000.0,1.3921354768706071,0.033917099378898564,-0.18951444020882602,547,-1991.7734832052665,0.05483182784156303,0.48015329015953856,0.6117109344725344,0.23000781646516394,0.04358980258104994,1188.6875330612493,38,40,5.254147331626656,15.848850298407104,3.6519269187761574,2.955104430792295,0.2351286741404395
Gold,Signal B (trend-stretch),2.5,43487.18992907788,32500.0,1.3380673824331657,0.027805613524875462,-0.22115803800872746,585,-4283.517122049081,0.05514767414921445,0.4249896219117214,0.5304655850930867,0.1834624169915911,0.04057418819019931,1176.865948699194,65,50,5.25414733162666,15.848850298407102,3.6886104188825994,2.8855951586711717,0.22560044296719708
Gold,Signal B (trend-stretch),5.0,82464.60356350262,62500.0,1.3194336570160419,0.02405261115747171,-0.1630136802791492,557,-6010.944887275444,0.043107686997399586,0.36193052355874006,0.44704991761616475,0.20289334791138092,0.033074391347192034,1081.1298123138959,125,103,5.254147331626647,15.848850298407104,4.015244007293762,2.441900858817945,0.15765512956606606
Gold,Signal B (trend-stretch),10.0,119672.26941731777,91000.0,1.3150798837067887,0.023629655258694066,-0.14234449909456237,547,-7551.63146999407,0.04104090046076535,0.38464620031809393,0.4723580097901681,0.23429629155734394,0.033350788261443665,1088.394716004847,182,166,5.254147331626653,15.848850298407104,3.988442736964436,2.3394549325469534,0.14028218763306455
Gold,Signal B (trend-stretch),15.0,159801.5213284678,119500.0,1.3372512245060066,0.023950290850032592,-0.12579387256875751,526,-8598.705306990145,0.041114928553907595,0.3976689858506587,0.4614141736656187,0.2697479352955884,0.03393263739825869,1013.34750083125,239,224,5.254147331626664,15.848850298407104,4.283821686478799,2.2767031438528917,0.12908381744199557
Silver,Signal A (shock),1.0,9315.936126000004,5000.0,1.8631872252000008,0.04545847153431601,-0.2618038437137479,687,-1017.0649924558156,0.1055909232751061,0.3505016298840738,0.39350224702815734,0.19257962197522202,0.05041808525405367,14.128565933661406,10,23,5.225751059217292,13.18889013690718,4.620780620527623,3.1973031358733177,0.22880148064266614
Silver,Signal A (shock),2.5,16059.033679077329,10000.0,1.6059033679077328,0.035916263138739545,-0.22948416554205797,620,-1105.7689082731831,0.09112648375206107,0.31003101890187756,0.3279267992676925,0.18634721833428883,0.042763735900527955,13.586377191398318,20,40,5.225751059217292,13.18889013690718,4.805181156271887,3.1996817360833236,0.22906938124997608
Silver,Signal A (shock),5.0,39320.207167963614,26500.0,1.4837814025646647,0.029115912564539194,-0.1572325130337181,432,-1794.1336815233826,0.06532925033575936,0.30964651541611227,0.33188497430577313,0.23269505154128114,0.036587227724346194,12.788089505640814,53,71,5.2257510592172896,13.188890136907178,5.105141282699986,2.686023350144884,0.16559646731110117
Silver,Signal A (shock),10.0,86993.35881061161,63500.0,1.3699741544978206,0.024337865985157713,-0.08020155910981697,309,-1402.9562242246175,0.031115526530852387,0.3287967733748328,0.371157903914252,0.34888494417054955,0.02798111647241952,13.516628879221004,127,153,5.225751059217292,13.18889013690718,4.8299767823374555,2.146853993389758,0.08781511067285469
Silver,Signal A (shock),15.0,124353.35830685632,92000.0,1.3516669381180035,0.02232446837587079,-0.0568410356420187,305,-1829.7134299569952,0.025674018005546927,0.25568403977835685,0.2859578902373667,0.428970708218474,0.024383139315228286,12.605552436195682,184,215,5.225751059217282,13.188890136907178,5.179067239818032,2.019101187249099,0.0669381780939965
