config_id,band_pct,min_days_between_rebalances,wealth_over_invested_fee0.001,sharpe_fee0.001,turnover_fee0.001,total_fees_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,dca_turnover_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,turnover_fee0.0025,total_fees_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,dca_turnover_fee0.0025,beats_dca_fee0.0025
cfg00_bp0.02_md0,0.02,0,1.9998874074908888,1.054144708234209,5.077918656185548,3513.958669408492,2.936827935697141,0.8017476338865982,1.0,False,1.9885428040962092,1.0380741430684692,5.058568122566439,8751.396062193147,2.932423704725081,0.7982484049375094,1.0,False
cfg01_bp0.02_md5,0.02,5,2.0044194784613576,1.0603476404484002,4.669047399110807,3230.8153238842337,2.936827935697141,0.8017476338865982,1.0,False,1.993788493167279,1.0446547044756485,4.652841143888615,8048.981230357166,2.932423704725081,0.7982484049375094,1.0,False
cfg02_bp0.02_md20,0.02,20,2.1160085731999927,1.0918478752759586,4.270473656050699,2954.8030068151093,2.936827935697141,0.8017476338865982,1.0,False,2.106156865870213,1.0778990629165732,4.257546340141186,7364.627101369428,2.932423704725081,0.7982484049375094,1.0,False
cfg03_bp0.03_md0,0.03,0,1.9480198621807536,1.0180205203044803,3.9853228989148843,2757.336107498558,2.936827935697141,0.8017476338865982,1.0,False,1.9639275822822735,1.0174110717125369,4.167071426359507,7207.992406884897,2.932423704725081,0.7982484049375094,1.0,False
cfg04_bp0.03_md5,0.03,5,1.9730563952953306,1.036400787770168,3.974436115390151,2749.7970099076792,2.936827935697141,0.8017476338865982,1.0,False,1.9642303880010354,1.0222187778130525,3.9634733331139036,6855.513207953446,2.932423704725081,0.7982484049375094,1.0,False
cfg05_bp0.03_md20,0.03,20,1.9660923078568835,1.0062408305114268,3.484566679712861,2410.562425701156,2.936827935697141,0.8017476338865982,1.0,False,1.9581354112681624,0.9928748962861251,3.4759507303529333,6011.489701923517,2.932423704725081,0.7982484049375094,1.0,False
cfg06_bp0.05_md0,0.05,0,2.01264631021536,1.06045141736431,3.5085145036701166,2427.146293791556,2.936827935697141,0.8017476338865982,1.0,False,2.0047480241755244,1.047343378707357,3.5001305180014928,6053.350959290085,2.932423704725081,0.7982484049375094,1.0,False
cfg07_bp0.05_md5,0.05,5,2.01264631021536,1.06045141736431,3.5085145036701166,2427.146293791556,2.936827935697141,0.8017476338865982,1.0,False,2.0047480241755244,1.047343378707357,3.5001305180014928,6053.350959290085,2.932423704725081,0.7982484049375094,1.0,False
cfg08_bp0.05_md20,0.05,20,2.0043016423998,1.0177379166034912,2.9113116511453083,2013.583318418126,2.936827935697141,0.8017476338865982,1.0,False,1.9973518669203227,1.0057413864312779,2.9056486394818597,5024.15420710297,2.932423704725081,0.7982484049375094,1.0,False
cfg09_bp0.08_md0,0.08,0,2.1364797141547536,1.1117115903021646,3.421937134401014,2367.1914655727023,2.936827935697141,0.8017476338865982,1.0,False,2.1283996699240864,1.0988215951162714,3.413923311792354,5904.104733540513,2.932423704725081,0.7982484049375094,1.0,False
cfg10_bp0.08_md5,0.08,5,2.108034981128651,1.0955474980233781,3.084784370693703,2133.713176705389,2.936827935697141,0.8017476338865982,1.0,False,2.100670403527214,1.0831696227029497,3.0783263127268423,5323.102428908345,2.932423704725081,0.7982484049375094,1.0,False
cfg11_bp0.08_md20,0.08,20,2.012858998431318,1.039913424589311,2.8162203162255373,1947.7325689861846,2.936827935697141,0.8017476338865982,1.0,False,2.0063218194690036,1.0278024625737903,2.8112733932430847,4860.76706205209,2.932423704725081,0.7982484049375094,1.0,False
cfg12_bp0.1_md0,0.1,0,2.124206201414936,1.100349442630641,2.7358422181172393,1892.0707360461881,2.936827935697141,0.8017476338865982,1.0,False,2.117722191311878,1.0887001861447119,2.7314812265985515,4722.626873548741,2.932423704725081,0.7982484049375094,1.0,False
cfg13_bp0.1_md5,0.1,5,2.124206201414936,1.100349442630641,2.7358422181172393,1892.0707360461881,2.936827935697141,0.8017476338865982,1.0,False,2.117722191311878,1.0887001861447119,2.7314812265985515,4722.626873548741,2.932423704725081,0.7982484049375094,1.0,False
cfg14_bp0.1_md20,0.1,20,2.124192807440751,1.1000229697844663,2.735851810746101,1892.077378941675,2.936827935697141,0.8017476338865982,1.0,False,2.117708785394333,1.0883742044503706,2.7314907396044026,4722.643342940122,2.932423704725081,0.7982484049375094,1.0,False
cfg15_bp0.15_md0,0.15,0,1.9943487172580967,1.0422416091283713,2.0398957820174526,1410.127829047086,2.936827935697141,0.8017476338865982,1.0,False,1.9894962310516002,1.0316988759182188,2.0378685672616306,3521.8099570716977,2.932423704725081,0.7982484049375094,1.0,False
cfg16_bp0.15_md5,0.15,5,1.9943487172580967,1.0422416091283713,2.0398957820174526,1410.127829047086,2.936827935697141,0.8017476338865982,1.0,False,1.9894962310516002,1.0316988759182188,2.0378685672616306,3521.8099570716977,2.932423704725081,0.7982484049375094,1.0,False
cfg17_bp0.15_md20,0.15,20,1.9943487172580967,1.0422416091283713,2.0398957820174526,1410.127829047086,2.936827935697141,0.8017476338865982,1.0,False,1.9894962310516002,1.0316988759182188,2.0378685672616306,3521.8099570716977,2.932423704725081,0.7982484049375094,1.0,False
