config_id,asset,ts_lookback,k,min_mult,max_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_tl126_k0.5_mn0.25_mx1.5,SP500,126,0.5,0.25,1.5,85.27723806419955,0.15309651849108477,85.27722344483453,0.1530965091120862,True,85.14919447594941,0.1523370622641918,85.14917987853534,0.15233705290993851,True
cfg00_tl126_k0.5_mn0.25_mx1.5,GOLD,126,0.5,0.25,1.5,2.2311367503519093,0.504902485704388,2.2312322553607693,0.5049170813430391,False,2.2277881818063485,0.5018893147813795,2.227883543414292,0.5019039393179513,False
cfg00_tl126_k0.5_mn0.25_mx1.5,SILVER,126,0.5,0.25,1.5,1.6865341188554892,0.3196601644882438,1.686659698183187,0.3196772758715409,False,1.6840032719788463,0.3178922376909766,1.6841286627489933,0.31790937005101605,False
cfg00_tl126_k0.5_mn0.25_mx1.5,BTC,126,0.5,0.25,1.5,9.855812318562066,1.0672787166414475,9.855679074865842,1.0673092354078406,False,9.841019222150262,1.0652184624384253,9.84088617851966,1.0652491717139174,False
cfg00_tl126_k0.5_mn0.25_mx1.5,OIL,126,0.5,0.25,1.5,1.1801534598522245,0.22787192435614997,1.1798550873762443,0.22782375575083372,True,1.1783829428249455,0.22633876302958356,1.1780850183556857,0.2262905906561879,True
cfg01_tl126_k0.5_mn0.25_mx2.0,SP500,126,0.5,0.25,2.0,85.27723806419955,0.15309651849108477,85.27722344483453,0.1530965091120862,True,85.14919447594941,0.1523370622641918,85.14917987853534,0.15233705290993851,True
cfg01_tl126_k0.5_mn0.25_mx2.0,GOLD,126,0.5,0.25,2.0,2.2311367503519093,0.504902485704388,2.2312322553607693,0.5049170813430391,False,2.2277881818063485,0.5018893147813795,2.227883543414292,0.5019039393179513,False
cfg01_tl126_k0.5_mn0.25_mx2.0,SILVER,126,0.5,0.25,2.0,1.6865341188554892,0.3196601644882438,1.686659698183187,0.3196772758715409,False,1.6840032719788463,0.3178922376909766,1.6841286627489933,0.31790937005101605,False
cfg01_tl126_k0.5_mn0.25_mx2.0,BTC,126,0.5,0.25,2.0,9.855812318562066,1.0672787166414475,9.855679074865842,1.0673092354078406,False,9.841019222150262,1.0652184624384253,9.84088617851966,1.0652491717139174,False
cfg01_tl126_k0.5_mn0.25_mx2.0,OIL,126,0.5,0.25,2.0,1.1801534598522245,0.22787192435614997,1.1798550873762443,0.22782375575083372,True,1.1783829428249455,0.22633876302958356,1.1780850183556857,0.2262905906561879,True
cfg02_tl126_k0.5_mn0.5_mx1.5,SP500,126,0.5,0.5,1.5,85.27723806419955,0.15309651849108477,85.27722344483453,0.1530965091120862,True,85.14919447594941,0.1523370622641918,85.14917987853534,0.15233705290993851,True
cfg02_tl126_k0.5_mn0.5_mx1.5,GOLD,126,0.5,0.5,1.5,2.2311367503519093,0.504902485704388,2.2312322553607693,0.5049170813430391,False,2.2277881818063485,0.5018893147813795,2.227883543414292,0.5019039393179513,False
cfg02_tl126_k0.5_mn0.5_mx1.5,SILVER,126,0.5,0.5,1.5,1.6865341188554892,0.3196601644882438,1.686659698183187,0.3196772758715409,False,1.6840032719788463,0.3178922376909766,1.6841286627489933,0.31790937005101605,False
cfg02_tl126_k0.5_mn0.5_mx1.5,BTC,126,0.5,0.5,1.5,9.855812318562066,1.0672787166414475,9.855679074865842,1.0673092354078406,False,9.841019222150262,1.0652184624384253,9.84088617851966,1.0652491717139174,False
cfg02_tl126_k0.5_mn0.5_mx1.5,OIL,126,0.5,0.5,1.5,1.1801534598522245,0.22787192435614997,1.1798550873762443,0.22782375575083372,True,1.1783829428249455,0.22633876302958356,1.1780850183556857,0.2262905906561879,True
cfg03_tl126_k0.5_mn0.5_mx2.0,SP500,126,0.5,0.5,2.0,85.27723806419955,0.15309651849108477,85.27722344483453,0.1530965091120862,True,85.14919447594941,0.1523370622641918,85.14917987853534,0.15233705290993851,True
cfg03_tl126_k0.5_mn0.5_mx2.0,GOLD,126,0.5,0.5,2.0,2.2311367503519093,0.504902485704388,2.2312322553607693,0.5049170813430391,False,2.2277881818063485,0.5018893147813795,2.227883543414292,0.5019039393179513,False
cfg03_tl126_k0.5_mn0.5_mx2.0,SILVER,126,0.5,0.5,2.0,1.6865341188554892,0.3196601644882438,1.686659698183187,0.3196772758715409,False,1.6840032719788463,0.3178922376909766,1.6841286627489933,0.31790937005101605,False
cfg03_tl126_k0.5_mn0.5_mx2.0,BTC,126,0.5,0.5,2.0,9.855812318562066,1.0672787166414475,9.855679074865842,1.0673092354078406,False,9.841019222150262,1.0652184624384253,9.84088617851966,1.0652491717139174,False
cfg03_tl126_k0.5_mn0.5_mx2.0,OIL,126,0.5,0.5,2.0,1.1801534598522245,0.22787192435614997,1.1798550873762443,0.22782375575083372,True,1.1783829428249455,0.22633876302958356,1.1780850183556857,0.2262905906561879,True
cfg04_tl126_k1.0_mn0.25_mx1.5,SP500,126,1.0,0.25,1.5,85.2771583876587,0.15309645930354002,85.27722344483453,0.1530965091120862,False,85.14911491904286,0.15233700302356648,85.14917987853534,0.15233705290993851,False
cfg04_tl126_k1.0_mn0.25_mx1.5,GOLD,126,1.0,0.25,1.5,2.2311355685409042,0.5049120988283703,2.2312322553607693,0.5049170813430391,False,2.227787001769829,0.5018988285834798,2.227883543414292,0.5019039393179513,False
cfg04_tl126_k1.0_mn0.25_mx1.5,SILVER,126,1.0,0.25,1.5,1.686487228466976,0.31965562728451236,1.686659698183187,0.3196772758715409,False,1.683956451996319,0.31788764514986373,1.6841286627489933,0.31790937005101605,False
cfg04_tl126_k1.0_mn0.25_mx1.5,BTC,126,1.0,0.25,1.5,9.850490257797615,1.0668453317280397,9.855679074865842,1.0673092354078406,False,9.835705152468048,1.0647844972686693,9.84088617851966,1.0652491717139174,False
