config_id,lookback_days,top_n,abs_mom_buffer_bps,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb126_n1_buf0,126,1,0,8.71487223156586,1.1548849077274832,2.936827935697141,0.8017476338865982,True,8.383177885339885,1.1382949261273942,2.932423704725081,0.7982484049375094,True
cfg01_lb126_n1_buf50,126,1,50,8.71487223156586,1.1548849077274832,2.936827935697141,0.8017476338865982,True,8.383177885339885,1.1382949261273942,2.932423704725081,0.7982484049375094,True
cfg02_lb126_n2_buf0,126,2,0,2.731897287589793,1.003519872532676,2.936827935697141,0.8017476338865982,False,2.5647352540537143,0.9577180394876615,2.932423704725081,0.7982484049375094,False
cfg03_lb126_n2_buf50,126,2,50,2.5247262818209153,0.9413125049166897,2.936827935697141,0.8017476338865982,False,2.3727045069440287,0.8957442571606598,2.932423704725081,0.7982484049375094,False
cfg04_lb189_n1_buf0,189,1,0,5.194137978670925,1.038387753913863,2.936827935697141,0.8017476338865982,True,5.00184287646219,1.024932272704126,2.932423704725081,0.7982484049375094,True
cfg05_lb189_n1_buf50,189,1,50,5.063629422917259,1.030490216444389,2.936827935697141,0.8017476338865982,True,4.87627482078783,1.0170365561231012,2.932423704725081,0.7982484049375094,True
cfg06_lb189_n2_buf0,189,2,0,2.6362905314037013,0.9999826763822055,2.936827935697141,0.8017476338865982,False,2.5087679727552867,0.9669655303168728,2.932423704725081,0.7982484049375094,False
cfg07_lb189_n2_buf50,189,2,50,2.6393846372270446,1.0014838373957302,2.936827935697141,0.8017476338865982,False,2.511680432169908,0.9684295752623479,2.932423704725081,0.7982484049375094,False
cfg08_lb252_n1_buf0,252,1,0,4.3726942588858835,0.9564050324730032,2.936827935697141,0.8017476338865982,True,4.2786391090553435,0.948315842146349,2.932423704725081,0.7982484049375094,True
cfg09_lb252_n1_buf50,252,1,50,4.315146569348048,0.9470804399495222,2.936827935697141,0.8017476338865982,True,4.222540026590284,0.9389901883746598,2.932423704725081,0.7982484049375094,True
cfg10_lb252_n2_buf0,252,2,0,1.9551786482734317,0.7687450723459671,2.936827935697141,0.8017476338865982,False,1.873545056780268,0.7382218901356726,2.932423704725081,0.7982484049375094,False
cfg11_lb252_n2_buf50,252,2,50,1.935789353875544,0.752241774219157,2.936827935697141,0.8017476338865982,False,1.8552201695994137,0.7216895866301263,2.932423704725081,0.7982484049375094,False
