config_id,asset,ath_lookback_years,ladder,near_high_mult,max_lump_cap,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_alunb_ladmild_nhm0.75_mlc2.0,SP500,,mild,0.75,2.0,85.27766445233709,0.15312607890645674,85.27722344483453,0.1530965091120862,True,85.14962022386482,0.15236661092021775,85.14917987853534,0.15233705290993851,True
cfg00_alunb_ladmild_nhm0.75_mlc2.0,GOLD,,mild,0.75,2.0,2.2312413035111427,0.5054940536038773,2.2312322553607693,0.5049170813430391,True,2.227892577978859,0.5024822141764589,2.227883543414292,0.5019039393179513,True
cfg00_alunb_ladmild_nhm0.75_mlc2.0,SILVER,,mild,0.75,2.0,1.686621666610377,0.31952238224733454,1.686659698183187,0.3196772758715409,False,1.6840906882806481,0.31775428258123195,1.6841286627489933,0.31790937005101605,False
cfg00_alunb_ladmild_nhm0.75_mlc2.0,BTC,,mild,0.75,2.0,9.853298023054553,1.067244910789733,9.855679074865842,1.0673092354078406,False,9.838508701861237,1.0651847976828448,9.84088617851966,1.0652491717139174,False
cfg00_alunb_ladmild_nhm0.75_mlc2.0,OIL,,mild,0.75,2.0,1.179831017285517,0.2264468855315338,1.1798550873762443,0.22782375575083372,False,1.1780609844062362,0.2249124655449638,1.1780850183556857,0.2262905906561879,False
cfg01_alunb_ladmild_nhm0.75_mlc3.0,SP500,,mild,0.75,3.0,85.27766445233709,0.15312607890645674,85.27722344483453,0.1530965091120862,True,85.14962022386482,0.15236661092021775,85.14917987853534,0.15233705290993851,True
cfg01_alunb_ladmild_nhm0.75_mlc3.0,GOLD,,mild,0.75,3.0,2.2312413035111427,0.5054940536038773,2.2312322553607693,0.5049170813430391,True,2.227892577978859,0.5024822141764589,2.227883543414292,0.5019039393179513,True
cfg01_alunb_ladmild_nhm0.75_mlc3.0,SILVER,,mild,0.75,3.0,1.686621666610377,0.31952238224733454,1.686659698183187,0.3196772758715409,False,1.6840906882806481,0.31775428258123195,1.6841286627489933,0.31790937005101605,False
cfg01_alunb_ladmild_nhm0.75_mlc3.0,BTC,,mild,0.75,3.0,9.853298023054553,1.067244910789733,9.855679074865842,1.0673092354078406,False,9.838508701861237,1.0651847976828448,9.84088617851966,1.0652491717139174,False
cfg01_alunb_ladmild_nhm0.75_mlc3.0,OIL,,mild,0.75,3.0,1.179831017285517,0.2264468855315338,1.1798550873762443,0.22782375575083372,False,1.1780609844062362,0.2249124655449638,1.1780850183556857,0.2262905906561879,False
cfg02_alunb_ladmild_nhm1.0_mlc2.0,SP500,,mild,1.0,2.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg02_alunb_ladmild_nhm1.0_mlc2.0,GOLD,,mild,1.0,2.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg02_alunb_ladmild_nhm1.0_mlc2.0,SILVER,,mild,1.0,2.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg02_alunb_ladmild_nhm1.0_mlc2.0,BTC,,mild,1.0,2.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg02_alunb_ladmild_nhm1.0_mlc2.0,OIL,,mild,1.0,2.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg03_alunb_ladmild_nhm1.0_mlc3.0,SP500,,mild,1.0,3.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg03_alunb_ladmild_nhm1.0_mlc3.0,GOLD,,mild,1.0,3.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg03_alunb_ladmild_nhm1.0_mlc3.0,SILVER,,mild,1.0,3.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg03_alunb_ladmild_nhm1.0_mlc3.0,BTC,,mild,1.0,3.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg03_alunb_ladmild_nhm1.0_mlc3.0,OIL,,mild,1.0,3.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg04_alunb_ladmoderate_nhm0.75_mlc2.0,SP500,,moderate,0.75,2.0,85.27766445233709,0.15312607890645674,85.27722344483453,0.1530965091120862,True,85.14962022386482,0.15236661092021775,85.14917987853534,0.15233705290993851,True
