config_id,asset,window_def,ladder,mult_near,max_lump_cap,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_trading252_ladmild_mn1.5_mlc2.0,SP500,trading252,mild,1.5,2.0,85.27294846060393,0.15309717635993517,85.27722344483453,0.1530965091120862,False,85.14491131320045,0.15233764358720445,85.14917987853534,0.15233705290993851,False
cfg00_trading252_ladmild_mn1.5_mlc2.0,GOLD,trading252,mild,1.5,2.0,2.2313195079416355,0.5049511544680839,2.2312322553607693,0.5049170813430391,True,2.2279706649852824,0.501937968986474,2.227883543414292,0.5019039393179513,True
cfg00_trading252_ladmild_mn1.5_mlc2.0,SILVER,trading252,mild,1.5,2.0,1.6868825028368752,0.31977023888833317,1.686659698183187,0.3196772758715409,True,1.6843511328611607,0.31800231379284133,1.6841286627489933,0.31790937005101605,True
cfg00_trading252_ladmild_mn1.5_mlc2.0,BTC,trading252,mild,1.5,2.0,9.84460984894494,1.0645799369233273,9.855679074865842,1.0673092354078406,False,9.829833573058098,1.0625151014287444,9.84088617851966,1.0652491717139174,False
cfg00_trading252_ladmild_mn1.5_mlc2.0,OIL,trading252,mild,1.5,2.0,1.1803158375934604,0.22795060287242816,1.1798550873762443,0.22782375575083372,True,1.1785450767557613,0.22641731685637323,1.1780850183556857,0.2262905906561879,True
cfg01_trading252_ladmild_mn1.5_mlc3.0,SP500,trading252,mild,1.5,3.0,85.27294846060393,0.15309717635993517,85.27722344483453,0.1530965091120862,False,85.14491131320045,0.15233764358720445,85.14917987853534,0.15233705290993851,False
cfg01_trading252_ladmild_mn1.5_mlc3.0,GOLD,trading252,mild,1.5,3.0,2.2313195079416355,0.5049511544680839,2.2312322553607693,0.5049170813430391,True,2.2279706649852824,0.501937968986474,2.227883543414292,0.5019039393179513,True
cfg01_trading252_ladmild_mn1.5_mlc3.0,SILVER,trading252,mild,1.5,3.0,1.6868825028368752,0.31977023888833317,1.686659698183187,0.3196772758715409,True,1.6843511328611607,0.31800231379284133,1.6841286627489933,0.31790937005101605,True
cfg01_trading252_ladmild_mn1.5_mlc3.0,BTC,trading252,mild,1.5,3.0,9.84460984894494,1.0645799369233273,9.855679074865842,1.0673092354078406,False,9.829833573058098,1.0625151014287444,9.84088617851966,1.0652491717139174,False
cfg01_trading252_ladmild_mn1.5_mlc3.0,OIL,trading252,mild,1.5,3.0,1.1803158375934604,0.22795060287242816,1.1798550873762443,0.22782375575083372,True,1.1785450767557613,0.22641731685637323,1.1780850183556857,0.2262905906561879,True
