asset,strat_wealth_fee0.001,dca_wealth_fee0.001,strat_sharpe_fee0.001,dca_sharpe_fee0.001,strat_wealth_fee0.0025,dca_wealth_fee0.0025,strat_sharpe_fee0.0025,dca_sharpe_fee0.0025
SP500,85.35848625148378,85.27722344483453,0.15501707139922863,0.1530965091120862,85.23032240185753,85.14917987853534,0.1543086557438886,0.15233705290993851
GOLD,2.22736879138471,2.2312322553607693,0.5053859800450253,0.5049170813430391,2.224026623841118,2.227883543414292,0.502401880851445,0.5019039393179513
SILVER,1.688027812053853,1.686659698183187,0.3225258291387911,0.3196772758715409,1.685496209792345,1.6841286627489933,0.3208397573957305,0.31790937005101605
BTC,9.750423380806396,9.855679074865842,1.0761017767764072,1.0673092354078406,9.735825595409336,9.84088617851966,1.0740984808971732,1.0652491717139174
OIL,1.1765952385117904,1.1798550873762443,0.23042846895277871,0.22782375575083372,1.174833040015689,1.1780850183556857,0.228921335449039,0.2262905906561879
