config_id,asset,rsi_period,oversold_threshold,overbought_threshold,buy_mult_oversold,buy_mult_overbought,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_rp2_ot10.0_obt85.0_bmo1.5,SP500,2,10.0,85.0,1.5,0.5,82.52763495952354,0.1623073310483945,85.27722344483453,0.1530965091120862,False,82.40505730488968,0.1616137003959944,85.14917987853534,0.15233705290993851,False
cfg00_rp2_ot10.0_obt85.0_bmo1.5,GOLD,2,10.0,85.0,1.5,0.5,2.152922152168458,0.4989936817298049,2.2312322553607693,0.5049170813430391,False,2.149775179356106,0.4959703822217704,2.227883543414292,0.5019039393179513,False
cfg00_rp2_ot10.0_obt85.0_bmo1.5,SILVER,2,10.0,85.0,1.5,0.5,1.6579329580834918,0.31698709245030493,1.686659698183187,0.3196772758715409,False,1.6555081388274533,0.3152772195574468,1.6841286627489933,0.31790937005101605,False
cfg00_rp2_ot10.0_obt85.0_bmo1.5,BTC,2,10.0,85.0,1.5,0.5,9.55084313734935,1.0722430640287033,9.855679074865842,1.0673092354078406,False,9.536647411755304,1.0702380123482766,9.84088617851966,1.0652491717139174,False
cfg00_rp2_ot10.0_obt85.0_bmo1.5,OIL,2,10.0,85.0,1.5,0.5,1.1648046382127064,0.21464901448381646,1.1798550873762443,0.22782375575083372,False,1.1631712767988047,0.21307071687843707,1.1780850183556857,0.2262905906561879,False
cfg01_rp2_ot10.0_obt85.0_bmo2.0,SP500,2,10.0,85.0,2.0,0.5,85.49955778447676,0.15626125905668334,85.27722344483453,0.1530965091120862,True,85.37118259203159,0.15556319040873617,85.14917987853534,0.15233705290993851,True
cfg01_rp2_ot10.0_obt85.0_bmo2.0,GOLD,2,10.0,85.0,2.0,0.5,2.226220957812844,0.5050552419942238,2.2312322553607693,0.5049170813430391,False,2.222880513743084,0.5020762932885872,2.227883543414292,0.5019039393179513,False
cfg01_rp2_ot10.0_obt85.0_bmo2.0,SILVER,2,10.0,85.0,2.0,0.5,1.6859129666408146,0.3221491426164413,1.686659698183187,0.3196772758715409,False,1.6833845398228693,0.32046151270186624,1.6841286627489933,0.31790937005101605,False
cfg01_rp2_ot10.0_obt85.0_bmo2.0,BTC,2,10.0,85.0,2.0,0.5,9.731737126157157,1.0757770289111421,9.855679074865842,1.0673092354078406,False,9.71717875985963,1.0737733662444198,9.84088617851966,1.0652491717139174,False
cfg01_rp2_ot10.0_obt85.0_bmo2.0,OIL,2,10.0,85.0,2.0,0.5,1.1688903371083164,0.2265674286431205,1.1798550873762443,0.22782375575083372,False,1.1671454137574153,0.2250522963622855,1.1780850183556857,0.2262905906561879,False
cfg02_rp2_ot10.0_obt90.0_bmo1.5,SP500,2,10.0,90.0,1.5,0.5,83.4586585766635,0.16197542666046386,85.27722344483453,0.1530965091120862,False,83.33438949665894,0.16127533817987463,85.14917987853534,0.15233705290993851,False
cfg02_rp2_ot10.0_obt90.0_bmo1.5,GOLD,2,10.0,90.0,1.5,0.5,2.171964877137837,0.5007273807785285,2.2312322553607693,0.5049170813430391,False,2.168765212480625,0.497699199296016,2.227883543414292,0.5019039393179513,False
cfg02_rp2_ot10.0_obt90.0_bmo1.5,SILVER,2,10.0,90.0,1.5,0.5,1.664119357648801,0.3181595831811393,1.686659698183187,0.3196772758715409,False,1.6616709756139847,0.31645410163506577,1.6841286627489933,0.31790937005101605,False
cfg02_rp2_ot10.0_obt90.0_bmo1.5,BTC,2,10.0,90.0,1.5,0.5,9.585326440396553,1.072914702764264,9.855679074865842,1.0673092354078406,False,9.571064660837798,1.0709103938403184,9.84088617851966,1.0652491717139174,False
cfg02_rp2_ot10.0_obt90.0_bmo1.5,OIL,2,10.0,90.0,1.5,0.5,1.169161792089215,0.21878342268592996,1.1798550873762443,0.22782375575083372,False,1.1674937814155837,0.2172189231262312,1.1780850183556857,0.2262905906561879,False
cfg03_rp2_ot10.0_obt90.0_bmo2.0,SP500,2,10.0,90.0,2.0,0.5,85.35848625148378,0.15501707139922863,85.27722344483453,0.1530965091120862,True,85.23032240185753,0.1543086557438886,85.14917987853534,0.15233705290993851,True
cfg03_rp2_ot10.0_obt90.0_bmo2.0,GOLD,2,10.0,90.0,2.0,0.5,2.22736879138471,0.5053859800450253,2.2312322553607693,0.5049170813430391,False,2.224026623841118,0.502401880851445,2.227883543414292,0.5019039393179513,False
cfg03_rp2_ot10.0_obt90.0_bmo2.0,SILVER,2,10.0,90.0,2.0,0.5,1.688027812053853,0.3225258291387911,1.686659698183187,0.3196772758715409,True,1.685496209792345,0.3208397573957305,1.6841286627489933,0.31790937005101605,True
cfg03_rp2_ot10.0_obt90.0_bmo2.0,BTC,2,10.0,90.0,2.0,0.5,9.750423380806396,1.0761017767764072,9.855679074865842,1.0673092354078406,False,9.735825595409336,1.0740984808971732,9.84088617851966,1.0652491717139174,False
cfg03_rp2_ot10.0_obt90.0_bmo2.0,OIL,2,10.0,90.0,2.0,0.5,1.1765952385117904,0.23042846895277871,1.1798550873762443,0.22782375575083372,False,1.174833040015689,0.228921335449039,1.1780850183556857,0.2262905906561879,False
cfg04_rp2_ot15.0_obt85.0_bmo1.5,SP500,2,15.0,85.0,1.5,0.5,83.09665910908613,0.16243497395593798,85.27722344483453,0.1530965091120862,False,82.97307336469433,0.16174284236769226,85.14917987853534,0.15233705290993851,False
cfg04_rp2_ot15.0_obt85.0_bmo1.5,GOLD,2,15.0,85.0,1.5,0.5,2.163642091136857,0.49994988355300424,2.2312322553607693,0.5049170813430391,False,2.1604610345472017,0.49692975349681356,2.227883543414292,0.5019039393179513,False
cfg04_rp2_ot15.0_obt85.0_bmo1.5,SILVER,2,15.0,85.0,1.5,0.5,1.659516591626456,0.31717060365852623,1.686659698183187,0.3196772758715409,False,1.6570710998385716,0.31546284242023204,1.6841286627489933,0.31790937005101605,False
cfg04_rp2_ot15.0_obt85.0_bmo1.5,BTC,2,15.0,85.0,1.5,0.5,9.558416786517055,1.0674967689580699,9.855679074865842,1.0673092354078406,False,9.544203987155864,1.0654799177499112,9.84088617851966,1.0652491717139174,False
cfg04_rp2_ot15.0_obt85.0_bmo1.5,OIL,2,15.0,85.0,1.5,0.5,1.164245176488194,0.21571414344056353,1.1798550873762443,0.22782375575083372,False,1.1625963261396453,0.2141438776822045,1.1780850183556857,0.2262905906561879,False
cfg05_rp2_ot15.0_obt85.0_bmo2.0,SP500,2,15.0,85.0,2.0,0.5,85.39622462782863,0.15519245506507195,85.27722344483453,0.1530965091120862,True,85.26800395795162,0.15449264591559558,85.14917987853534,0.15233705290993851,True
cfg05_rp2_ot15.0_obt85.0_bmo2.0,GOLD,2,15.0,85.0,2.0,0.5,2.227697167874142,0.5056323170696377,2.2312322553607693,0.5049170813430391,False,2.224354507272759,0.5026497379224337,2.227883543414292,0.5019039393179513,False
cfg05_rp2_ot15.0_obt85.0_bmo2.0,SILVER,2,15.0,85.0,2.0,0.5,1.687856800378494,0.3223761443395075,1.686659698183187,0.3196772758715409,True,1.685325454891273,0.32069109130039264,1.6841286627489933,0.31790937005101605,True
cfg05_rp2_ot15.0_obt85.0_bmo2.0,BTC,2,15.0,85.0,2.0,0.5,9.730108818017413,1.0692735068770627,9.855679074865842,1.0673092354078406,False,9.715547327391535,1.0672534784469425,9.84088617851966,1.0652491717139174,False
cfg05_rp2_ot15.0_obt85.0_bmo2.0,OIL,2,15.0,85.0,2.0,0.5,1.1697107872439547,0.2281324431219931,1.1798550873762443,0.22782375575083372,False,1.1679589257617689,0.22662579215475498,1.1780850183556857,0.2262905906561879,False
cfg06_rp2_ot15.0_obt90.0_bmo1.5,SP500,2,15.0,90.0,1.5,0.5,84.02768272622608,0.16210141180483253,85.27722344483453,0.1530965091120862,False,83.90240555646359,0.1614028401890792,85.14917987853534,0.15233705290993851,False
cfg06_rp2_ot15.0_obt90.0_bmo1.5,GOLD,2,15.0,90.0,1.5,0.5,2.1826844466455673,0.5018401169975337,2.2312322553607693,0.5049170813430391,False,2.179450730789041,0.4988174276552524,2.227883543414292,0.5019039393179513,False
cfg06_rp2_ot15.0_obt90.0_bmo1.5,SILVER,2,15.0,90.0,1.5,0.5,1.6655808548591262,0.31831303502531716,1.686659698183187,0.3196772758715409,False,1.6631120660836567,0.31660966157914033,1.6841286627489933,0.31790937005101605,False
cfg06_rp2_ot15.0_obt90.0_bmo1.5,BTC,2,15.0,90.0,1.5,0.5,9.592900089564257,1.068171670022717,9.855679074865842,1.0673092354078406,False,9.578621236238359,1.066155573483029,9.84088617851966,1.0652491717139174,False
cfg06_rp2_ot15.0_obt90.0_bmo1.5,OIL,2,15.0,90.0,1.5,0.5,1.1686023303647024,0.21983262509140944,1.1798550873762443,0.22782375575083372,False,1.1669188307564236,0.21827600640971875,1.1780850183556857,0.2262905906561879,False
cfg07_rp2_ot15.0_obt90.0_bmo2.0,SP500,2,15.0,90.0,2.0,0.5,85.27567755897118,0.15412143963836,85.27722344483453,0.1530965091120862,False,85.14763772366636,0.15341160825050815,85.14917987853534,0.15233705290993851,False
cfg07_rp2_ot15.0_obt90.0_bmo2.0,GOLD,2,15.0,90.0,2.0,0.5,2.2286035154269292,0.5059144683707659,2.2312322553607693,0.5049170813430391,False,2.225259493943334,0.5029269345729257,2.227883543414292,0.5019039393179513,False
cfg07_rp2_ot15.0_obt90.0_bmo2.0,SILVER,2,15.0,90.0,2.0,0.5,1.6871761462496233,0.3223553127254379,1.686659698183187,0.3196772758715409,True,1.6846458227655998,0.32067105096027776,1.6841286627489933,0.31790937005101605,True
cfg07_rp2_ot15.0_obt90.0_bmo2.0,BTC,2,15.0,90.0,2.0,0.5,9.748767832814833,1.0696007831006424,9.855679074865842,1.0673092354078406,False,9.734166963990102,1.0675811553830314,9.84088617851966,1.0652491717139174,False
cfg07_rp2_ot15.0_obt90.0_bmo2.0,OIL,2,15.0,90.0,2.0,0.5,1.1763640469714332,0.2308797329612897,1.1798550873762443,0.22782375575083372,False,1.174602195609776,0.22937517083672582,1.1780850183556857,0.2262905906561879,False
