config_id,asset,streak_threshold,buy_mult_streak,decay_days,max_lump_multiple,buy_mult_winning,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_st2_bm1.5_dd3_ml2.5,SP500,2,1.5,3,2.5,0.5,85.38757954148831,0.1537770039823733,85.27722344483453,0.1530965091120862,True,85.25937138103285,0.15304317644478238,85.14917987853534,0.15233705290993851,True
cfg00_st2_bm1.5_dd3_ml2.5,GOLD,2,1.5,3,2.5,0.5,2.2259467581897536,0.5057728042110378,2.2312322553607693,0.5049170813430391,False,2.2226097733331964,0.5027931533454085,2.227883543414292,0.5019039393179513,False
cfg00_st2_bm1.5_dd3_ml2.5,SILVER,2,1.5,3,2.5,0.5,1.68505427344363,0.3229051867968669,1.686659698183187,0.3196772758715409,False,1.6825263921883011,0.3212341309435759,1.6841286627489933,0.31790937005101605,False
cfg00_st2_bm1.5_dd3_ml2.5,BTC,2,1.5,3,2.5,0.5,9.436221445357239,1.056798942859412,9.855679074865842,1.0673092354078406,False,9.422089496658185,1.0547509448121075,9.84088617851966,1.0652491717139174,False
cfg00_st2_bm1.5_dd3_ml2.5,OIL,2,1.5,3,2.5,0.5,1.1810728227671432,0.22795113991266777,1.1798550873762443,0.22782375575083372,True,1.1793056305657994,0.22643702835583746,1.1780850183556857,0.2262905906561879,True
cfg01_st2_bm1.5_dd3_ml3.0,SP500,2,1.5,3,3.0,0.5,85.38757954148831,0.1537770039823733,85.27722344483453,0.1530965091120862,True,85.25937138103285,0.15304317644478238,85.14917987853534,0.15233705290993851,True
cfg01_st2_bm1.5_dd3_ml3.0,GOLD,2,1.5,3,3.0,0.5,2.2259467581897536,0.5057728042110378,2.2312322553607693,0.5049170813430391,False,2.2226097733331964,0.5027931533454085,2.227883543414292,0.5019039393179513,False
cfg01_st2_bm1.5_dd3_ml3.0,SILVER,2,1.5,3,3.0,0.5,1.68505427344363,0.3229051867968669,1.686659698183187,0.3196772758715409,False,1.6825263921883011,0.3212341309435759,1.6841286627489933,0.31790937005101605,False
cfg01_st2_bm1.5_dd3_ml3.0,BTC,2,1.5,3,3.0,0.5,9.436221445357239,1.056798942859412,9.855679074865842,1.0673092354078406,False,9.422089496658185,1.0547509448121075,9.84088617851966,1.0652491717139174,False
cfg01_st2_bm1.5_dd3_ml3.0,OIL,2,1.5,3,3.0,0.5,1.1810728227671432,0.22795113991266777,1.1798550873762443,0.22782375575083372,True,1.1793056305657994,0.22643702835583746,1.1780850183556857,0.2262905906561879,True
cfg02_st2_bm1.5_dd5_ml2.5,SP500,2,1.5,5,2.5,0.5,85.28976677314978,0.15238678329533872,85.27722344483453,0.1530965091120862,False,85.1617048434297,0.1516557814092698,85.14917987853534,0.15233705290993851,False
cfg02_st2_bm1.5_dd5_ml2.5,GOLD,2,1.5,5,2.5,0.5,2.231828962470226,0.5058883136050792,2.2312322553607693,0.5049170813430391,True,2.228480842640197,0.5028887862774069,2.227883543414292,0.5019039393179513,True
cfg02_st2_bm1.5_dd5_ml2.5,SILVER,2,1.5,5,2.5,0.5,1.6887369804558858,0.32300802676711177,1.686659698183187,0.3196772758715409,True,1.6862035696104443,0.3213212036972912,1.6841286627489933,0.31790937005101605,True
cfg02_st2_bm1.5_dd5_ml2.5,BTC,2,1.5,5,2.5,0.5,9.758504167491223,1.0632266820204048,9.855679074865842,1.0673092354078406,False,9.743857179414352,1.0611723074086037,9.84088617851966,1.0652491717139174,False
cfg02_st2_bm1.5_dd5_ml2.5,OIL,2,1.5,5,2.5,0.5,1.178804298809231,0.22772544627592248,1.1798550873762443,0.22782375575083372,False,1.1770380361463837,0.22623854635657992,1.1780850183556857,0.2262905906561879,False
cfg03_st2_bm1.5_dd5_ml3.0,SP500,2,1.5,5,3.0,0.5,85.28976677314978,0.15238678329533872,85.27722344483453,0.1530965091120862,False,85.1617048434297,0.1516557814092698,85.14917987853534,0.15233705290993851,False
cfg03_st2_bm1.5_dd5_ml3.0,GOLD,2,1.5,5,3.0,0.5,2.231828962470226,0.5058883136050792,2.2312322553607693,0.5049170813430391,True,2.228480842640197,0.5028887862774069,2.227883543414292,0.5019039393179513,True
cfg03_st2_bm1.5_dd5_ml3.0,SILVER,2,1.5,5,3.0,0.5,1.6887369804558858,0.32300802676711177,1.686659698183187,0.3196772758715409,True,1.6862035696104443,0.3213212036972912,1.6841286627489933,0.31790937005101605,True
cfg03_st2_bm1.5_dd5_ml3.0,BTC,2,1.5,5,3.0,0.5,9.758504167491223,1.0632266820204048,9.855679074865842,1.0673092354078406,False,9.743857179414352,1.0611723074086037,9.84088617851966,1.0652491717139174,False
cfg03_st2_bm1.5_dd5_ml3.0,OIL,2,1.5,5,3.0,0.5,1.178804298809231,0.22772544627592248,1.1798550873762443,0.22782375575083372,False,1.1770380361463837,0.22623854635657992,1.1780850183556857,0.2262905906561879,False
cfg04_st2_bm1.5_dd10_ml2.5,SP500,2,1.5,10,2.5,0.5,85.28937759959977,0.1531190153863633,85.27722344483453,0.1530965091120862,True,85.16131594021128,0.15237080484443716,85.14917987853534,0.15233705290993851,True
cfg04_st2_bm1.5_dd10_ml2.5,GOLD,2,1.5,10,2.5,0.5,2.2330361656586257,0.5057439670192151,2.2312322553607693,0.5049170813430391,True,2.2296847462157823,0.5027331630652409,2.227883543414292,0.5019039393179513,True
cfg04_st2_bm1.5_dd10_ml2.5,SILVER,2,1.5,10,2.5,0.5,1.6878144226002834,0.3220224703465707,1.686659698183187,0.3196772758715409,True,1.685281653345647,0.3203262036797078,1.6841286627489933,0.31790937005101605,True
cfg04_st2_bm1.5_dd10_ml2.5,BTC,2,1.5,10,2.5,0.5,9.807348497970683,1.066215657346554,9.855679074865842,1.0673092354078406,False,9.792628170058265,1.0641543569335457,9.84088617851966,1.0652491717139174,False
cfg04_st2_bm1.5_dd10_ml2.5,OIL,2,1.5,10,2.5,0.5,1.1795666568144376,0.2273260957526497,1.1798550873762443,0.22782375575083372,False,1.1777985063941203,0.22583627552953728,1.1780850183556857,0.2262905906561879,False
cfg05_st2_bm1.5_dd10_ml3.0,SP500,2,1.5,10,3.0,0.5,85.28937759959977,0.1531190153863633,85.27722344483453,0.1530965091120862,True,85.16131594021128,0.15237080484443716,85.14917987853534,0.15233705290993851,True
cfg05_st2_bm1.5_dd10_ml3.0,GOLD,2,1.5,10,3.0,0.5,2.2330361656586257,0.5057439670192151,2.2312322553607693,0.5049170813430391,True,2.2296847462157823,0.5027331630652409,2.227883543414292,0.5019039393179513,True
cfg05_st2_bm1.5_dd10_ml3.0,SILVER,2,1.5,10,3.0,0.5,1.6878144226002834,0.3220224703465707,1.686659698183187,0.3196772758715409,True,1.685281653345647,0.3203262036797078,1.6841286627489933,0.31790937005101605,True
cfg05_st2_bm1.5_dd10_ml3.0,BTC,2,1.5,10,3.0,0.5,9.807348497970683,1.066215657346554,9.855679074865842,1.0673092354078406,False,9.792628170058265,1.0641543569335457,9.84088617851966,1.0652491717139174,False
cfg05_st2_bm1.5_dd10_ml3.0,OIL,2,1.5,10,3.0,0.5,1.1795666568144376,0.2273260957526497,1.1798550873762443,0.22782375575083372,False,1.1777985063941203,0.22583627552953728,1.1780850183556857,0.2262905906561879,False
cfg06_st2_bm2.0_dd3_ml2.5,SP500,2,2.0,3,2.5,0.5,85.29885587553864,0.15315847238487054,85.27722344483453,0.1530965091120862,True,85.17078014093524,0.15241530274695703,85.14917987853534,0.15233705290993851,True
cfg06_st2_bm2.0_dd3_ml2.5,GOLD,2,2.0,3,2.5,0.5,2.231817551593135,0.5067042819903329,2.2312322553607693,0.5049170813430391,True,2.2284687053103416,0.5037224326998102,2.227883543414292,0.5019039393179513,True
cfg06_st2_bm2.0_dd3_ml2.5,SILVER,2,2.0,3,2.5,0.5,1.6876932062734207,0.32297496375754287,1.686659698183187,0.3196772758715409,True,1.6851613624311992,0.32130136627894434,1.6841286627489933,0.31790937005101605,True
