config_id,asset,normalization_method,lookback_years,threshold_level,euphoric_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_zscore_lb5_tl0_tf0.0,SP500,zscore,5,0,0.0,6.0,85.39150824960427,0.1531938700491321,85.27722344483453,0.1530965091120862,True,85.26335231233705,0.15243409396794808,85.14917987853534,0.15233705290993851,True
cfg00_zscore_lb5_tl0_tf0.0,GOLD,zscore,5,0,0.0,6.0,2.206099247080678,0.5261829788571745,2.2312322553607693,0.5049170813430391,False,2.203069784734738,0.524418802449062,2.227883543414292,0.5019039393179513,False
cfg00_zscore_lb5_tl0_tf0.0,SILVER,zscore,5,0,0.0,6.0,1.7009468381702544,0.3376782442309376,1.686659698183187,0.3196772758715409,True,1.6986758629247791,0.33663233340171067,1.6841286627489933,0.31790937005101605,True
cfg00_zscore_lb5_tl0_tf0.0,BTC,zscore,5,0,0.0,6.0,2.1017375403782714,0.6746387235991966,9.855679074865842,1.0673092354078406,False,2.09930333455156,0.6740924819445703,9.84088617851966,1.0652491717139174,False
cfg00_zscore_lb5_tl0_tf0.0,OIL,zscore,5,0,0.0,6.0,1.1848079608579039,0.23772100695449241,1.1798550873762443,0.22782375575083372,True,1.183311706369713,0.23677843075024657,1.1780850183556857,0.2262905906561879,True
cfg01_zscore_lb5_tl0_tf0.25,SP500,zscore,5,0,0.25,6.0,85.33325415142176,0.15314356000985582,85.27722344483453,0.1530965091120862,True,85.20515724841694,0.1523838771360341,85.14917987853534,0.15233705290993851,True
cfg01_zscore_lb5_tl0_tf0.25,GOLD,zscore,5,0,0.25,6.0,2.217021689471059,0.5207062631300182,2.2312322553607693,0.5049170813430391,False,2.213840673551308,0.5186162470500741,2.227883543414292,0.5019039393179513,False
cfg01_zscore_lb5_tl0_tf0.25,SILVER,zscore,5,0,0.25,6.0,1.697694297137604,0.3339318182395712,1.686659698183187,0.3196772758715409,True,1.6952930520772116,0.3327008641100769,1.6841286627489933,0.31790937005101605,True
cfg01_zscore_lb5_tl0_tf0.25,BTC,zscore,5,0,0.25,6.0,4.257851087017451,0.9183443594590962,9.855679074865842,1.0673092354078406,False,4.251820082346966,0.9173554902104591,9.84088617851966,1.0652491717139174,False
cfg01_zscore_lb5_tl0_tf0.25,OIL,zscore,5,0,0.25,6.0,1.1821835183531475,0.23547043172543822,1.1798550873762443,0.22782375575083372,True,1.1805561789114214,0.23436431934116098,1.1780850183556857,0.2262905906561879,True
cfg02_zscore_lb5_tl1_tf0.0,SP500,zscore,5,1,0.0,6.0,85.3888967939646,0.15318726245197603,85.27722344483453,0.1530965091120862,True,85.26068554996407,0.15242767806898666,85.14917987853534,0.15233705290993851,True
cfg02_zscore_lb5_tl1_tf0.0,GOLD,zscore,5,1,0.0,6.0,2.226987011810836,0.5059566934253993,2.2312322553607693,0.5049170813430391,False,2.2236446741039293,0.5029327737639714,2.227883543414292,0.5019039393179513,False
cfg02_zscore_lb5_tl1_tf0.0,SILVER,zscore,5,1,0.0,6.0,1.686282184285519,0.3198502083811809,1.686659698183187,0.3196772758715409,False,1.6837517156890096,0.3180753474130586,1.6841286627489933,0.31790937005101605,False
