config_id,asset,kurt_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_kw60_pl252_k0.5_mn0.25,SP500,60,252,0.5,0.25,85.27732767492532,0.15312870334199075,85.27722344483453,0.1530965091120862,True,85.149283952125,0.15236925361650883,85.14917987853534,0.15233705290993851,True
cfg00_kw60_pl252_k0.5_mn0.25,GOLD,60,252,0.5,0.25,2.231125399060901,0.5048722715900823,2.2312322553607693,0.5049170813430391,False,2.2277768475593223,0.501858963932085,2.227883543414292,0.5019039393179513,False
cfg00_kw60_pl252_k0.5_mn0.25,SILVER,60,252,0.5,0.25,1.686729134180739,0.3196812052166019,1.686659698183187,0.3196772758715409,True,1.6841979944882919,0.3179132074163135,1.6841286627489933,0.31790937005101605,True
cfg00_kw60_pl252_k0.5_mn0.25,BTC,60,252,0.5,0.25,9.857479815361504,1.0674573850235498,9.855679074865842,1.0673092354078406,True,9.842684215200753,1.0653973976501057,9.84088617851966,1.0652491717139174,True
cfg00_kw60_pl252_k0.5_mn0.25,OIL,60,252,0.5,0.25,1.1803309152358812,0.22788722877691056,1.1798550873762443,0.22782375575083372,True,1.1785601317590775,0.2263540087567275,1.1780850183556857,0.2262905906561879,True
cfg01_kw60_pl252_k0.5_mn0.5,SP500,60,252,0.5,0.5,85.27732767492532,0.15312870334199075,85.27722344483453,0.1530965091120862,True,85.149283952125,0.15236925361650883,85.14917987853534,0.15233705290993851,True
cfg01_kw60_pl252_k0.5_mn0.5,GOLD,60,252,0.5,0.5,2.231125399060901,0.5048722715900823,2.2312322553607693,0.5049170813430391,False,2.2277768475593223,0.501858963932085,2.227883543414292,0.5019039393179513,False
cfg01_kw60_pl252_k0.5_mn0.5,SILVER,60,252,0.5,0.5,1.686729134180739,0.3196812052166019,1.686659698183187,0.3196772758715409,True,1.6841979944882919,0.3179132074163135,1.6841286627489933,0.31790937005101605,True
cfg01_kw60_pl252_k0.5_mn0.5,BTC,60,252,0.5,0.5,9.857479815361504,1.0674573850235498,9.855679074865842,1.0673092354078406,True,9.842684215200753,1.0653973976501057,9.84088617851966,1.0652491717139174,True
cfg01_kw60_pl252_k0.5_mn0.5,OIL,60,252,0.5,0.5,1.1803309152358812,0.22788722877691056,1.1798550873762443,0.22782375575083372,True,1.1785601317590775,0.2263540087567275,1.1780850183556857,0.2262905906561879,True
cfg02_kw60_pl252_k1.0_mn0.25,SP500,60,252,1.0,0.25,85.27285494098524,0.15312902657122535,85.27722344483453,0.1530965091120862,False,85.14481793400165,0.15236951222907566,85.14917987853534,0.15233705290993851,False
cfg02_kw60_pl252_k1.0_mn0.25,GOLD,60,252,1.0,0.25,2.2309932781271096,0.5048507412453949,2.2312322553607693,0.5049170813430391,False,2.227644925005302,0.5018372981457689,2.227883543414292,0.5019039393179513,False
cfg02_kw60_pl252_k1.0_mn0.25,SILVER,60,252,1.0,0.25,1.6865315575639412,0.31962861945719034,1.686659698183187,0.3196772758715409,False,1.684001221965728,0.317860487081371,1.6841286627489933,0.31790937005101605,False
