config_id,asset,lookback_days,elevated_pct,compressed_pct,buy_multiplier,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb10_ep80.0_cp10.0_bm1.5,SP500,10,80.0,10.0,1.5,83.87543957377123,0.1558048191850701,85.27722344483453,0.1530965091120862,False,83.75004521786079,0.1550774607103893,85.14917987853534,0.15233705290993851,False
cfg00_lb10_ep80.0_cp10.0_bm1.5,GOLD,10,80.0,10.0,1.5,2.185670607993412,0.5012204852881238,2.2312322553607693,0.5049170813430391,False,2.18243388525949,0.4983557080538045,2.227883543414292,0.5019039393179513,False
cfg00_lb10_ep80.0_cp10.0_bm1.5,SILVER,10,80.0,10.0,1.5,1.6661736409917784,0.31829034500599324,1.686659698183187,0.3196772758715409,False,1.6637027630181231,0.31662268636399116,1.6841286627489933,0.31790937005101605,False
cfg00_lb10_ep80.0_cp10.0_bm1.5,BTC,10,80.0,10.0,1.5,9.246890750327774,1.066524938343113,9.855679074865842,1.0673092354078406,False,9.233079179379663,1.0646050844823072,9.84088617851966,1.0652491717139174,False
cfg00_lb10_ep80.0_cp10.0_bm1.5,OIL,10,80.0,10.0,1.5,1.174671778564166,0.2236084276554806,1.1798550873762443,0.22782375575083372,False,1.172944500050485,0.2221309499795948,1.1780850183556857,0.2262905906561879,False
cfg01_lb10_ep80.0_cp10.0_bm2.0,SP500,10,80.0,10.0,2.0,85.46597412659551,0.15236755888728615,85.27722344483453,0.1530965091120862,False,85.33764752679947,0.15164001099529056,85.14917987853534,0.15233705290993851,False
cfg01_lb10_ep80.0_cp10.0_bm2.0,GOLD,10,80.0,10.0,2.0,2.220616191651806,0.5045386482854815,2.2312322553607693,0.5049170813430391,False,2.2172843124487738,0.5016930293984533,2.227883543414292,0.5019039393179513,False
cfg01_lb10_ep80.0_cp10.0_bm2.0,SILVER,10,80.0,10.0,2.0,1.6797517337522905,0.3209906518661733,1.686659698183187,0.3196772758715409,False,1.6772321122784266,0.31933050975475225,1.6841286627489933,0.31790937005101605,False
cfg01_lb10_ep80.0_cp10.0_bm2.0,BTC,10,80.0,10.0,2.0,9.69397886007021,1.0784242167904858,9.855679074865842,1.0673092354078406,False,9.679431469747204,1.0765090130671076,9.84088617851966,1.0652491717139174,False
cfg01_lb10_ep80.0_cp10.0_bm2.0,OIL,10,80.0,10.0,2.0,1.1753174492532823,0.22944065516562426,1.1798550873762443,0.22782375575083372,False,1.1735565730116022,0.2279891004093159,1.1780850183556857,0.2262905906561879,False
cfg02_lb10_ep80.0_cp10.0_bm3.0,SP500,10,80.0,10.0,3.0,85.31772275833613,0.15164428614503592,85.27722344483453,0.1530965091120862,False,85.18961875819208,0.1509153923595238,85.14917987853534,0.15233705290993851,False
cfg02_lb10_ep80.0_cp10.0_bm3.0,GOLD,10,80.0,10.0,3.0,2.2250299651132743,0.5056951440899489,2.2312322553607693,0.5049170813430391,False,2.221691458622762,0.5028466148384498,2.227883543414292,0.5019039393179513,False
cfg02_lb10_ep80.0_cp10.0_bm3.0,SILVER,10,80.0,10.0,3.0,1.6829285704804362,0.32190574520291504,1.686659698183187,0.3196772758715409,False,1.6804041789814537,0.32024399720136143,1.6841286627489933,0.31790937005101605,False
cfg02_lb10_ep80.0_cp10.0_bm3.0,BTC,10,80.0,10.0,3.0,9.801743376817287,1.081923033444824,9.855679074865842,1.0673092354078406,False,9.787034177910577,1.0800062179114525,9.84088617851966,1.0652491717139174,False
cfg02_lb10_ep80.0_cp10.0_bm3.0,OIL,10,80.0,10.0,3.0,1.178923569151842,0.23219111134207554,1.1798550873762443,0.22782375575083372,False,1.1771572783157207,0.23074260534150046,1.1780850183556857,0.2262905906561879,False
cfg03_lb10_ep80.0_cp20.0_bm1.5,SP500,10,80.0,20.0,1.5,81.192028465163,0.15728960131039257,85.27722344483453,0.1530965091120862,False,81.07149977809182,0.15655574072356698,85.14917987853534,0.15233705290993851,False
cfg03_lb10_ep80.0_cp20.0_bm1.5,GOLD,10,80.0,20.0,1.5,2.155694297925266,0.49923828566440764,2.2312322553607693,0.5049170813430391,False,2.1525585644994334,0.49635140353660306,2.227883543414292,0.5019039393179513,False
