config_id,asset,dxy_lookback,confirm_days,threshold_pct,bank_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb100_cd5_th0.0_bf0.0,SP500,100,5,0.0,0.0,6.0,85.27390243796887,0.15309146587739114,85.27722344483453,0.1530965091120862,False,85.14586385816666,0.1523319162995746,85.14917987853534,0.15233705290993851,False
cfg00_lb100_cd5_th0.0_bf0.0,GOLD,100,5,0.0,0.0,6.0,2.1899358317349558,0.4937730366477832,2.2312322553607693,0.5049170813430391,False,2.186649126430562,0.49078783415560623,2.227883543414292,0.5019039393179513,False
cfg00_lb100_cd5_th0.0_bf0.0,SILVER,100,5,0.0,0.0,6.0,1.6642877682212918,0.31706946826752364,1.686659698183187,0.3196772758715409,False,1.6617903242735261,0.31533866709006286,1.6841286627489933,0.31790937005101605,False
cfg00_lb100_cd5_th0.0_bf0.0,BTC,100,5,0.0,0.0,6.0,9.888798323954406,1.0795683004284435,9.855679074865842,1.0673092354078406,True,9.873955699005995,1.0776317562548463,9.84088617851966,1.0652491717139174,True
cfg00_lb100_cd5_th0.0_bf0.0,OIL,100,5,0.0,0.0,6.0,1.187275720106518,0.2192926560607186,1.1798550873762443,0.22782375575083372,False,1.185494508994772,0.21776040596547752,1.1780850183556857,0.2262905906561879,False
cfg01_lb100_cd5_th0.0_bf0.25,SP500,100,5,0.0,0.25,6.0,85.27275678001985,0.1530912873108314,85.27722344483453,0.1530965091120862,False,85.14471992042488,0.15233176464749007,85.14917987853534,0.15233705290993851,False
cfg01_lb100_cd5_th0.0_bf0.25,GOLD,100,5,0.0,0.25,6.0,2.2022885943221637,0.4968028072003403,2.2312322553607693,0.5049170813430391,False,2.198983341326199,0.4938085008150289,2.227883543414292,0.5019039393179513,False
cfg01_lb100_cd5_th0.0_bf0.25,SILVER,100,5,0.0,0.25,6.0,1.6738081235443927,0.3185464520979024,1.686659698183187,0.3196772758715409,False,1.6712963847688134,0.31680649110145426,1.6841286627489933,0.31790937005101605,False
cfg01_lb100_cd5_th0.0_bf0.25,BTC,100,5,0.0,0.25,6.0,9.899826345434144,1.0774420213452274,9.855679074865842,1.0673092354078406,True,9.88496716189492,1.075472169827863,9.84088617851966,1.0652491717139174,True
cfg01_lb100_cd5_th0.0_bf0.25,OIL,100,5,0.0,0.25,6.0,1.1836552902833783,0.22129068889171763,1.1798550873762443,0.22782375575083372,False,1.1818795152524484,0.2197584301401758,1.1780850183556857,0.2262905906561879,False
