config_id,asset,short_window,ts_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_sw10_tl126_k0.5_mn0.25,SP500,10,126,0.5,0.25,85.28134330671666,0.15314211114827117,85.27722344483453,0.1530965091120862,True,85.15329355443917,0.15238264047090833,85.14917987853534,0.15233705290993851,True
cfg00_sw10_tl126_k0.5_mn0.25,GOLD,10,126,0.5,0.25,2.2312188330354688,0.5049857414765458,2.2312322553607693,0.5049170813430391,False,2.227870141242638,0.5019725324426714,2.227883543414292,0.5019039393179513,False
cfg00_sw10_tl126_k0.5_mn0.25,SILVER,10,126,0.5,0.25,1.6864667841293948,0.3196353623250146,1.686659698183187,0.3196772758715409,False,1.6839360383559447,0.31786737645429824,1.6841286627489933,0.31790937005101605,False
cfg00_sw10_tl126_k0.5_mn0.25,BTC,10,126,0.5,0.25,9.846948902717768,1.0670049597193079,9.855679074865842,1.0673092354078406,False,9.832169114738177,1.0649446492941177,9.84088617851966,1.0652491717139174,False
cfg00_sw10_tl126_k0.5_mn0.25,OIL,10,126,0.5,0.25,1.1801809990523522,0.22788808405814875,1.1798550873762443,0.22782375575083372,True,1.1784104406749203,0.2263548611778844,1.1780850183556857,0.2262905906561879,True
cfg01_sw10_tl126_k0.5_mn0.5,SP500,10,126,0.5,0.5,85.28134330671666,0.15314211114827117,85.27722344483453,0.1530965091120862,True,85.15329355443917,0.15238264047090833,85.14917987853534,0.15233705290993851,True
cfg01_sw10_tl126_k0.5_mn0.5,GOLD,10,126,0.5,0.5,2.2312188330354688,0.5049857414765458,2.2312322553607693,0.5049170813430391,False,2.227870141242638,0.5019725324426714,2.227883543414292,0.5019039393179513,False
cfg01_sw10_tl126_k0.5_mn0.5,SILVER,10,126,0.5,0.5,1.6864667841293948,0.3196353623250146,1.686659698183187,0.3196772758715409,False,1.6839360383559447,0.31786737645429824,1.6841286627489933,0.31790937005101605,False
cfg01_sw10_tl126_k0.5_mn0.5,BTC,10,126,0.5,0.5,9.846948902717768,1.0670049597193079,9.855679074865842,1.0673092354078406,False,9.832169114738177,1.0649446492941177,9.84088617851966,1.0652491717139174,False
cfg01_sw10_tl126_k0.5_mn0.5,OIL,10,126,0.5,0.5,1.1801809990523522,0.22788808405814875,1.1798550873762443,0.22782375575083372,True,1.1784104406749203,0.2263548611778844,1.1780850183556857,0.2262905906561879,True
cfg02_sw10_tl126_k1.0_mn0.25,SP500,10,126,1.0,0.25,85.27075333779531,0.15309476512275783,85.27722344483453,0.1530965091120862,False,85.14271948637194,0.15233516012129902,85.14917987853534,0.15233705290993851,False
cfg02_sw10_tl126_k1.0_mn0.25,GOLD,10,126,1.0,0.25,2.2312600116402113,0.5050844750414272,2.2312322553607693,0.5049170813430391,True,2.2279112580176417,0.5020711204789976,2.227883543414292,0.5019039393179513,True
cfg02_sw10_tl126_k1.0_mn0.25,SILVER,10,126,1.0,0.25,1.6862944396239639,0.31958242603691356,1.686659698183187,0.3196772758715409,False,1.6837639526260477,0.3178142650648752,1.6841286627489933,0.31790937005101605,False
cfg02_sw10_tl126_k1.0_mn0.25,BTC,10,126,1.0,0.25,9.842609184805806,1.0668815024405158,9.855679074865842,1.0673092354078406,False,9.827835912919156,1.0648208050442325,9.84088617851966,1.0652491717139174,False
cfg02_sw10_tl126_k1.0_mn0.25,OIL,10,126,1.0,0.25,1.1804073905089258,0.22791117579105144,1.1798550873762443,0.22782375575083372,True,1.1786364922043817,0.22637779983191927,1.1780850183556857,0.2262905906561879,True
cfg03_sw10_tl126_k1.0_mn0.5,SP500,10,126,1.0,0.5,85.27626054669057,0.1531231114066738,85.27722344483453,0.1530965091120862,False,85.14821842618427,0.15236360132635698,85.14917987853534,0.15233705290993851,False
cfg03_sw10_tl126_k1.0_mn0.5,GOLD,10,126,1.0,0.5,2.231180469145631,0.5050029289492431,2.2312322553607693,0.5049170813430391,False,2.2278318349562403,0.5019896815367995,2.227883543414292,0.5019039393179513,False
cfg03_sw10_tl126_k1.0_mn0.5,SILVER,10,126,1.0,0.5,1.6864053104844086,0.31961019459769846,1.686659698183187,0.3196772758715409,False,1.6838746570137255,0.31784215500498303,1.6841286627489933,0.31790937005101605,False
cfg03_sw10_tl126_k1.0_mn0.5,BTC,10,126,1.0,0.5,9.843050244784648,1.0668696344405606,9.855679074865842,1.0673092354078406,False,9.828276310645775,1.0648092214981402,9.84088617851966,1.0652491717139174,False
cfg03_sw10_tl126_k1.0_mn0.5,OIL,10,126,1.0,0.5,1.1802330162533166,0.22789368452476944,1.1798550873762443,0.22782375575083372,True,1.1784623797719818,0.22636041754070957,1.1780850183556857,0.2262905906561879,True
cfg04_sw10_tl126_k1.5_mn0.25,SP500,10,126,1.5,0.25,85.26060609691758,0.15304522845908708,85.27722344483453,0.1530965091120862,False,85.13258748159188,0.1522855250583614,85.14917987853534,0.15233705290993851,False
cfg04_sw10_tl126_k1.5_mn0.25,GOLD,10,126,1.5,0.25,2.2311887213036146,0.5050802332287088,2.2312322553607693,0.5049170813430391,False,2.2278400747235914,0.5020668297519382,2.227883543414292,0.5019039393179513,False
cfg04_sw10_tl126_k1.5_mn0.25,SILVER,10,126,1.5,0.25,1.6863833461104571,0.31958944512667586,1.686659698183187,0.3196772758715409,False,1.6838527256193137,0.31782123164792625,1.6841286627489933,0.31790937005101605,False
cfg04_sw10_tl126_k1.5_mn0.25,BTC,10,126,1.5,0.25,9.832778777807997,1.0665236827042923,9.855679074865842,1.0673092354078406,False,9.818020266292228,1.0644627414645602,9.84088617851966,1.0652491717139174,False
cfg04_sw10_tl126_k1.5_mn0.25,OIL,10,126,1.5,0.25,1.1805116557852473,0.22791068011469834,1.1798550873762443,0.22782375575083372,True,1.1787406009262351,0.22637720469546965,1.1780850183556857,0.2262905906561879,True
