config_id,asset,rv_lookback,elevated_pct,compressed_pct,buy_multiplier,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_rv20_ep80.0_cp10.0_bm1.5,SP500,20,80.0,10.0,1.5,78.26479573561754,0.15611346269622756,85.27722344483453,0.1530965091120862,False,78.14946634205388,0.1553689917950768,85.14917987853534,0.15233705290993851,False
cfg00_rv20_ep80.0_cp10.0_bm1.5,GOLD,20,80.0,10.0,1.5,2.162189674823653,0.5006397099770901,2.2312322553607693,0.5049170813430391,False,2.1590108188659802,0.4977479532697012,2.227883543414292,0.5019039393179513,False
cfg00_rv20_ep80.0_cp10.0_bm1.5,SILVER,20,80.0,10.0,1.5,1.6353291979720483,0.31087654944697946,1.686659698183187,0.3196772758715409,False,1.6329143745238566,0.30919515159927674,1.6841286627489933,0.31790937005101605,False
cfg00_rv20_ep80.0_cp10.0_bm1.5,BTC,20,80.0,10.0,1.5,9.670484017983345,1.0802723626552608,9.855679074865842,1.0673092354078406,False,9.656010200897256,1.078355959298471,9.84088617851966,1.0652491717139174,False
cfg00_rv20_ep80.0_cp10.0_bm1.5,OIL,20,80.0,10.0,1.5,1.1561686079889357,0.21678344539652555,1.1798550873762443,0.22782375575083372,False,1.1544809955554598,0.21529137170000837,1.1780850183556857,0.2262905906561879,False
cfg01_rv20_ep80.0_cp10.0_bm2.0,SP500,20,80.0,10.0,2.0,78.32580217198127,0.15616763404469403,85.27722344483453,0.1530965091120862,False,78.21032232765683,0.1554232673036588,85.14917987853534,0.15233705290993851,False
cfg01_rv20_ep80.0_cp10.0_bm2.0,GOLD,20,80.0,10.0,2.0,2.2032763171012495,0.5033185492934354,2.2312322553607693,0.5049170813430391,False,2.19998487256386,0.5004604625473288,2.227883543414292,0.5019039393179513,False
cfg01_rv20_ep80.0_cp10.0_bm2.0,SILVER,20,80.0,10.0,2.0,1.666922822502551,0.3173372440549642,1.686659698183187,0.3196772758715409,False,1.6644317448803232,0.3156760855176555,1.6841286627489933,0.31790937005101605,False
cfg01_rv20_ep80.0_cp10.0_bm2.0,BTC,20,80.0,10.0,2.0,9.723573652491751,1.081173652865091,9.855679074865842,1.0673092354078406,False,9.708985908594933,1.079253655137511,9.84088617851966,1.0652491717139174,False
cfg01_rv20_ep80.0_cp10.0_bm2.0,OIL,20,80.0,10.0,2.0,1.1629647372632739,0.22258054544046305,1.1798550873762443,0.22782375575083372,False,1.1612271918212282,0.22111472319789643,1.1780850183556857,0.2262905906561879,False
