config_id,asset,strong_season_start_month,weak_season_start_month,mild_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_ss11_ws5_mt0.0_ml6,SP500,11,5,0.0,6,85.78887810132969,0.15788343458405157,85.27722344483453,0.1530965091120862,True,85.66006628479553,0.1571539301525453,85.14917987853534,0.15233705290993851,True
cfg00_ss11_ws5_mt0.0_ml6,GOLD,11,5,0.0,6,2.2023069550928946,0.5188628912704306,2.2312322553607693,0.5049170813430391,False,2.199001674528204,0.5168305543342389,2.227883543414292,0.5019039393179513,False
cfg00_ss11_ws5_mt0.0_ml6,SILVER,11,5,0.0,6,1.6778504850663796,0.33225236744950043,1.686659698183187,0.3196772758715409,False,1.675332676678912,0.33105771127979944,1.6841286627489933,0.31790937005101605,False
cfg00_ss11_ws5_mt0.0_ml6,BTC,11,5,0.0,6,8.833174518208669,1.0788041352311726,9.855679074865842,1.0673092354078406,False,8.819916913989603,1.0774209522773903,9.84088617851966,1.0652491717139174,False
cfg00_ss11_ws5_mt0.0_ml6,OIL,11,5,0.0,6,1.2258270247154108,0.2504873150971414,1.1798550873762443,0.22782375575083372,True,1.2239879287619102,0.24945033751571474,1.1780850183556857,0.2262905906561879,True
cfg01_ss11_ws5_mt0.0_ml12,SP500,11,5,0.0,12,85.39535440528893,0.15711716214864227,85.27722344483453,0.1530965091120862,True,85.26713346517543,0.15638544045206168,85.14917987853534,0.15233705290993851,True
cfg01_ss11_ws5_mt0.0_ml12,GOLD,11,5,0.0,12,2.2067652643891673,0.5187331426162688,2.2312322553607693,0.5049170813430391,False,2.2034532896663737,0.5166754660819987,2.227883543414292,0.5019039393179513,False
cfg01_ss11_ws5_mt0.0_ml12,SILVER,11,5,0.0,12,1.6823014945235613,0.33237167791880246,1.686659698183187,0.3196772758715409,False,1.6797770029387111,0.33116365804003256,1.6841286627489933,0.31790937005101605,False
cfg01_ss11_ws5_mt0.0_ml12,BTC,11,5,0.0,12,8.847573681714286,1.0816942075302778,9.855679074865842,1.0673092354078406,False,8.834294457129587,1.0803140521297787,9.84088617851966,1.0652491717139174,False
cfg01_ss11_ws5_mt0.0_ml12,OIL,11,5,0.0,12,1.2149430403013457,0.249516115802608,1.1798550873762443,0.22782375575083372,True,1.2131202866667847,0.24847245253344205,1.1780850183556857,0.2262905906561879,True
cfg02_ss11_ws5_mt0.5_ml6,SP500,11,5,0.5,6,85.35022827883458,0.15516328638789212,85.27722344483453,0.1530965091120862,True,85.2220750956678,0.15441723264744944,85.14917987853534,0.15233705290993851,True
cfg02_ss11_ws5_mt0.5_ml6,GOLD,11,5,0.5,6,2.218859238266468,0.5120612161076505,2.2312322553607693,0.5049170813430391,False,2.2155291044237373,0.5095306803971064,2.227883543414292,0.5019039393179513,False
cfg02_ss11_ws5_mt0.5_ml6,SILVER,11,5,0.5,6,1.6843854735756942,0.3260422165241004,1.686659698183187,0.3196772758715409,False,1.6818578528931716,0.3245562572749859,1.6841286627489933,0.31790937005101605,False
cfg02_ss11_ws5_mt0.5_ml6,BTC,11,5,0.5,6,9.357115043747301,1.077838795190293,9.855679074865842,1.0673092354078406,False,9.343070742042427,1.0761234585645618,9.84088617851966,1.0652491717139174,False
