config_id,asset,yoy_window_months,lookback_years,threshold_level,decel_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_yw6_lb5_tl0_tf0.0,SP500,6,5,0,0.0,6.0,85.26614818379171,0.1530861434380089,85.27722344483453,0.1530965091120862,False,85.13812124701373,0.1523266029524773,85.14917987853534,0.15233705290993851,False
cfg00_yw6_lb5_tl0_tf0.0,GOLD,6,5,0,0.0,6.0,2.21723210481736,0.5018291802423995,2.2312322553607693,0.5049170813430391,False,2.213904414117948,0.4988400097790058,2.227883543414292,0.5019039393179513,False
cfg00_yw6_lb5_tl0_tf0.0,SILVER,6,5,0,0.0,6.0,1.6885619334316422,0.3209330729400331,1.686659698183187,0.3196772758715409,True,1.6860280417883668,0.3191823761165622,1.6841286627489933,0.31790937005101605,True
cfg00_yw6_lb5_tl0_tf0.0,BTC,6,5,0,0.0,6.0,9.608217368449742,1.058240632660454,9.855679074865842,1.0673092354078406,False,9.593796036227305,1.0561655932974765,9.84088617851966,1.0652491717139174,False
cfg00_yw6_lb5_tl0_tf0.0,OIL,6,5,0,0.0,6.0,1.175275238255969,0.23369005017911884,1.1798550873762443,0.22782375575083372,False,1.1735120458857404,0.23217217895149936,1.1780850183556857,0.2262905906561879,False
cfg01_yw6_lb5_tl0_tf0.25,SP500,6,5,0,0.25,6.0,85.2747025525914,0.15309326376664356,85.27722344483453,0.1530965091120862,False,85.1466627714158,0.15233374622890142,85.14917987853534,0.15233705290993851,False
cfg01_yw6_lb5_tl0_tf0.25,GOLD,6,5,0,0.25,6.0,2.2215642928909833,0.5027608367459838,2.2312322553607693,0.5049170813430391,False,2.2182300974046707,0.4997665130952158,2.227883543414292,0.5019039393179513,False
cfg01_yw6_lb5_tl0_tf0.25,SILVER,6,5,0,0.25,6.0,1.689774578945726,0.32094155477667524,1.686659698183187,0.3196772758715409,True,1.6872388665133893,0.31918683129958614,1.6841286627489933,0.31790937005101605,True
cfg01_yw6_lb5_tl0_tf0.25,BTC,6,5,0,0.25,6.0,9.735744561126197,1.0625304829294282,9.855679074865842,1.0673092354078406,False,9.721131746632476,1.0604606187761387,9.84088617851966,1.0652491717139174,False
cfg01_yw6_lb5_tl0_tf0.25,OIL,6,5,0,0.25,6.0,1.1765476436848108,0.2323840113835694,1.1798550873762443,0.22782375575083372,False,1.174782540795921,0.23086234803807054,1.1780850183556857,0.2262905906561879,False
cfg02_yw6_lb5_tl1_tf0.0,SP500,6,5,1,0.0,6.0,85.21973912656955,0.153050056504763,85.27722344483453,0.1530965091120862,False,85.0917818730609,0.1522904024158546,85.14917987853534,0.15233705290993851,False
cfg02_yw6_lb5_tl1_tf0.0,GOLD,6,5,1,0.0,6.0,2.193824172164056,0.502484776856249,2.2312322553607693,0.5049170813430391,False,2.190531628510669,0.4995521498971698,2.227883543414292,0.5019039393179513,False
cfg02_yw6_lb5_tl1_tf0.0,SILVER,6,5,1,0.0,6.0,1.6590762452312533,0.3144037947679065,1.686659698183187,0.3196772758715409,False,1.656586626393084,0.3126774251233874,1.6841286627489933,0.31790937005101605,False
cfg02_yw6_lb5_tl1_tf0.0,BTC,6,5,1,0.0,6.0,8.916031048206618,1.0346768347211575,9.855679074865842,1.0673092354078406,False,8.902649034783343,1.0325906137738072,9.84088617851966,1.0652491717139174,False
cfg02_yw6_lb5_tl1_tf0.0,OIL,6,5,1,0.0,6.0,1.1792298632726155,0.22372291107084893,1.1798550873762443,0.22782375575083372,False,1.177460733026986,0.2222085732328611,1.1780850183556857,0.2262905906561879,False
cfg03_yw6_lb5_tl1_tf0.25,SP500,6,5,1,0.25,6.0,85.24799274343417,0.15307226039723965,85.27722344483453,0.1530965091120862,False,85.11999306707756,0.15231266057597279,85.14917987853534,0.15233705290993851,False
cfg03_yw6_lb5_tl1_tf0.25,GOLD,6,5,1,0.25,6.0,2.207765000182241,0.5040604736215862,2.2312322553607693,0.5049170813430391,False,2.2044515243546505,0.5011066477399448,2.227883543414292,0.5019039393179513,False
cfg03_yw6_lb5_tl1_tf0.25,SILVER,6,5,1,0.25,6.0,1.673062363306482,0.31701109459620985,1.686659698183187,0.3196772758715409,False,1.6705517442910232,0.3152745254883625,1.6841286627489933,0.31790937005101605,False
cfg03_yw6_lb5_tl1_tf0.25,BTC,6,5,1,0.25,6.0,9.141618338654974,1.0430214010422434,9.855679074865842,1.0673092354078406,False,9.127897605576377,1.0409422944913482,9.84088617851966,1.0652491717139174,False
cfg03_yw6_lb5_tl1_tf0.25,OIL,6,5,1,0.25,6.0,1.1805750039816412,0.22514155589255652,1.1798550873762443,0.22782375575083372,False,1.178803854005218,0.22362321623172118,1.1780850183556857,0.2262905906561879,False
cfg04_yw6_lb5_tl2_tf0.0,SP500,6,5,2,0.0,6.0,85.29124963518848,0.15309456182184641,85.27722344483453,0.1530965091120862,False,85.16318500854373,0.1523345317391846,85.14917987853534,0.15233705290993851,False
cfg04_yw6_lb5_tl2_tf0.0,GOLD,6,5,2,0.0,6.0,2.1204278023183902,0.5037720007197606,2.2312322553607693,0.5049170813430391,False,2.117245463424532,0.5016157000953553,2.227883543414292,0.5019039393179513,False
cfg04_yw6_lb5_tl2_tf0.0,SILVER,6,5,2,0.0,6.0,1.5607005483784482,0.3039228096134844,1.686659698183187,0.3196772758715409,False,1.558358640796815,0.30263713831650657,1.6841286627489933,0.31790937005101605,False
cfg04_yw6_lb5_tl2_tf0.0,BTC,6,5,2,0.0,6.0,8.40106471810261,1.1523520077746183,9.855679074865842,1.0673092354078406,False,8.38845592739721,1.1515162749477785,9.84088617851966,1.0652491717139174,False
cfg04_yw6_lb5_tl2_tf0.0,OIL,6,5,2,0.0,6.0,1.1766470833212943,0.21652039666482084,1.1798550873762443,0.22782375575083372,False,1.1748818311236389,0.2153952505701565,1.1780850183556857,0.2262905906561879,False
cfg05_yw6_lb5_tl2_tf0.25,SP500,6,5,2,0.25,6.0,85.23069879192363,0.15305359716846387,85.27722344483453,0.1530965091120862,False,85.10272508246109,0.15229374035922277,85.14917987853534,0.15233705290993851,False
cfg05_yw6_lb5_tl2_tf0.25,GOLD,6,5,2,0.25,6.0,2.1524134091505345,0.5036588061386188,2.2312322553607693,0.5049170813430391,False,2.1491830438199933,0.501270111029325,2.227883543414292,0.5019039393179513,False
cfg05_yw6_lb5_tl2_tf0.25,SILVER,6,5,2,0.25,6.0,1.5937792588809618,0.30854378540344835,1.686659698183187,0.3196772758715409,False,1.5913876835658425,0.30713255773845693,1.6841286627489933,0.31790937005101605,False
cfg05_yw6_lb5_tl2_tf0.25,BTC,6,5,2,0.25,6.0,8.773644764697915,1.1318400542774483,9.855679074865842,1.0673092354078406,False,8.760476544493129,1.130691774615971,9.84088617851966,1.0652491717139174,False
cfg05_yw6_lb5_tl2_tf0.25,OIL,6,5,2,0.25,6.0,1.1815545913968843,0.22023677508118264,1.1798550873762443,0.22782375575083372,False,1.179781970568485,0.21900250509663152,1.1780850183556857,0.2262905906561879,False
