asset,signal,cycle_type,cycle_start,cycle_end,n_weeks,d_wealth_over_invested,dca_wealth_over_invested,d_sharpe,dca_sharpe,d_beats_dca_wealth
GOLD,Combo,ease,2001-01-05,2001-12-14,50,1.0260654692347975,1.0260654692347975,0.07974315989997938,0.07974315989997938,False
GOLD,Combo,hold,2001-12-14,2002-11-08,48,1.0501183810226913,1.0501183810226913,0.9836665770965282,0.9836665770965282,False
GOLD,Combo,hold,2002-11-08,2003-06-27,34,1.0018950285891928,1.0018950285891928,0.7325863901546198,0.7325863901546198,False
GOLD,Combo,hold,2003-06-27,2004-07-02,54,1.0252015018213074,1.025190823815586,0.8570654681005321,0.856985368423069,True
GOLD,Combo,hike,2004-07-02,2006-06-30,105,1.3081549705724578,1.3167539512770503,1.1576165746998857,1.145226314908652,False
GOLD,Combo,hold,2006-06-30,2007-09-21,65,1.1331634116690907,1.1331634116690907,0.43327712385824607,0.43327712385824607,False
GOLD,Combo,ease,2007-09-21,2008-12-19,66,0.9849779641776637,0.9849779641776637,0.41459984357541957,0.41459984357541957,False
GOLD,Combo,hold,2008-12-19,2015-12-18,366,0.8329976808801336,0.8329974040965199,0.25890049316866853,0.258900121273073,True
GOLD,Combo,hold,2015-12-18,2016-12-16,53,0.9157342051719001,0.9157342051719001,0.3782909174731109,0.3782909174731109,False
GOLD,Combo,hike,2016-12-16,2018-12-21,106,0.9967007915486946,0.9953619425706062,0.3229244391995511,0.313522325115834,True
GOLD,Combo,hold,2018-12-21,2019-08-02,33,1.0946736279552927,1.0946736279552927,2.1336901254248914,2.1336901254248914,False
GOLD,Combo,ease,2019-08-02,2020-03-20,34,0.9739555566216878,0.9739555566216878,0.1641067265580247,0.1641067265580247,False
GOLD,Combo,hold,2020-03-20,2022-03-18,105,1.0615553860923672,1.0616439095794876,0.8049754117560706,0.8051056067267374,False
GOLD,Combo,hike,2022-03-18,2023-07-28,72,1.0580029053682558,1.0580016914091903,-0.12929620570358133,-0.1291439509338716,True
GOLD,Combo,hold,2023-07-28,2024-09-20,61,1.2226511406693505,1.2226511406693505,1.4261168551869523,1.4261168551869523,False
GOLD,Combo,hold,2024-12-20,2025-09-19,40,1.1751568395615253,1.1751568395615253,2.391570444102892,2.391570444102892,False
GOLD,Combo,hold,2025-12-12,2026-09-18,41,0.9744119602757777,0.9744119602757777,0.04929794235568596,0.04929794235568596,False
GOLD,R2c,ease,2001-01-05,2001-12-14,50,1.0260654692347975,1.0260654692347975,0.07974315989997938,0.07974315989997938,False
GOLD,R2c,hold,2001-12-14,2002-11-08,48,1.0501183810226913,1.0501183810226913,0.9836665770965282,0.9836665770965282,False
GOLD,R2c,hold,2002-11-08,2003-06-27,34,1.0018950285891928,1.0018950285891928,0.7325863901546198,0.7325863901546198,False
GOLD,R2c,hold,2003-06-27,2004-07-02,54,1.0252015018213074,1.025190823815586,0.8570654681005321,0.856985368423069,True
GOLD,R2c,hike,2004-07-02,2006-06-30,105,1.3025849419257032,1.3167539512770503,1.1295771665124283,1.145226314908652,False
GOLD,R2c,hold,2006-06-30,2007-09-21,65,1.1331634116690907,1.1331634116690907,0.43327712385824607,0.43327712385824607,False
GOLD,R2c,ease,2007-09-21,2008-12-19,66,0.9849779641776637,0.9849779641776637,0.41459984357541957,0.41459984357541957,False
GOLD,R2c,hold,2008-12-19,2015-12-18,366,0.8330330330919947,0.8329974040965199,0.25890571930303014,0.258900121273073,True
GOLD,R2c,hold,2015-12-18,2016-12-16,53,0.9157342051719001,0.9157342051719001,0.3782909174731109,0.3782909174731109,False
GOLD,R2c,hike,2016-12-16,2018-12-21,106,0.9967007915486946,0.9953619425706062,0.3229244391995511,0.313522325115834,True
GOLD,R2c,hold,2018-12-21,2019-08-02,33,1.0946736279552927,1.0946736279552927,2.1336901254248914,2.1336901254248914,False
GOLD,R2c,ease,2019-08-02,2020-03-20,34,0.9739555566216878,0.9739555566216878,0.1641067265580247,0.1641067265580247,False
