asset,rho,m_max,sweep,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,dca_avg_cost_per_unit,dca_max_drawdown
BTC,1,2,False,314000.0,14840577.905444972,47.26298696001584,-0.809937463125315,152,0.543654282245454,0.6503067870478246,0.958692052530969,1.4942579115121182,0.6712299492205842,628,0,286.6609118308286,0.02492110300165467,1641.8823882613399,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,1,2,True,314000.0,15046530.137875685,47.91888578941301,-0.8137981768352145,152,0.5454813942978287,0.6536143619509206,0.9589466437114347,1.4941231676615172,0.6702907549131594,628,0,308.0954327004429,0.02055280891524837,1737.4264497464999,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,1,3,False,314000.0,14852654.439779904,47.301447260445556,-0.8099450202570291,152,0.5437623111048349,0.6503728538267948,0.958769706029859,1.4943991987630816,0.6713570643749085,628,0,287.33268160411586,0.024810591259391182,1644.2973366044544,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,1,3,True,314000.0,15057634.04141397,47.95424853953494,-0.8138056502563112,152,0.5455798146178215,0.6536595788205222,0.9590246076424785,1.4942578741820705,0.6704055377914727,628,0,308.0807520146533,0.02048418276231771,1736.0618373116251,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,2,2,False,314000.0,13623598.615045456,43.38725673581356,-0.8055955601227888,152,0.5308738570995077,0.6435066228351823,0.9492322219258174,1.4759272772440422,0.6589830969507727,628,0,271.4552045463047,0.03501601814268662,1696.4307649758202,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,2,2,True,314000.0,14522776.686001604,46.2508811656102,-0.8144034948916624,152,0.5397684098907012,0.6520075782613806,0.9540884881481067,1.4842055271928827,0.6627776197872345,628,0,315.3844620509295,0.024449504410276476,1841.78682640795,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,2,3,False,314000.0,13836562.73854079,44.065486428473854,-0.8057261406161262,152,0.5329075140101656,0.6448634963690882,0.9506620212220245,1.478673330122171,0.6614003035853591,628,0,294.932342902179,0.032630514676023535,1810.9632586948285,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,2,3,True,314000.0,14520341.449521156,46.24312563541769,-0.8145254525586685,152,0.5397452795257827,0.6520502859127081,0.9540439344438513,1.4841665770840313,0.6626499857435775,628,0,315.3529673954022,0.024379068569918394,1841.9117733159935,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,3,2,False,314000.0,12762133.534484603,40.64373737097007,-0.8025467065016247,152,0.5211323994967143,0.6385077587411085,0.941759463563494,1.4615040219237632,0.649348374711272,628,0,257.4437753394705,0.04253269835149416,1720.228319714749,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,3,2,True,314000.0,14331346.890322868,45.6412321347862,-0.8148646789334264,152,0.5375353759356221,0.6511578815989963,0.9522939614057626,1.4803331142317737,0.6596621375701304,628,0,315.41765901899186,0.026276016787519802,1866.5862620989283,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
BTC,3,3,False,314000.0,13064746.441849252,41.60747274474284,-0.803207452634586,152,0.5241858134933082,0.6407923871512927,0.9438429566616997,1.4653087707301113,0.6526157243361425,628,0,296.6657423760821,0.03863636401787701,1929.3254617333082,52.90213954881496,0.9703668228151499,1600.594181030663,-0.8168844478078863
