asset,rho,m_max,sweep,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,dca_avg_cost_per_unit,dca_max_drawdown
OIL,1,2,False,681000.0,1176254.1197113036,1.7272454033939848,-0.8754259103501134,951,0.0418211830007722,0.38639808375474194,0.25297263534284903,0.3570323315600787,0.04777238428326441,1362,0,676.7163023281744,0.022688617819047324,53.51505967980953,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,1,2,True,681000.0,1170089.1595478188,1.7181925984549469,-0.8771028840503519,951,0.041404321215191775,0.3881273007811278,0.25258329718937167,0.3561501504493092,0.047205774793478934,1362,0,676.61547973196,0.019368020616483846,53.79084060062807,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,1,3,False,681000.0,1175377.21263723,1.7259577278079736,-0.8753237300140353,951,0.04185353451038565,0.3869018965424567,0.25321479490753224,0.3575023400906456,0.04781492044059465,1362,0,676.7045316765495,0.021349101490492916,53.55431269153239,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,1,3,True,681000.0,1169912.325587308,1.7179329303778386,-0.8769738102596402,951,0.04144578206375038,0.38835835732708873,0.2527497529135137,0.3564210707910212,0.047259999761543374,1362,0,676.6142132140998,0.01924583707461528,53.7989234242767,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,2,2,False,681000.0,1195194.5520536741,1.7550580793739707,-0.8686844729844948,951,0.04242626138698635,0.3797169781229758,0.2520464956269109,0.3559814207170807,0.04883966814927015,1362,0,677.1100454822363,0.03969103579279318,52.77419584578699,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,2,2,True,681000.0,1172096.727282166,1.721140568696279,-0.8758155397807782,951,0.04108836201700483,0.3865446843796469,0.2511722462325428,0.3541126589797298,0.046914401664178616,1362,0,678.634737209753,0.024755387284294772,53.769364248113675,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,2,3,False,681000.0,1186870.4729538101,1.7428347620467108,-0.8695131294980604,951,0.04222198296414703,0.38221226910271666,0.25237931196998636,0.3567569463164854,0.04855818909660434,1362,0,677.0510621833456,0.03284613275750281,53.142656246456816,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,2,3,True,681000.0,1167214.9526496762,1.713972030322579,-0.87679789523458,951,0.04082065885140773,0.3874229091989161,0.25081259105838216,0.3533354239187291,0.04655652012085009,1362,0,678.6318345233533,0.02446077679438257,53.99511167508386,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,3,2,False,681000.0,1208545.5039025776,1.7746630013253708,-0.8601322679848551,951,0.04276552336636308,0.37208292329360637,0.2502405842989808,0.35375905488187326,0.04971970586169903,1362,0,679.5674317245789,0.057308483640934126,52.359448186876804,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,3,2,True,681000.0,1161547.1474507442,1.7056492620422088,-0.8767172294730805,951,0.040426749999982636,0.3860312019316584,0.24932134652378843,0.35131579611865665,0.0461115039615221,1362,0,676.5411764520433,0.02714779252618727,54.16844454697642,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,3,3,False,681000.0,1191888.6539147329,1.7502036033990203,-0.865757884019622,951,0.042175867063713346,0.3777342281745927,0.2506255487664843,0.3543577944268828,0.04871554489102112,1362,0,680.5215977229417,0.04496589671549378,53.091582375900856,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
OIL,3,3,True,681000.0,1153494.531163138,1.693824568521495,-0.8781350009564171,951,0.039967068986057175,0.38703477855034485,0.24857001140424745,0.34976641670722197,0.045513581559244544,1362,0,676.4938357515166,0.02669758523413326,54.54517591804613,1.6941790783067023,0.2534698851466517,54.53507465412572,-0.8834397847848205
ENERGY,1,2,False,724500.0,1821923.2985219397,2.5147319510309725,-0.7369696422666447,605,0.061361764471491,0.2629378423591267,0.2835678773316888,0.3725072416215841,0.08326226882665752,1449,0,713.6826379509882,0.020041521890729296,24.72534311553226,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,1,2,True,724500.0,1814629.2121550732,2.5046641989718057,-0.7390490646525116,605,0.06115802885192978,0.2637616549718817,0.28281707787914656,0.3712095003916874,0.08275232562629012,1449,0,714.9455292314119,0.017797467798136256,24.84876790009681,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,1,3,False,724500.0,1822161.089760952,2.515060165301521,-0.7369696422666447,605,0.06136770791386659,0.2629466196284793,0.2835880610356787,0.3725380376134346,0.08327033353113748,1449,0,713.6870574636539,0.02003146369711008,24.722168063148086,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
