asset,signal,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,smart_wealth_over_invested,smart_sharpe,tight_share,n_switches
GOLD,R1,680500.0,3555117.108383427,5.224272018197541,-0.43643551905505384,463,0.11058746301178535,0.1726415795116101,0.58938452527055,0.8525682147180166,0.25338786185694334,1361,0,680.5970646275488,0.007461562526707038,831.164586076004,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.2828802351212344,9
GOLD,R2a,680500.0,3558960.261710551,5.229919561661354,-0.43641762082649904,463,0.11064194025799368,0.17267278262018157,0.5895966054641435,0.8527461549291988,0.2535230819701026,1361,0,678.9682079221598,0.007334383034881213,828.6166989987597,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.5150624540778839,75
GOLD,R2b,680500.0,3547702.644129427,5.213376405774324,-0.4362616070844887,463,0.1103854083454412,0.1725654271768078,0.5885116483231123,0.8507681267648873,0.25302572253180966,1361,0,679.1384823281817,0.008579196410043744,831.4447901256377,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.5231447465099192,49
GOLD,R2b-inv,680500.0,3561758.9275873452,5.234032222758773,-0.43643510978445255,463,0.11076357147977922,0.17302272516876138,0.5893912702587423,0.8517398056047096,0.2537916152861381,1361,0,680.3058596100794,0.00593070313966453,829.2594828447574,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.1307861866274798,11
GOLD,R2c,680500.0,3556568.9083638024,5.226405449469217,-0.4364250046690662,463,0.11059380596915158,0.17286077170897626,0.588893584934494,0.8511248716245088,0.2534085003974807,1361,0,679.2296228394391,0.006691263518010371,829.389896452675,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.34459955914768553,53
GOLD,R3,680500.0,3561948.810254112,5.234311256802515,-0.4364350069503069,463,0.11074200229005182,0.17284357939453684,0.5897089208476785,0.85269594320162,0.2537422537753968,1361,0,677.8691349430982,0.006389669234497418,826.8179852826571,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.4342395297575312,79
GOLD,R4,680500.0,3563654.9285767963,5.236818410840259,-0.4364350635333053,463,0.11079605193274134,0.17302870183632182,0.5895473758769006,0.8518199252360753,0.2538660643710774,1361,0,680.1257805629405,0.0060554151596922574,828.598832384477,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.21013960323291697,9
GOLD,Combo,680500.0,3560159.735793163,5.231682198079593,-0.4364352615713639,463,0.11069144012547816,0.17274225827468973,0.5896871813840489,0.8528650347108205,0.2536262531284457,1361,0,679.5451909372803,0.0068870557157513276,828.8968196566653,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.31080088170462894,45
GOLD,Control,680500.0,3564310.691966956,5.237782060201258,-0.4364240969159531,463,0.1107994634595173,0.17306311497471935,0.5894821798932443,0.8518135957610572,0.25388026060544305,1361,0,679.8958763971899,0.0056934015073760716,828.191722610692,5.237994579263356,0.5895015765671615,5.081380000442781,0.5851043343666701,0.28214548126377664,55
SILVER,R1,680500.0,3526628.4393315576,5.182407699238145,-0.7459826480853585,754,0.10266790422267702,0.31514618724712506,0.41353710297242247,0.545455474895467,0.13762773770433506,1361,0,680.7727943921215,0.007936097621908,12.604264178017102,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.2828802351212344,9
SILVER,R2a,680500.0,3529488.6937415334,5.186610865160225,-0.7456152183348601,754,0.10264562733126725,0.3151071067669118,0.4134754654813105,0.5454619926680406,0.13766568171784352,1361,0,677.6539633168928,0.007983688205527858,12.546666113699757,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.5150624540778839,75
SILVER,R2b,680500.0,3510031.134611936,5.158017831905857,-0.7456381378121676,754,0.10221125539364184,0.31459921735972746,0.4123572673230526,0.5440418299242751,0.13707889954978364,1361,0,678.1850094453234,0.010042101573629765,12.625360292965501,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.5231447465099192,49
SILVER,R2b-inv,680500.0,3543174.7063367297,5.206722566255297,-0.7459421349201347,754,0.1030827412409343,0.31573807310144636,0.4145681343881404,0.5466853429923179,0.138191337391031,1361,0,680.3754086668464,0.006170679361123842,12.538072142772192,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.1307861866274798,11
SILVER,R2c,680500.0,3529935.1153083397,5.187266885096752,-0.7459157977632993,754,0.10270200860941858,0.31545339104406644,0.41354932964911884,0.5453545137531258,0.13768579364772873,1361,0,678.2423021036662,0.007199379523766191,12.553062174176286,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.34459955914768553,53
SILVER,R3,680500.0,3541371.2204364683,5.2040723298111216,-0.7457169682998552,754,0.10300811669711729,0.3154788614487514,0.41441808601549895,0.5466824870252083,0.13813299291279824,1361,0,675.7937783125113,0.0066340490773222896,12.476260457355634,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.4342395297575312,79
SILVER,R4,680500.0,3550580.7176164254,5.217605756967561,-0.745525927829713,754,0.10320330559212976,0.31578044668704586,0.4149007278128377,0.5471636806011443,0.13843020308168627,1361,0,680.0616451534379,0.00611305657757318,12.506145782542001,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.21013960323291697,9
SILVER,Combo,680500.0,3533793.083797069,5.192936199554841,-0.7459383517957898,754,0.1028189129509871,0.3153132683040063,0.41392444316278687,0.5459904855250075,0.13783835179335988,1361,0,678.6703725014659,0.0073239595681772575,12.546331024118746,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.31080088170462894,45
