asset,period,signal,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,smart_wealth_over_invested,smart_sharpe
GOLD,Primary 2001-2023,R1,600000.0,1580550.3069186762,2.634250511531127,-0.436443178652294,463,0.09209498988923026,0.17076693607593896,0.5160685554605876,0.7384018266709208,0.2110125541968903,1200,0,597.548092528016,0.00853470137004632,784.7720140656949,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,R2a,600000.0,1582384.451069876,2.6373074184497933,-0.4364242159844516,463,0.09215433594206779,0.17080488117882237,0.5163137806014478,0.7386062428247456,0.21115770520247887,1200,0,599.1055722265196,0.00840408639851701,785.0229662638454,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,R2b,600000.0,1576868.1992219612,2.6281136653699355,-0.43625858783844285,463,0.09184209726195558,0.17066881964199793,0.5149074578725327,0.7361419370467994,0.21052215319590897,1200,0,599.991229874069,0.009956444245570602,788.5606040283457,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,R2b-inv,600000.0,1584436.0708671142,2.640726784778524,-0.43644272089350367,463,0.09233091714637598,0.17124930283244358,0.5163680881023368,0.7380230645051161,0.21155334417618946,1200,0,597.1123678706513,0.006579652154206114,782.2728755296137,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,R2c,600000.0,1581119.3386572348,2.635198897762058,-0.43643204612789843,463,0.09209399504100935,0.1710375814847142,0.5155224857282447,0.7368585129717657,0.21101565720960092,1200,0,599.7042755899303,0.007617787923291055,786.0636125742674,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,R3,600000.0,1583948.3108946534,2.639913851491089,-0.43644261636843984,463,0.09228511170347464,0.17102858192586437,0.5165658281405505,0.7387761997006592,0.21144844303098168,1200,0,598.6311361789367,0.007177975831090787,783.785649985243,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,R4,600000.0,1584543.672435797,2.6409061207263282,-0.436442669173042,463,0.09234595502163434,0.17124865390116592,0.5164511047276803,0.7379539776947192,0.21158782480321778,1200,0,599.6257805629405,0.006803275842001164,784.2616608787068,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,Combo,600000.0,1582837.7039527881,2.6380628399213135,-0.4364428933092206,463,0.09221642661698892,0.17089243095862314,0.5164697851634501,0.7388327557382338,0.21129093411919395,1200,0,599.0954786875516,0.007834975415450115,784.7847716403155,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Primary 2001-2023,Control,600000.0,1584853.3810441198,2.6414223017402,-0.43643105149627137,463,0.09234897192789271,0.171289601525916,0.5163846001559458,0.7379534761413885,0.21160036988954184,1200,0,599.5047248959465,0.006374433348873545,783.9500538027546,2.641542776156894,0.5164145381463807,2.5696298289727952,0.510340045532091
GOLD,Secondary 2024+ (hypothesis-forming),R1,71500.0,99085.7702637709,1.3858149687240686,-0.23403560972693394,30,0.31098600210914573,0.19455753011189628,1.2729004527084598,1.9933512253783054,1.328797794797105,143,0,71.0,0.04277070141688731,3126.3233951042507,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),R2a,71500.0,99080.83679095781,1.385745969104305,-0.23177731974053684,30,0.3103870617937361,0.1936033749407561,1.275852794068814,1.99895287067063,1.339160631166151,143,0,69.58807339958148,0.0474723913238483,3109.9390559080807,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),R2b,71500.0,99311.00489262589,1.388965103393369,-0.23088641000391086,30,0.31221446177974777,0.19371000939513353,1.2824771430465773,2.013070322472941,1.3522426970667496,143,0,69.63310340373019,0.04613245724944307,3103.0735022105387,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),R2b-inv,71500.0,99085.7702637709,1.3858149687240686,-0.23403560972693394,30,0.31098600210914573,0.19455753011189628,1.2729004527084598,1.9933512253783054,1.328797794797105,143,0,71.0,0.04277070141688731,3126.3233951042507,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),R2c,71500.0,99223.8529497469,1.3877461951013552,-0.23196637466295023,30,0.3117316763081044,0.19400272336341257,1.2789336743096724,2.004605844783657,1.3438657941740653,143,0,70.01950863164683,0.04514212622309325,3110.4365246595544,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),R3,71500.0,98994.72761624742,1.3845416449824814,-0.22930837178689734,30,0.3095719317616026,0.19174243736335697,1.2831231682548887,2.0128180134157905,1.3500245514337192,143,0,68.61946229895786,0.054681010869621176,3102.0003364262175,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),R4,71500.0,99085.7702637709,1.3858149687240686,-0.23403560972693394,30,0.31098600210914573,0.19455753011189628,1.2729004527084598,1.9933512253783054,1.328797794797105,143,0,71.0,0.04277070141688731,3126.3233951042507,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),Combo,71500.0,99194.03962327397,1.3873292255003353,-0.23236627855269598,30,0.31156747005519647,0.19412656403217718,1.2775954934891538,2.0012853181643884,1.3408463224346008,143,0,70.19210787787047,0.04472131318774186,3113.427387559551,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
GOLD,Secondary 2024+ (hypothesis-forming),Control,71500.0,99092.00601250412,1.3859021819930646,-0.23403558384172207,30,0.31101663012489045,0.19455208329873136,1.2730513767328815,1.9935516689442876,1.3289288108223343,143,0,70.89114427035926,0.04281185931878868,3124.7967464495446,1.3858149687240686,1.2729004527084598,1.3696036698430976,1.3192772797115735
SILVER,Primary 2001-2023,R1,600000.0,1198528.5124817465,1.9975475208029108,-0.7459903747149133,661,0.07372413992351246,0.30627985654690276,0.3411457180206809,0.444670209645939,0.09882719995105403,1200,0,597.4199294928221,0.00902049318364179,11.922869327569671,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,R2a,600000.0,1199280.818319994,1.9988013638666566,-0.7456031692164967,661,0.07367520723143706,0.30623977642994077,0.34098985516068553,0.44454492777927923,0.09881289440984711,1200,0,599.311596528909,0.009087676259192521,11.931476226719079,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,R2b,600000.0,1192170.4878424108,1.9869508130706848,-0.7456282425371874,661,0.0731645057562682,0.3055886633932947,0.33947680943654845,0.4426205952686727,0.0981246438671738,1200,0,600.2865520089811,0.011631071765995564,12.015599661027164,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,R2b-inv,600000.0,1205242.216882607,2.0087370281376784,-0.7459478881298853,661,0.07424324081385802,0.30705202475193183,0.3426604400810957,0.44656515270692987,0.09952872311226478,1200,0,596.883863345689,0.006778094698217198,11.845631571193012,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,R2c,600000.0,1199498.0604087112,1.9991634340145186,-0.7459203570559603,661,0.07374990395499825,0.30666676035258994,0.34119232302998814,0.4446132532100197,0.09887101653329111,1200,0,599.7735274655506,0.008143885079187698,11.931961199449644,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,R3,600000.0,1203649.1322173078,2.0060818870288464,-0.7457102781478249,661,0.07411703182923701,0.3067331009094026,0.3422961843051736,0.4462355468834978,0.09939118985100608,1200,0,598.8563932450716,0.007378109176031942,11.88137758742029,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,R4,600000.0,1207248.7232877917,2.0120812054796526,-0.7455135769257046,661,0.07435683605160226,0.30707623139356705,0.3430024814473225,0.44701386824913714,0.09973907699740311,1200,0,599.5616451534379,0.006804480607453328,11.85113688549962,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,Combo,600000.0,1200900.2055933021,2.0015003426555036,-0.745943966275989,661,0.07389261973206351,0.3064933248298842,0.3416395048310231,0.44534037321924763,0.09905920963602816,1200,0,599.2865218739425,0.008278089322230415,11.914872844667329,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Primary 2001-2023,Control,600000.0,1205632.7256860891,2.009387876143482,-0.7459464281789197,661,0.07428031470601892,0.3071423123864822,0.3427653415232611,0.4466871513181962,0.09957861838330614,1200,0,599.4571452571544,0.0065060541771741615,11.86547879170613,2.009583862012776,0.34279008614097384,1.9869564484296491,0.3390571987335809
SILVER,Secondary 2024+ (hypothesis-forming),R1,71500.0,123071.7939119509,1.7212838309363763,-0.44469244289831156,35,0.46876566677478815,0.3948261521141238,1.0680748769095654,1.4842804181082927,1.0541345468332626,143,0,71.0,0.042074068646703135,37.816491968286556,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
SILVER,Secondary 2024+ (hypothesis-forming),R2a,71500.0,123641.51716258701,1.7292519882879303,-0.4395500839295441,35,0.47133963448334915,0.3926896654345004,1.0761338842039228,1.4984542192913974,1.0723229313702067,143,0,68.15698251955678,0.04769924935041221,37.00615478046142,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
SILVER,Secondary 2024+ (hypothesis-forming),R2b,71500.0,123727.0398711413,1.7304481100858924,-0.4388684196139826,35,0.47188713258884807,0.3930574298115373,1.0765026447481247,1.4971679269978282,1.075236019497388,143,0,68.3820117632757,0.046848093171727945,37.03258147336383,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
SILVER,Secondary 2024+ (hypothesis-forming),R2b-inv,71500.0,123071.7939119509,1.7212838309363763,-0.44469244289831156,35,0.46876566677478815,0.3948261521141238,1.0680748769095654,1.4842804181082927,1.0541345468332626,143,0,71.0,0.042074068646703135,37.816491968286556,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
SILVER,Secondary 2024+ (hypothesis-forming),R2c,71500.0,123533.65568890805,1.7277434362085042,-0.4403698757848976,35,0.470951150160819,0.39353446091851,1.0740669139085184,1.4929798630776745,1.0694445193859243,143,0,68.9592880215852,0.04570485798637704,37.22232332710906,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
SILVER,Secondary 2024+ (hypothesis-forming),R3,71500.0,123676.22020470742,1.7297373455203835,-0.43495684789817923,35,0.4712527995597271,0.3889709358424173,1.0823688875744393,1.513143179759,1.0834472473233587,143,0,66.50113206660833,0.05407394554616258,36.619783371838714,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
SILVER,Secondary 2024+ (hypothesis-forming),R4,71500.0,123071.7939119509,1.7212838309363763,-0.44469244289831156,35,0.46876566677478815,0.3948261521141238,1.0680748769095654,1.4842804181082927,1.0541345468332626,143,0,71.0,0.042074068646703135,37.816491968286556,1.7212838309363763,1.0680748769095654,1.6900754875626405,1.0827784193552619
