era,scheme,trigger,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_rebalances,total_fees,avg_cash_share,fixed_wealth_over_invested,fixed_sharpe,fixed_max_drawdown
BTC+Gold+Silver,C1,bands_5_25,864000.0,6382895.0959629305,7.38761006477191,-0.42476805605622203,117,0.3851761975779935,0.28407422237785585,1.2141209288533723,1.8624518356549098,0.9067918175254963,72,12393.319357342816,0.00930068014248114,8.213379673947195,0.9186343338694295,-0.6916076406582314
BTC+Gold+Silver,C2,bands_5_25,864000.0,3732482.043327985,4.320002364962946,-0.2731262168033355,76,0.2718435535911534,0.20646221102586854,1.1634456882706246,1.7334575580572689,0.9953037711751207,61,6354.1104485946325,0.010005491951810039,8.13379574799407,0.919866619196876,-0.6891479967635237
BTC+Gold+Silver,C1,bands_10_50,864000.0,6796002.68650808,7.865743850125092,-0.41958010727344897,117,0.38877673403931534,0.2879127179566413,1.2108442748318642,1.8464482102408974,0.9265852391470542,25,9767.999128576997,0.009356548670649062,8.213379673947195,0.9186343338694295,-0.6916076406582314
BTC+Gold+Silver,C2,bands_10_50,864000.0,4142677.7595960977,4.794765925458447,-0.2579641557465331,76,0.28277667049469946,0.20927432004066912,1.1916566513107154,1.7698276859213187,1.0961859010076822,26,5457.644640539758,0.010019134654124164,8.13379574799407,0.919866619196876,-0.6891479967635237
BTC+Gold+Silver,C1,calendar_quarterly,864000.0,8602158.492218103,9.956201958585767,-0.397703959060565,117,0.4327462641951405,0.3073042151497745,1.2539940860357122,1.9432975972252537,1.088111532048488,45,15028.274780920434,0.009172050434085663,8.213379673947195,0.9186343338694295,-0.6916076406582314
BTC+Gold+Silver,C2,calendar_quarterly,864000.0,4349502.111790689,5.034145962720705,-0.282037469031297,76,0.29920741922235927,0.21640257766488155,1.218338239480341,1.8256940694058508,1.060878259367577,45,6888.333442019436,0.00986421413685428,8.13379574799407,0.919866619196876,-0.6891479967635237
BTC+Gold+Silver,C3,bands_5_25,864000.0,3187939.674689886,3.6897449938540348,-0.234799138879356,146,0.24520532539718953,0.18232461133692995,1.175048220325157,1.7591592330225803,1.0443195259041407,326,17134.76582276544,0.15572329614463148,8.091478235734611,0.917600666544128,-0.6895539673730338
BTC+Gold+Silver,100% BTC DCA,n/a,864000.0,25566340.862943746,29.59067229507378,-0.8168890965606772,152,0.7039680242026456,0.6700094830252511,1.0940588660255504,1.7281974382557719,0.8617669487407046,0,862.5,0.009322049233261433,,,
BTC+Gold+Silver,100% GOLD DCA,n/a,864000.0,2185991.686601268,2.5300829706033197,-0.23418709122209025,172,0.1285166530281674,0.15880589174413215,0.7032455190273017,1.0809644532582565,0.5487776988796074,0,862.5,0.013051978479260836,,,
BTC+Gold+Silver,100% SILVER DCA,n/a,864000.0,2636467.7811528672,3.0514673392973,-0.4447472732394122,207,0.14271539392207866,0.31371239495752296,0.513421681113251,0.7232347743274645,0.32089099250138275,0,862.5,0.013126522317878843,,,
Gold+Silver only,C1,bands_5_25,1963500.0,10484511.261857213,5.339705251773473,-0.5675419528011936,662,0.12291103089620381,0.23516736054812012,0.5397736694209568,0.7314764846662273,0.2165673044777692,30,9022.986136273901,0.004988331087326049,4.985544423341197,0.5236900251732081,-0.5792932992672732
Gold+Silver only,C2,bands_5_25,1963500.0,10605389.269691011,5.401267771678641,-0.5243462355872657,656,0.12355674047938736,0.21291878786060747,0.5748892133063007,0.794474727567928,0.235639606225082,38,11480.817943657876,0.004986040916035635,4.917319976978947,0.5445173075196407,-0.5450881809081918
Gold+Silver only,C1,bands_10_50,1963500.0,10472909.296851113,5.333796433333901,-0.5627083595891649,676,0.1227572018482408,0.23443110848418464,0.5402303325132393,0.7275964483223117,0.21815421746687078,9,5599.38232943549,0.0049899612863424795,4.985544423341197,0.5236900251732081,-0.5792932992672732
Gold+Silver only,C2,bands_10_50,1963500.0,10596227.410859283,5.396601686202843,-0.5220849954898827,656,0.12322940490169132,0.21220521888471922,0.5747548632320167,0.790796850078965,0.23603322441025665,12,7339.219442632706,0.004990812859457544,4.917319976978947,0.5445173075196407,-0.5450881809081918
Gold+Silver only,C1,calendar_quarterly,1963500.0,10397336.13248711,5.295307426782333,-0.569059593494805,662,0.12199662214776885,0.23556111770077306,0.5358693339972329,0.7234759849894243,0.21438285821444916,101,11933.857913958489,0.0049961065025635335,4.985544423341197,0.5236900251732081,-0.5792932992672732
Gold+Silver only,C2,calendar_quarterly,1963500.0,10412235.644883135,5.302895668389679,-0.5226297875396606,656,0.12217370923196014,0.213466676844972,0.56821666567903,0.7828203276452108,0.23376721370419168,101,13822.878335365825,0.004994157691472692,4.917319976978947,0.5445173075196407,-0.5450881809081918
Gold+Silver only,C3,bands_5_25,1963500.0,8338672.702255357,4.246841203083961,-0.45486578624332386,675,0.10800497114065855,0.1854702772971824,0.5552357733668695,0.7243167552864291,0.23744360294199585,802,76723.81464005739,0.16189990108068428,4.902108502220009,0.5438866665190306,-0.544513062560761
Gold+Silver only,100% GOLD DCA,n/a,1963500.0,9431075.874886293,4.803196269358947,-0.4364599423145843,463,0.11647083403363978,0.17437388287449887,0.6221625107087169,0.8974739885886965,0.2668534331374949,0,1962.0,0.005751901110034757,,,
Gold+Silver only,100% SILVER DCA,n/a,1963500.0,9510425.971168077,4.843608847042566,-0.7459615171872783,754,0.11589823154677381,0.3209802293848257,0.4527420677331648,0.5967379494617713,0.15536757443437504,0,1962.0,0.0057690333168830005,,,
