scheme,trigger,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_rebalances,total_fees,avg_cash_share,avg_weeks_between_rebalances,fees_pct_of_invested
C1,bands_2_10,864000.0,4109889.9841796705,4.756817111319063,-0.3341823416154581,97,0.28742155746876175,0.21387828950427637,1.1882363294158758,1.6351728767940963,0.8600740424504423,174,12942.311920826724,0.009926791854398319,3.310344827586207,0.014979527686142042
C1,bands_5_25,864000.0,4156102.352333853,4.8103036485345525,-0.3338096521566096,98,0.28659039849469603,0.2159063812756877,1.17608559864191,1.6268585894228396,0.8585443729477292,46,7420.5248487073795,0.009955789887634946,12.521739130434783,0.008588570426744652
C1,bands_10_50,864000.0,4546255.219899018,5.261869467475716,-0.33367475865721563,98,0.30384695559619845,0.22020159480700718,1.2178313740850712,1.7294320999374073,0.9106081527381599,16,5109.929474897531,0.00985312443500989,36.0,0.0059142702255758454
C1,bands_20_100,864000.0,4436423.128699257,5.134748991550066,-0.34815006412680927,119,0.30568151701663093,0.24423575392711883,1.126297150048458,1.6209119205735198,0.8780165466386078,5,3004.010732456526,0.009776147537068458,115.2,0.0034768642736765346
C1,calendar_1,864000.0,4310428.426336566,4.988921789741396,-0.3398830768162461,97,0.2915571571361768,0.21544945562228826,1.1961276543567394,1.6497318711916125,0.8578160462334636,133,12303.03526795612,0.009941585078674854,4.330827067669173,0.01423962415272699
C1,calendar_3,864000.0,4452743.766102318,5.153638618173979,-0.33302157305060587,98,0.2978621222325626,0.22097873374344,1.1935633361603049,1.6676181731384057,0.8944229033093287,45,8167.987195442823,0.009904523455410388,12.8,0.009453688883614378
C1,calendar_6,864000.0,5057165.106766053,5.853200355053302,-0.3764551931297462,132,0.3211532263899495,0.24410124079242648,1.1748831470701255,1.6831500568288955,0.8530981435532043,23,7339.734281042112,0.0097842701146573,25.043478260869566,0.008495062825280222
C1,calendar_12,864000.0,4492186.489271293,5.199289918138071,-0.412487096482278,134,0.3044340352020485,0.2570439035017468,1.0787700315416984,1.5238437918289867,0.7380449904937284,12,4591.084537459465,0.009823073538030282,48.0,0.005313755251689195
C1,never,864000.0,4721944.195782481,5.465213189563056,-0.6007357062438622,153,0.31687515435015357,0.37764558667667014,0.8592528276020346,1.2323792733959877,0.5274784752373642,0,862.5,0.009722417879578678,,0.0009982638888888888
C2,bands_2_10,864000.0,2981808.167889083,3.4511668609827346,-0.28526847550792467,87,0.21781472268175328,0.1605295954624159,1.1731728031988236,1.4892398545098342,0.763542912668254,238,10490.066628256101,0.010434910749449255,2.4201680672268906,0.012141280819740858
C2,bands_5_25,864000.0,3084228.993135601,3.5697094827958344,-0.28352750955088135,87,0.22023557378467418,0.16210666704059065,1.1755742730107221,1.5074222878311858,0.7767696832435622,79,7091.768480811792,0.01045257730989251,7.291139240506329,0.008208065371309945
C2,bands_10_50,864000.0,3167048.6737881317,3.6655655946621892,-0.26713064857055235,87,0.2231671803695423,0.16309379019484124,1.1840527889691923,1.5629219347482002,0.8354233464551382,29,4723.455420774206,0.010449591526272728,19.862068965517242,0.0054669622925627385
C2,bands_20_100,864000.0,3422000.138844998,3.9606483088483775,-0.26651153675261563,87,0.23392433533905188,0.16676987523202427,1.214304098921015,1.618725325997074,0.8777268638700162,13,4300.713623725689,0.010408304895106522,44.30769230769231,0.004977677805238066
C2,calendar_1,864000.0,3028707.4625822627,3.505448452062804,-0.28381732535380977,87,0.2160930833125625,0.16167131436200757,1.1572531467792464,1.4804737302316604,0.7613808742760101,133,8605.88054867305,0.010482744545766812,4.330827067669173,0.009960509894297512
C2,calendar_3,864000.0,3213462.191850032,3.7192849442708704,-0.2763369276318357,87,0.23223642219680452,0.16506673630114713,1.216733873747468,1.5674467559881595,0.840410379412677,45,6405.236182654674,0.010332948956909612,12.8,0.007413467803998465
C2,calendar_6,864000.0,3632843.8731788006,4.20468040877176,-0.27320853329541817,87,0.2582630706940263,0.17651624126621182,1.2673774747027795,1.705216014675216,0.9452965014631097,23,6031.478422298619,0.010145307435054235,25.043478260869566,0.006980877803586365
C2,calendar_12,864000.0,3604096.8909501135,4.171408438599668,-0.26361185460056324,87,0.2718930624414011,0.19290003213080323,1.2311419873374772,1.7123588304123623,1.0314143984662067,12,4956.5132307797985,0.009925508910751677,48.0,0.005736705128217359
C2,never,864000.0,4725280.2376822345,5.469074349169253,-0.5939271920515414,152,0.31785605912442016,0.37204670687468305,0.8683804700707293,1.2467301104458854,0.5351768085015316,0,862.5,0.009709397948889854,,0.0009982638888888888
