asset,variant,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,dca_max_drawdown
BTC,B1,314000.0,15126803.248192469,48.174532637555636,-0.8168847376441419,152,0.5444096224195298,0.6551886852549536,0.9570960651220293,1.4898781318345462,0.666446069233197,628,0,314.7660441487121,0.021195404855998533,1764.8555510531066,52.90213954881496,0.9703668228151499,-0.8168844478078863
BTC,B2,314000.0,16448725.314694742,52.38447552450555,-0.8143292629990021,152,0.5591666466143383,0.6588168113570797,0.9697137519817842,1.5155515451659416,0.6866591586737852,628,0,307.6892718994909,0.012711695054226741,1587.089844751504,52.90213954881496,0.9703668228151499,-0.8168844478078863
GOLD,B1,680500.0,3430644.651001098,5.041358781779718,-0.4358657285748141,463,0.10660692782243686,0.16916507772925077,0.5767452141810162,0.8302683613172346,0.24458662572764844,1361,0,681.9697621348448,0.02980925164480908,863.2434269147931,5.237994579263356,0.5895015765671615,-0.4364350635333053
GOLD,B2,680500.0,3509673.543727153,5.157492349341886,-0.43561887357409035,463,0.10959561946030894,0.17061392732567388,0.5891184603360178,0.8533692111587547,0.2515860218844922,1361,0,665.0631283394005,0.015438211686472294,826.7235488469817,5.237994579263356,0.5895015765671615,-0.4364350635333053
SILVER,B1,680500.0,3403130.1117671523,5.0009259541030895,-0.7457086494009318,754,0.09932550824635888,0.310523945436744,0.4052093464445284,0.5309725252171266,0.13319613273381292,1361,0,681.9697621348448,0.03224774156230437,13.087459639306896,5.21157916469976,0.4147130459853123,-0.7459420533221107
SILVER,B2,680500.0,3501223.859133402,5.145075472642765,-0.7457606244474686,754,0.10220001766729836,0.3127930352578556,0.41289739997652697,0.5434361983170499,0.13704131636477587,1361,0,673.4084374889142,0.017906811432228366,12.59083454673414,5.21157916469976,0.4147130459853123,-0.7459420533221107
