config_id,asset,normalization_method,lookback_years,threshold_level,weak_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_zscore_lb5_tl0_tf0.0,SP500,zscore,5,0,0.0,6.0,85.01176070155995,0.152884471619181,85.27722344483453,0.1530965091120862,False,84.8841280054634,0.15212477951533424,85.14917987853534,0.15233705290993851,False
cfg00_zscore_lb5_tl0_tf0.0,GOLD,zscore,5,0,0.0,6.0,2.151567366589332,0.4737510692235034,2.2312322553607693,0.5049170813430391,False,2.1483966322392605,0.47098930802444955,2.227883543414292,0.5019039393179513,False
cfg00_zscore_lb5_tl0_tf0.0,SILVER,zscore,5,0,0.0,6.0,1.6250988656280383,0.3061057115612285,1.686659698183187,0.3196772758715409,False,1.6227186245226557,0.30453910755627456,1.6841286627489933,0.31790937005101605,False
cfg00_zscore_lb5_tl0_tf0.0,BTC,zscore,5,0,0.0,6.0,8.293105548479746,1.0190018766527333,9.855679074865842,1.0673092354078406,False,8.280872260677977,1.016935136838613,9.84088617851966,1.0652491717139174,False
cfg00_zscore_lb5_tl0_tf0.0,OIL,zscore,5,0,0.0,6.0,1.1402491382861746,0.22227816993025082,1.1798550873762443,0.22782375575083372,False,1.1385968405782756,0.22086687837060437,1.1780850183556857,0.2262905906561879,False
cfg01_zscore_lb5_tl0_tf0.25,SP500,zscore,5,0,0.25,6.0,85.10807831517482,0.1529624320583912,85.27722344483453,0.1530965091120862,False,84.98029792866303,0.15220281046567982,85.14917987853534,0.15233705290993851,False
cfg01_zscore_lb5_tl0_tf0.25,GOLD,zscore,5,0,0.25,6.0,2.1742456571245854,0.4839544908119772,2.2312322553607693,0.5049170813430391,False,2.1710262811256498,0.4811229310927741,2.227883543414292,0.5019039393179513,False
cfg01_zscore_lb5_tl0_tf0.25,SILVER,zscore,5,0,0.25,6.0,1.6417372093480516,0.31049277352392696,1.686659698183187,0.3196772758715409,False,1.6393173955830163,0.3088731533950773,1.6841286627489933,0.31790937005101605,False
cfg01_zscore_lb5_tl0_tf0.25,BTC,zscore,5,0,0.25,6.0,8.728176212666185,1.033546133166517,9.855679074865842,1.0673092354078406,False,8.715236315096785,1.0314819962255903,9.84088617851966,1.0652491717139174,False
cfg01_zscore_lb5_tl0_tf0.25,OIL,zscore,5,0,0.25,6.0,1.1479933095188433,0.22283097240590544,1.1798550873762443,0.22782375575083372,False,1.1463148081960512,0.22138372741699325,1.1780850183556857,0.2262905906561879,False
cfg02_zscore_lb5_tl1_tf0.0,SP500,zscore,5,1,0.0,6.0,84.75644327241037,0.1526695923125939,85.27722344483453,0.1530965091120862,False,84.62919520621591,0.15190964438506907,85.14917987853534,0.15233705290993851,False
cfg02_zscore_lb5_tl1_tf0.0,GOLD,zscore,5,1,0.0,6.0,2.0368227255287605,0.4275866205786897,2.2312322553607693,0.5049170813430391,False,2.0338303192264164,0.42503822729153695,2.227883543414292,0.5019039393179513,False
cfg02_zscore_lb5_tl1_tf0.0,SILVER,zscore,5,1,0.0,6.0,1.5236260547942018,0.27804875178659944,1.686659698183187,0.3196772758715409,False,1.521404214063536,0.276638478268277,1.6841286627489933,0.31790937005101605,False
cfg02_zscore_lb5_tl1_tf0.0,BTC,zscore,5,1,0.0,6.0,7.439564228763759,0.9880823476335938,9.855679074865842,1.0673092354078406,False,7.428640252396112,0.9860016974592546,9.84088617851966,1.0652491717139174,False
cfg02_zscore_lb5_tl1_tf0.0,OIL,zscore,5,1,0.0,6.0,1.0903652851841996,0.18787033823174334,1.1798550873762443,0.22782375575083372,False,1.0887939209804263,0.18654734705935475,1.1780850183556857,0.2262905906561879,False
cfg03_zscore_lb5_tl1_tf0.25,SP500,zscore,5,1,0.25,6.0,84.9036958062032,0.15279106354532968,85.27722344483453,0.1530965091120862,False,84.7762232531347,0.15203125553554628,85.14917987853534,0.15233705290993851,False
cfg03_zscore_lb5_tl1_tf0.25,GOLD,zscore,5,1,0.25,6.0,2.0899187824551104,0.4532278098722023,2.2312322553607693,0.5049170813430391,False,2.086830552482772,0.4505318029941423,2.227883543414292,0.5019039393179513,False
cfg03_zscore_lb5_tl1_tf0.25,SILVER,zscore,5,1,0.25,6.0,1.584436577624692,0.29593920765117243,1.686659698183187,0.3196772758715409,False,1.5821073299418962,0.2944383895695397,1.6841286627489933,0.31790937005101605,False
cfg03_zscore_lb5_tl1_tf0.25,BTC,zscore,5,1,0.25,6.0,8.183014211315701,1.015221084255884,9.855679074865842,1.0673092354078406,False,8.170913663705619,1.0131473651782241,9.84088617851966,1.0652491717139174,False
cfg03_zscore_lb5_tl1_tf0.25,OIL,zscore,5,1,0.25,6.0,1.1175056325534967,0.20061094497709123,1.1798550873762443,0.22782375575083372,False,1.1158774331412906,0.199215661646403,1.1780850183556857,0.2262905906561879,False
cfg04_zscore_lb5_tl2_tf0.0,SP500,zscore,5,2,0.0,6.0,84.5818719230479,0.1525218462754541,85.27722344483453,0.1530965091120862,False,84.45488884287724,0.15176166245465098,85.14917987853534,0.15233705290993851,False
