config_id,asset,skew_lookback,k,min_mult,max_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_sl126_k0.5_mn0.25_mx1.5,SP500,126,0.5,0.25,1.5,85.27714412811275,0.15309645037899774,85.27722344483453,0.1530965091120862,False,85.14910068090794,0.15233699412932558,85.14917987853534,0.15233705290993851,False
cfg00_sl126_k0.5_mn0.25_mx1.5,GOLD,126,0.5,0.25,1.5,2.231112699857384,0.5048756083872699,2.2312322553607693,0.5049170813430391,False,2.2277641674236714,0.50186230483852,2.227883543414292,0.5019039393179513,False
cfg00_sl126_k0.5_mn0.25_mx1.5,SILVER,126,0.5,0.25,1.5,1.6869230063644651,0.31979859565598384,1.686659698183187,0.3196772758715409,True,1.6843915755726409,0.31803072335344024,1.6841286627489933,0.31790937005101605,True
cfg00_sl126_k0.5_mn0.25_mx1.5,BTC,126,0.5,0.25,1.5,9.843710553160248,1.0666541509865914,9.855679074865842,1.0673092354078406,False,9.828935627567382,1.0645936020682265,9.84088617851966,1.0652491717139174,False
cfg00_sl126_k0.5_mn0.25_mx1.5,OIL,126,0.5,0.25,1.5,1.1800152925775207,0.22782731322824595,1.1798550873762443,0.22782375575083372,True,1.1782449830086137,0.22629396566976312,1.1780850183556857,0.2262905906561879,True
cfg01_sl126_k0.5_mn0.25_mx2.0,SP500,126,0.5,0.25,2.0,85.27714412811275,0.15309645037899774,85.27722344483453,0.1530965091120862,False,85.14910068090794,0.15233699412932558,85.14917987853534,0.15233705290993851,False
cfg01_sl126_k0.5_mn0.25_mx2.0,GOLD,126,0.5,0.25,2.0,2.231112699857384,0.5048756083872699,2.2312322553607693,0.5049170813430391,False,2.2277641674236714,0.50186230483852,2.227883543414292,0.5019039393179513,False
cfg01_sl126_k0.5_mn0.25_mx2.0,SILVER,126,0.5,0.25,2.0,1.6869230063644651,0.31979859565598384,1.686659698183187,0.3196772758715409,True,1.6843915755726409,0.31803072335344024,1.6841286627489933,0.31790937005101605,True
cfg01_sl126_k0.5_mn0.25_mx2.0,BTC,126,0.5,0.25,2.0,9.843710553160248,1.0666541509865914,9.855679074865842,1.0673092354078406,False,9.828935627567382,1.0645936020682265,9.84088617851966,1.0652491717139174,False
cfg01_sl126_k0.5_mn0.25_mx2.0,OIL,126,0.5,0.25,2.0,1.1800152925775207,0.22782731322824595,1.1798550873762443,0.22782375575083372,True,1.1782449830086137,0.22629396566976312,1.1780850183556857,0.2262905906561879,True
cfg02_sl126_k0.5_mn0.5_mx1.5,SP500,126,0.5,0.5,1.5,85.27714412811275,0.15309645037899774,85.27722344483453,0.1530965091120862,False,85.14910068090794,0.15233699412932558,85.14917987853534,0.15233705290993851,False
cfg02_sl126_k0.5_mn0.5_mx1.5,GOLD,126,0.5,0.5,1.5,2.231112699857384,0.5048756083872699,2.2312322553607693,0.5049170813430391,False,2.2277641674236714,0.50186230483852,2.227883543414292,0.5019039393179513,False
cfg02_sl126_k0.5_mn0.5_mx1.5,SILVER,126,0.5,0.5,1.5,1.6869230063644651,0.31979859565598384,1.686659698183187,0.3196772758715409,True,1.6843915755726409,0.31803072335344024,1.6841286627489933,0.31790937005101605,True
cfg02_sl126_k0.5_mn0.5_mx1.5,BTC,126,0.5,0.5,1.5,9.843710553160248,1.0666541509865914,9.855679074865842,1.0673092354078406,False,9.828935627567382,1.0645936020682265,9.84088617851966,1.0652491717139174,False
cfg02_sl126_k0.5_mn0.5_mx1.5,OIL,126,0.5,0.5,1.5,1.1800152925775207,0.22782731322824595,1.1798550873762443,0.22782375575083372,True,1.1782449830086137,0.22629396566976312,1.1780850183556857,0.2262905906561879,True
cfg03_sl126_k0.5_mn0.5_mx2.0,SP500,126,0.5,0.5,2.0,85.27714412811275,0.15309645037899774,85.27722344483453,0.1530965091120862,False,85.14910068090794,0.15233699412932558,85.14917987853534,0.15233705290993851,False
cfg03_sl126_k0.5_mn0.5_mx2.0,GOLD,126,0.5,0.5,2.0,2.231112699857384,0.5048756083872699,2.2312322553607693,0.5049170813430391,False,2.2277641674236714,0.50186230483852,2.227883543414292,0.5019039393179513,False
cfg03_sl126_k0.5_mn0.5_mx2.0,SILVER,126,0.5,0.5,2.0,1.6869230063644651,0.31979859565598384,1.686659698183187,0.3196772758715409,True,1.6843915755726409,0.31803072335344024,1.6841286627489933,0.31790937005101605,True
cfg03_sl126_k0.5_mn0.5_mx2.0,BTC,126,0.5,0.5,2.0,9.843710553160248,1.0666541509865914,9.855679074865842,1.0673092354078406,False,9.828935627567382,1.0645936020682265,9.84088617851966,1.0652491717139174,False
cfg03_sl126_k0.5_mn0.5_mx2.0,OIL,126,0.5,0.5,2.0,1.1800152925775207,0.22782731322824595,1.1798550873762443,0.22782375575083372,True,1.1782449830086137,0.22629396566976312,1.1780850183556857,0.2262905906561879,True
cfg04_sl126_k1.0_mn0.25_mx1.5,SP500,126,1.0,0.25,1.5,85.27710417757633,0.15309641887148692,85.27722344483453,0.1530965091120862,False,85.14906094678285,0.15233696265240587,85.14917987853534,0.15233705290993851,False
cfg04_sl126_k1.0_mn0.25_mx1.5,GOLD,126,1.0,0.25,1.5,2.2308427656694776,0.5048619480247549,2.2312322553607693,0.5049170813430391,False,2.227495382105545,0.5018484053962394,2.227883543414292,0.5019039393179513,False
cfg04_sl126_k1.0_mn0.25_mx1.5,SILVER,126,1.0,0.25,1.5,1.6866218193394433,0.31971199629643343,1.686659698183187,0.3196772758715409,False,1.6840915843435753,0.31794396914374606,1.6841286627489933,0.31790937005101605,False
cfg04_sl126_k1.0_mn0.25_mx1.5,BTC,126,1.0,0.25,1.5,9.836890717121468,1.0662893795664234,9.855679074865842,1.0673092354078406,False,9.822128720704866,1.0642285112717433,9.84088617851966,1.0652491717139174,False
cfg04_sl126_k1.0_mn0.25_mx1.5,OIL,126,1.0,0.25,1.5,1.180401876902578,0.2280028382189387,1.1798550873762443,0.22782375575083372,True,1.1786317297044409,0.22646949392019428,1.1780850183556857,0.2262905906561879,True
cfg05_sl126_k1.0_mn0.25_mx2.0,SP500,126,1.0,0.25,2.0,85.27710417757633,0.15309641887148692,85.27722344483453,0.1530965091120862,False,85.14906094678285,0.15233696265240587,85.14917987853534,0.15233705290993851,False
cfg05_sl126_k1.0_mn0.25_mx2.0,GOLD,126,1.0,0.25,2.0,2.2308427656694776,0.5048619480247549,2.2312322553607693,0.5049170813430391,False,2.227495382105545,0.5018484053962394,2.227883543414292,0.5019039393179513,False
cfg05_sl126_k1.0_mn0.25_mx2.0,SILVER,126,1.0,0.25,2.0,1.6866218193394433,0.31971199629643343,1.686659698183187,0.3196772758715409,False,1.6840915843435753,0.31794396914374606,1.6841286627489933,0.31790937005101605,False
cfg05_sl126_k1.0_mn0.25_mx2.0,BTC,126,1.0,0.25,2.0,9.836890717121468,1.0662893795664234,9.855679074865842,1.0673092354078406,False,9.822128720704866,1.0642285112717433,9.84088617851966,1.0652491717139174,False
cfg05_sl126_k1.0_mn0.25_mx2.0,OIL,126,1.0,0.25,2.0,1.180401876902578,0.2280028382189387,1.1798550873762443,0.22782375575083372,True,1.1786317297044409,0.22646949392019428,1.1780850183556857,0.2262905906561879,True
cfg06_sl126_k1.0_mn0.5_mx1.5,SP500,126,1.0,0.5,1.5,85.27709776031634,0.1530964159589733,85.27722344483453,0.1530965091120862,False,85.14905438274202,0.1523369596860681,85.14917987853534,0.15233705290993851,False
cfg06_sl126_k1.0_mn0.5_mx1.5,GOLD,126,1.0,0.5,1.5,2.2310547893640225,0.5048583174774249,2.2312322553607693,0.5049170813430391,False,2.2277063439269633,0.5018449395674969,2.227883543414292,0.5019039393179513,False
cfg06_sl126_k1.0_mn0.5_mx1.5,SILVER,126,1.0,0.5,1.5,1.6869956617406325,0.31981816888557085,1.686659698183187,0.3196772758715409,True,1.6844641219006047,0.3180502724860071,1.6841286627489933,0.31790937005101605,True
cfg06_sl126_k1.0_mn0.5_mx1.5,BTC,126,1.0,0.5,1.5,9.839814377357696,1.0663229080999606,9.855679074865842,1.0673092354078406,False,9.82504530203888,1.0642620824350835,9.84088617851966,1.0652491717139174,False
cfg06_sl126_k1.0_mn0.5_mx1.5,OIL,126,1.0,0.5,1.5,1.180283875350703,0.22796924935098048,1.1798550873762443,0.22782375575083372,True,1.1785131625482648,0.22643602881758565,1.1780850183556857,0.2262905906561879,True
cfg07_sl126_k1.0_mn0.5_mx2.0,SP500,126,1.0,0.5,2.0,85.27709776031634,0.1530964159589733,85.27722344483453,0.1530965091120862,False,85.14905438274202,0.1523369596860681,85.14917987853534,0.15233705290993851,False
cfg07_sl126_k1.0_mn0.5_mx2.0,GOLD,126,1.0,0.5,2.0,2.2310547893640225,0.5048583174774249,2.2312322553607693,0.5049170813430391,False,2.2277063439269633,0.5018449395674969,2.227883543414292,0.5019039393179513,False
cfg07_sl126_k1.0_mn0.5_mx2.0,SILVER,126,1.0,0.5,2.0,1.6869956617406325,0.31981816888557085,1.686659698183187,0.3196772758715409,True,1.6844641219006047,0.3180502724860071,1.6841286627489933,0.31790937005101605,True
cfg07_sl126_k1.0_mn0.5_mx2.0,BTC,126,1.0,0.5,2.0,9.839814377357696,1.0663229080999606,9.855679074865842,1.0673092354078406,False,9.82504530203888,1.0642620824350835,9.84088617851966,1.0652491717139174,False
cfg07_sl126_k1.0_mn0.5_mx2.0,OIL,126,1.0,0.5,2.0,1.180283875350703,0.22796924935098048,1.1798550873762443,0.22782375575083372,True,1.1785131625482648,0.22643602881758565,1.1780850183556857,0.2262905906561879,True
cfg08_sl126_k1.5_mn0.25_mx1.5,SP500,126,1.5,0.25,1.5,85.27703670654981,0.15309636885233285,85.27722344483453,0.1530965091120862,False,85.14899357706405,0.1523369125995824,85.14917987853534,0.15233705290993851,False
cfg08_sl126_k1.5_mn0.25_mx1.5,GOLD,126,1.5,0.25,1.5,2.2307966213279875,0.5048975089064867,2.2312322553607693,0.5049170813430391,False,2.2274493070498456,0.5018839600227623,2.227883543414292,0.5019039393179513,False
cfg08_sl126_k1.5_mn0.25_mx1.5,SILVER,126,1.5,0.25,1.5,1.6865418167528752,0.3197341206095543,1.686659698183187,0.3196772758715409,False,1.6840117018810148,0.31796607483606737,1.6841286627489933,0.31790937005101605,False
cfg08_sl126_k1.5_mn0.25_mx1.5,BTC,126,1.5,0.25,1.5,9.8335069935306,1.0661554116868601,9.855679074865842,1.0673092354078406,False,9.818750099291577,1.0640943738021482,9.84088617851966,1.0652491717139174,False
cfg08_sl126_k1.5_mn0.25_mx1.5,OIL,126,1.5,0.25,1.5,1.1807484483186084,0.2283115572847777,1.1798550873762443,0.22782375575083372,True,1.1789777807429735,0.2267785408454877,1.1780850183556857,0.2262905906561879,True
cfg09_sl126_k1.5_mn0.25_mx2.0,SP500,126,1.5,0.25,2.0,85.27703670654981,0.15309636885233285,85.27722344483453,0.1530965091120862,False,85.14899357706405,0.1523369125995824,85.14917987853534,0.15233705290993851,False
cfg09_sl126_k1.5_mn0.25_mx2.0,GOLD,126,1.5,0.25,2.0,2.2307966213279875,0.5048975089064867,2.2312322553607693,0.5049170813430391,False,2.2274493070498456,0.5018839600227623,2.227883543414292,0.5019039393179513,False
cfg09_sl126_k1.5_mn0.25_mx2.0,SILVER,126,1.5,0.25,2.0,1.6865418167528752,0.3197341206095543,1.686659698183187,0.3196772758715409,False,1.6840117018810148,0.31796607483606737,1.6841286627489933,0.31790937005101605,False
cfg09_sl126_k1.5_mn0.25_mx2.0,BTC,126,1.5,0.25,2.0,9.8335069935306,1.0661554116868601,9.855679074865842,1.0673092354078406,False,9.818750099291577,1.0640943738021482,9.84088617851966,1.0652491717139174,False
cfg09_sl126_k1.5_mn0.25_mx2.0,OIL,126,1.5,0.25,2.0,1.1807484483186084,0.2283115572847777,1.1798550873762443,0.22782375575083372,True,1.1789777807429735,0.2267785408454877,1.1780850183556857,0.2262905906561879,True
cfg10_sl126_k1.5_mn0.5_mx1.5,SP500,126,1.5,0.5,1.5,85.27707323589912,0.15309639797218516,85.27722344483453,0.1530965091120862,False,85.14902989514808,0.15233694169321146,85.14917987853534,0.15233705290993851,False
cfg10_sl126_k1.5_mn0.5_mx1.5,GOLD,126,1.5,0.5,1.5,2.2310262363322884,0.504841041078824,2.2312322553607693,0.5049170813430391,False,2.227677833767645,0.5018276342487519,2.227883543414292,0.5019039393179513,False
cfg10_sl126_k1.5_mn0.5_mx1.5,SILVER,126,1.5,0.5,1.5,1.686913816992878,0.3198035966318981,1.686659698183187,0.3196772758715409,True,1.684382400042861,0.31803568092799345,1.6841286627489933,0.31790937005101605,True
cfg10_sl126_k1.5_mn0.5_mx1.5,BTC,126,1.5,0.5,1.5,9.839340773873376,1.066315632498697,9.855679074865842,1.0673092354078406,False,9.824572409670905,1.0642547933360202,9.84088617851966,1.0652491717139174,False
cfg10_sl126_k1.5_mn0.5_mx1.5,OIL,126,1.5,0.5,1.5,1.1803462251346264,0.22799165520210685,1.1798550873762443,0.22782375575083372,True,1.1785754187138933,0.22645844898429313,1.1780850183556857,0.2262905906561879,True
cfg11_sl126_k1.5_mn0.5_mx2.0,SP500,126,1.5,0.5,2.0,85.27707323589912,0.15309639797218516,85.27722344483453,0.1530965091120862,False,85.14902989514808,0.15233694169321146,85.14917987853534,0.15233705290993851,False
