config_id,asset,ui_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_uw63_pl252_k0.5_mn0.25,SP500,63,252,0.5,0.25,85.27691465286101,0.15313793555994418,85.27722344483453,0.1530965091120862,False,85.1488715502134,0.15237848760086328,85.14917987853534,0.15233705290993851,False
cfg00_uw63_pl252_k0.5_mn0.25,GOLD,63,252,0.5,0.25,2.2312740476822372,0.5048442299003604,2.2312322553607693,0.5049170813430391,False,2.227925272984528,0.501830594042964,2.227883543414292,0.5019039393179513,False
cfg00_uw63_pl252_k0.5_mn0.25,SILVER,63,252,0.5,0.25,1.6868432541908656,0.31964577141365225,1.686659698183187,0.3196772758715409,False,1.6843119431470475,0.3178776791930126,1.6841286627489933,0.31790937005101605,False
cfg00_uw63_pl252_k0.5_mn0.25,BTC,63,252,0.5,0.25,9.85394701423321,1.067261543922849,9.855679074865842,1.0673092354078406,False,9.839156718578684,1.0652014242410428,9.84088617851966,1.0652491717139174,False
cfg00_uw63_pl252_k0.5_mn0.25,OIL,63,252,0.5,0.25,1.180022099398262,0.22765850069424523,1.1798550873762443,0.22782375575083372,False,1.178251779608905,0.226124868075517,1.1780850183556857,0.2262905906561879,False
cfg01_uw63_pl252_k0.5_mn0.5,SP500,63,252,0.5,0.5,85.27691465286101,0.15313793555994418,85.27722344483453,0.1530965091120862,False,85.1488715502134,0.15237848760086328,85.14917987853534,0.15233705290993851,False
cfg01_uw63_pl252_k0.5_mn0.5,GOLD,63,252,0.5,0.5,2.2312740476822372,0.5048442299003604,2.2312322553607693,0.5049170813430391,False,2.227925272984528,0.501830594042964,2.227883543414292,0.5019039393179513,False
cfg01_uw63_pl252_k0.5_mn0.5,SILVER,63,252,0.5,0.5,1.6868432541908656,0.31964577141365225,1.686659698183187,0.3196772758715409,False,1.6843119431470475,0.3178776791930126,1.6841286627489933,0.31790937005101605,False
cfg01_uw63_pl252_k0.5_mn0.5,BTC,63,252,0.5,0.5,9.85394701423321,1.067261543922849,9.855679074865842,1.0673092354078406,False,9.839156718578684,1.0652014242410428,9.84088617851966,1.0652491717139174,False
cfg01_uw63_pl252_k0.5_mn0.5,OIL,63,252,0.5,0.5,1.180022099398262,0.22765850069424523,1.1798550873762443,0.22782375575083372,False,1.178251779608905,0.226124868075517,1.1780850183556857,0.2262905906561879,False
cfg02_uw63_pl252_k1.0_mn0.25,SP500,63,252,1.0,0.25,85.25527732645003,0.15304844399854095,85.27722344483453,0.1530965091120862,False,85.12726671228185,0.15228875983349174,85.14917987853534,0.15233705290993851,False
cfg02_uw63_pl252_k1.0_mn0.25,GOLD,63,252,1.0,0.25,2.231221240520239,0.5047061741642827,2.2312322553607693,0.5049170813430391,False,2.2278732886757546,0.5016915195617241,2.227883543414292,0.5019039393179513,False
cfg02_uw63_pl252_k1.0_mn0.25,SILVER,63,252,1.0,0.25,1.6866134537552018,0.31946333168528995,1.686659698183187,0.3196772758715409,False,1.6840832313202738,0.3176949431126387,1.6841286627489933,0.31790937005101605,False
