config_id,lookback_days,tilt_strength,min_weight,max_weight,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb126_ts0.0_mn0.1_mx0.3,126,0.0,0.1,0.3,1.9755179865894734,1.0338175278277875,2.936827935697141,0.8017476338865982,False,1.9618563107308629,1.0161436263812338,2.932423704725081,0.7982484049375094,False
cfg01_lb126_ts0.0_mn0.05_mx0.4,126,0.0,0.05,0.4,1.9755179865894734,1.0338175278277875,2.936827935697141,0.8017476338865982,False,1.9618563107308629,1.0161436263812338,2.932423704725081,0.7982484049375094,False
cfg02_lb126_ts0.5_mn0.1_mx0.3,126,0.5,0.1,0.3,2.2972830316866033,1.0075641221854592,2.936827935697141,0.8017476338865982,False,2.262871607466687,0.984077795581236,2.932423704725081,0.7982484049375094,False
cfg03_lb126_ts0.5_mn0.05_mx0.4,126,0.5,0.05,0.4,2.5255852750940018,0.9985905460957125,2.936827935697141,0.8017476338865982,False,2.4794085027721686,0.9745229072617945,2.932423704725081,0.7982484049375094,False
cfg04_lb126_ts1.0_mn0.1_mx0.3,126,1.0,0.1,0.3,2.558426382810251,1.0055896154967048,2.936827935697141,0.8017476338865982,False,2.511738988789441,0.9818095321569276,2.932423704725081,0.7982484049375094,False
cfg05_lb126_ts1.0_mn0.05_mx0.4,126,1.0,0.05,0.4,2.8514628184659414,0.9807553630142498,2.936827935697141,0.8017476338865982,False,2.7810049515700133,0.9553912129587574,2.932423704725081,0.7982484049375094,False
cfg06_lb126_ts2.0_mn0.1_mx0.3,126,2.0,0.1,0.3,2.659383917004996,1.0148141393218477,2.936827935697141,0.8017476338865982,False,2.606071044792668,0.9898812320199628,2.932423704725081,0.7982484049375094,False
cfg07_lb126_ts2.0_mn0.05_mx0.4,126,2.0,0.05,0.4,3.523478056364699,0.9808238269033294,2.936827935697141,0.8017476338865982,True,3.4222144039522244,0.9573986189522019,2.932423704725081,0.7982484049375094,True
cfg08_lb252_ts0.0_mn0.1_mx0.3,252,0.0,0.1,0.3,1.9755179865894734,1.0338175278277875,2.936827935697141,0.8017476338865982,False,1.9618563107308629,1.0161436263812338,2.932423704725081,0.7982484049375094,False
cfg09_lb252_ts0.0_mn0.05_mx0.4,252,0.0,0.05,0.4,1.9755179865894734,1.0338175278277875,2.936827935697141,0.8017476338865982,False,1.9618563107308629,1.0161436263812338,2.932423704725081,0.7982484049375094,False
cfg10_lb252_ts0.5_mn0.1_mx0.3,252,0.5,0.1,0.3,2.2063237393638233,0.9770268922757661,2.936827935697141,0.8017476338865982,False,2.181014681182561,0.9594748526019311,2.932423704725081,0.7982484049375094,False
cfg11_lb252_ts0.5_mn0.05_mx0.4,252,0.5,0.05,0.4,2.3605476998473307,0.967488437735024,2.936827935697141,0.8017476338865982,False,2.3286425239714266,0.9505882371093707,2.932423704725081,0.7982484049375094,False
cfg12_lb252_ts1.0_mn0.1_mx0.3,252,1.0,0.1,0.3,2.46089718900275,0.9730821434806343,2.936827935697141,0.8017476338865982,False,2.4259637313216142,0.9555460084358377,2.932423704725081,0.7982484049375094,False
cfg13_lb252_ts1.0_mn0.05_mx0.4,252,1.0,0.05,0.4,2.6288949221029068,0.9329003261568286,2.936827935697141,0.8017476338865982,False,2.5814566490574338,0.915289487057374,2.932423704725081,0.7982484049375094,False
cfg14_lb252_ts2.0_mn0.1_mx0.3,252,2.0,0.1,0.3,2.541432945225332,0.9914012254329976,2.936827935697141,0.8017476338865982,False,2.498951515621986,0.9720352815061145,2.932423704725081,0.7982484049375094,False
cfg15_lb252_ts2.0_mn0.05_mx0.4,252,2.0,0.05,0.4,3.284108828034029,0.9463350579331825,2.936827935697141,0.8017476338865982,True,3.2099025012760958,0.929446566055193,2.932423704725081,0.7982484049375094,True
