config_id,asset,tilt_strength,power,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_ts0.3_p1.0_ml4,SP500,0.3,1.0,4,85.25348075933113,0.15342072960402955,85.27722344483453,0.1530965091120862,False,85.12552515981525,0.15272166914766827,85.14917987853534,0.15233705290993851,False
cfg00_ts0.3_p1.0_ml4,GOLD,0.3,1.0,4,2.2219000387060763,0.5057200887952671,2.2312322553607693,0.5049170813430391,False,2.218571109879711,0.5028036696980203,2.227883543414292,0.5019039393179513,False
cfg00_ts0.3_p1.0_ml4,SILVER,0.3,1.0,4,1.68037778082677,0.3212877779697349,1.686659698183187,0.3196772758715409,False,1.677861940493262,0.3195864484422471,1.6841286627489933,0.31790937005101605,False
cfg00_ts0.3_p1.0_ml4,BTC,0.3,1.0,4,9.717983054811747,1.0872223847995703,9.855679074865842,1.0673092354078406,False,9.703413931493131,1.0853077572442833,9.84088617851966,1.0652491717139174,False
cfg00_ts0.3_p1.0_ml4,OIL,0.3,1.0,4,1.169060587165196,0.2257617337603001,1.1798550873762443,0.22782375575083372,False,1.1673124852804313,0.22426683198344174,1.1780850183556857,0.2262905906561879,False
cfg01_ts0.3_p1.0_ml8,SP500,0.3,1.0,8,85.25348075933113,0.15342072960402955,85.27722344483453,0.1530965091120862,False,85.12552515981525,0.15272166914766827,85.14917987853534,0.15233705290993851,False
cfg01_ts0.3_p1.0_ml8,GOLD,0.3,1.0,8,2.2219000387060763,0.5057200887952671,2.2312322553607693,0.5049170813430391,False,2.218571109879711,0.5028036696980203,2.227883543414292,0.5019039393179513,False
cfg01_ts0.3_p1.0_ml8,SILVER,0.3,1.0,8,1.68037778082677,0.3212877779697349,1.686659698183187,0.3196772758715409,False,1.677861940493262,0.3195864484422471,1.6841286627489933,0.31790937005101605,False
cfg01_ts0.3_p1.0_ml8,BTC,0.3,1.0,8,9.717983054811747,1.0872223847995703,9.855679074865842,1.0673092354078406,False,9.703413931493131,1.0853077572442833,9.84088617851966,1.0652491717139174,False
cfg01_ts0.3_p1.0_ml8,OIL,0.3,1.0,8,1.169060587165196,0.2257617337603001,1.1798550873762443,0.22782375575083372,False,1.1673124852804313,0.22426683198344174,1.1780850183556857,0.2262905906561879,False
cfg02_ts0.3_p1.0_ml12,SP500,0.3,1.0,12,85.25348075933113,0.15342072960402955,85.27722344483453,0.1530965091120862,False,85.12552515981525,0.15272166914766827,85.14917987853534,0.15233705290993851,False
cfg02_ts0.3_p1.0_ml12,GOLD,0.3,1.0,12,2.2219000387060763,0.5057200887952671,2.2312322553607693,0.5049170813430391,False,2.218571109879711,0.5028036696980203,2.227883543414292,0.5019039393179513,False
