config_id,asset,sortino_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_sw40_pl504_k0.5_mn0.25,SP500,40,504,0.5,0.25,85.28011412655917,0.1531098646024806,85.27722344483453,0.1530965091120862,True,85.1520662198974,0.15235038096487108,85.14917987853534,0.15233705290993851,True
cfg00_sw40_pl504_k0.5_mn0.25,GOLD,40,504,0.5,0.25,2.2312860087914705,0.504928862807576,2.2312322553607693,0.5049170813430391,True,2.227937216134136,0.5019156109591059,2.227883543414292,0.5019039393179513,True
cfg00_sw40_pl504_k0.5_mn0.25,SILVER,40,504,0.5,0.25,1.6867039002851854,0.3196746013214941,1.686659698183187,0.3196772758715409,False,1.6841727984814676,0.3179066222308062,1.6841286627489933,0.31790937005101605,False
cfg00_sw40_pl504_k0.5_mn0.25,BTC,40,504,0.5,0.25,9.853559831671236,1.0672684006845934,9.855679074865842,1.0673092354078406,False,9.838770117371894,1.0652082655225326,9.84088617851966,1.0652491717139174,False
cfg00_sw40_pl504_k0.5_mn0.25,OIL,40,504,0.5,0.25,1.1803343196207066,0.22787362824962346,1.1798550873762443,0.22782375575083372,True,1.1785635310322156,0.22634036626199822,1.1780850183556857,0.2262905906561879,True
cfg01_sw40_pl504_k0.5_mn0.5,SP500,40,504,0.5,0.5,85.28011412655917,0.1531098646024806,85.27722344483453,0.1530965091120862,True,85.1520662198974,0.15235038096487108,85.14917987853534,0.15233705290993851,True
cfg01_sw40_pl504_k0.5_mn0.5,GOLD,40,504,0.5,0.5,2.2312860087914705,0.504928862807576,2.2312322553607693,0.5049170813430391,True,2.227937216134136,0.5019156109591059,2.227883543414292,0.5019039393179513,True
cfg01_sw40_pl504_k0.5_mn0.5,SILVER,40,504,0.5,0.5,1.6867039002851854,0.3196746013214941,1.686659698183187,0.3196772758715409,False,1.6841727984814676,0.3179066222308062,1.6841286627489933,0.31790937005101605,False
cfg01_sw40_pl504_k0.5_mn0.5,BTC,40,504,0.5,0.5,9.853559831671236,1.0672684006845934,9.855679074865842,1.0673092354078406,False,9.838770117371894,1.0652082655225326,9.84088617851966,1.0652491717139174,False
cfg01_sw40_pl504_k0.5_mn0.5,OIL,40,504,0.5,0.5,1.1803343196207066,0.22787362824962346,1.1798550873762443,0.22782375575083372,True,1.1785635310322156,0.22634036626199822,1.1780850183556857,0.2262905906561879,True
cfg02_sw40_pl504_k1.0_mn0.25,SP500,40,504,1.0,0.25,85.25897336760129,0.1530139549554944,85.27722344483453,0.1530965091120862,False,85.13095720382128,0.15225426320371085,85.14917987853534,0.15233705290993851,False
cfg02_sw40_pl504_k1.0_mn0.25,GOLD,40,504,1.0,0.25,2.2311345211828786,0.50490438913072,2.2312322553607693,0.5049170813430391,False,2.2277859559844186,0.5018908869062074,2.227883543414292,0.5019039393179513,False
cfg02_sw40_pl504_k1.0_mn0.25,SILVER,40,504,1.0,0.25,1.686573222331904,0.31963396415387996,1.686659698183187,0.3196772758715409,False,1.6840423167413363,0.3178658378319722,1.6841286627489933,0.31790937005101605,False
cfg02_sw40_pl504_k1.0_mn0.25,BTC,40,504,1.0,0.25,9.851071122153435,1.0672138687554025,9.855679074865842,1.0673092354078406,False,9.83628514465516,1.0651536639711128,9.84088617851966,1.0652491717139174,False
cfg02_sw40_pl504_k1.0_mn0.25,OIL,40,504,1.0,0.25,1.180668021767938,0.22789883689379348,1.1798550873762443,0.22782375575083372,True,1.1788967321251669,0.22636540335534042,1.1780850183556857,0.2262905906561879,True
cfg03_sw40_pl504_k1.0_mn0.5,SP500,40,504,1.0,0.5,85.28021256554064,0.1531071662053898,85.27722344483453,0.1530965091120862,True,85.15216451107247,0.15234766491130575,85.14917987853534,0.15233705290993851,True
cfg03_sw40_pl504_k1.0_mn0.5,GOLD,40,504,1.0,0.5,2.2313201225255535,0.504936870785648,2.2312322553607693,0.5049170813430391,True,2.227971278646404,0.5019235709091238,2.227883543414292,0.5019039393179513,True
cfg03_sw40_pl504_k1.0_mn0.5,SILVER,40,504,1.0,0.5,1.6867127800149417,0.3196679323882013,1.686659698183187,0.3196772758715409,False,1.6841816648783001,0.3178999103173898,1.6841286627489933,0.31790937005101605,False
cfg03_sw40_pl504_k1.0_mn0.5,BTC,40,504,1.0,0.5,9.852587704023987,1.0672461131143933,9.855679074865842,1.0673092354078406,False,9.837799449375767,1.0651859639472723,9.84088617851966,1.0652491717139174,False
