config_id,asset,fast_days,slow_days,persistence_days,bull_mult,bear_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_f50_s200_pd0_bu1.25_be0.5,SP500,50,200,0,1.25,0.5,85.28669700137759,0.15310251949407613,85.27722344483453,0.1530965091120862,True,85.15863921051898,0.15234298160218146,85.14917987853534,0.15233705290993851,True
cfg00_f50_s200_pd0_bu1.25_be0.5,GOLD,50,200,0,1.25,0.5,2.2314340688646888,0.5049626342487034,2.2312322553607693,0.5049170813430391,True,2.228085053894939,0.501949423443978,2.227883543414292,0.5019039393179513,True
cfg00_f50_s200_pd0_bu1.25_be0.5,SILVER,50,200,0,1.25,0.5,1.686827719483699,0.31959614649934137,1.686659698183187,0.3196772758715409,False,1.6842964317652653,0.31782799145570567,1.6841286627489933,0.31790937005101605,False
cfg00_f50_s200_pd0_bu1.25_be0.5,BTC,50,200,0,1.25,0.5,9.858061386461701,1.0675500215475233,9.855679074865842,1.0673092354078406,True,9.843264913231332,1.0654898890504811,9.84088617851966,1.0652491717139174,True
cfg00_f50_s200_pd0_bu1.25_be0.5,OIL,50,200,0,1.25,0.5,1.1804718355847938,0.2277523322662655,1.1798550873762443,0.22782375575083372,False,1.178700840559781,0.22621872759749478,1.1780850183556857,0.2262905906561879,False
cfg01_f50_s200_pd0_bu1.25_be0.75,SP500,50,200,0,1.25,0.75,85.28196047312927,0.15309951871169727,85.27722344483453,0.1530965091120862,True,85.15390979417509,0.1523400216282247,85.14917987853534,0.15233705290993851,True
cfg01_f50_s200_pd0_bu1.25_be0.75,GOLD,50,200,0,1.25,0.75,2.2313331644801093,0.5049398589591119,2.2312322553607693,0.5049170813430391,True,2.2279843010184375,0.5019266825396518,2.227883543414292,0.5019039393179513,True
cfg01_f50_s200_pd0_bu1.25_be0.75,SILVER,50,200,0,1.25,0.75,1.6867437084198011,0.3196367219808079,1.686659698183187,0.3196772758715409,False,1.684212546844111,0.31786869151882857,1.6841286627489933,0.31790937005101605,False
cfg01_f50_s200_pd0_bu1.25_be0.75,BTC,50,200,0,1.25,0.75,9.856870256690861,1.0674296873562166,9.855679074865842,1.0673092354078406,True,9.842075571783376,1.065369588966898,9.84088617851966,1.0652491717139174,True
cfg01_f50_s200_pd0_bu1.25_be0.75,OIL,50,200,0,1.25,0.75,1.1801634616059475,0.22778806225271547,1.1798550873762443,0.22782375575083372,False,1.1783929295610192,0.22625467705567054,1.1780850183556857,0.2262905906561879,False
cfg02_f50_s200_pd0_bu1.5_be0.5,SP500,50,200,0,1.5,0.5,85.28669700137759,0.15310251949407613,85.27722344483453,0.1530965091120862,True,85.15863921051898,0.15234298160218146,85.14917987853534,0.15233705290993851,True
