config_id,asset,vix_lookback,elevated_pct,buy_multiplier,calm_fraction,max_buy_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb252_ep80.0_bm1.5_cf0.75,SP500,252,80.0,1.5,0.75,4.0,67.7498361137611,0.16006791275800383,85.27722344483453,0.1530965091120862,False,67.6535668355198,0.1593521821747405,85.14917987853534,0.15233705290993851,False
cfg00_lb252_ep80.0_bm1.5_cf0.75,GOLD,252,80.0,1.5,0.75,4.0,2.0763294514411617,0.49344083783658627,2.2312322553607693,0.5049170813430391,False,2.0734156244652775,0.4907742935349775,2.227883543414292,0.5019039393179513,False
cfg00_lb252_ep80.0_bm1.5_cf0.75,SILVER,252,80.0,1.5,0.75,4.0,1.604280807316407,0.3086587353200736,1.686659698183187,0.3196772758715409,False,1.6020757823231695,0.3071103751936459,1.6841286627489933,0.31790937005101605,False
cfg00_lb252_ep80.0_bm1.5_cf0.75,BTC,252,80.0,1.5,0.75,4.0,8.703037468438666,1.0755554260588496,9.855679074865842,1.0673092354078406,False,8.690185781026308,1.0738540451419023,9.84088617851966,1.0652491717139174,False
cfg00_lb252_ep80.0_bm1.5_cf0.75,OIL,252,80.0,1.5,0.75,4.0,1.1670202501505647,0.21468746094861724,1.1798550873762443,0.22782375575083372,False,1.1654720815314206,0.21327449296991247,1.1780850183556857,0.2262905906561879,False
cfg01_lb252_ep80.0_bm1.5_cf0.9,SP500,252,80.0,1.5,0.9,4.0,78.30402126198278,0.15614852911584312,85.27722344483453,0.1530965091120862,False,78.18859276949944,0.15540415790957948,85.14917987853534,0.15233705290993851,False
cfg01_lb252_ep80.0_bm1.5_cf0.9,GOLD,252,80.0,1.5,0.9,4.0,2.205802385727433,0.5029821355318946,2.2312322553607693,0.5049170813430391,False,2.2025021182017,0.5001242006217985,2.227883543414292,0.5019039393179513,False
cfg01_lb252_ep80.0_bm1.5_cf0.9,SILVER,252,80.0,1.5,0.9,4.0,1.6685915797066981,0.31844210412371327,1.686659698183187,0.3196772758715409,False,1.6660979350128233,0.31677125316921284,1.6841286627489933,0.31790937005101605,False
cfg01_lb252_ep80.0_bm1.5_cf0.9,BTC,252,80.0,1.5,0.9,4.0,9.714994474124218,1.080984744192783,9.855679074865842,1.0673092354078406,False,9.700434266140737,1.0790714100278809,9.84088617851966,1.0652491717139174,False
cfg01_lb252_ep80.0_bm1.5_cf0.9,OIL,252,80.0,1.5,0.9,4.0,1.1754719258702342,0.22779701456178542,1.1798550873762443,0.22782375575083372,False,1.1737186902925134,0.2263373153885097,1.1780850183556857,0.2262905906561879,False
