config_id,asset,target_weekday,mild_tilt_fraction,max_lump_multiple,banking_window_weeks,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_twMonday_mt0.0_ml3_bw2,SP500,Monday,0.0,3,2,85.26844123167587,0.15418321164828475,85.27722344483453,0.1530965091120862,False,85.14041085188379,0.1534720219622446,85.14917987853534,0.15233705290993851,False
cfg00_twMonday_mt0.0_ml3_bw2,GOLD,Monday,0.0,3,2,2.230043248142609,0.5083719365037701,2.2312322553607693,0.5049170813430391,False,2.22669632149226,0.5055998653808842,2.227883543414292,0.5019039393179513,False
cfg00_twMonday_mt0.0_ml3_bw2,SILVER,Monday,0.0,3,2,1.6861064475380927,0.3215469957797281,1.686659698183187,0.3196772758715409,False,1.6835762428105747,0.3199136373524812,1.6841286627489933,0.31790937005101605,False
cfg00_twMonday_mt0.0_ml3_bw2,BTC,Monday,0.0,3,2,9.80401632412964,1.057196989948597,9.855679074865842,1.0673092354078406,False,9.789300999481249,1.055120637023113,9.84088617851966,1.0652491717139174,False
cfg00_twMonday_mt0.0_ml3_bw2,OIL,Monday,0.0,3,2,1.1806020766519096,0.21991083656871838,1.1798550873762443,0.22782375575083372,False,1.178830886025832,0.21840592950487792,1.1780850183556857,0.2262905906561879,False
cfg01_twMonday_mt0.0_ml3_bw4,SP500,Monday,0.0,3,4,85.27935168127662,0.15422357067169912,85.27722344483453,0.1530965091120862,True,85.15130491942816,0.1535124662348094,85.14917987853534,0.15233705290993851,True
cfg01_twMonday_mt0.0_ml3_bw4,GOLD,Monday,0.0,3,4,2.230158442378071,0.5084940469965774,2.2312322553607693,0.5049170813430391,False,2.226811342763403,0.5057247829660935,2.227883543414292,0.5019039393179513,False
cfg01_twMonday_mt0.0_ml3_bw4,SILVER,Monday,0.0,3,4,1.6859972337106337,0.3214096661979802,1.686659698183187,0.3196772758715409,False,1.6834671929678415,0.31977787081091025,1.6841286627489933,0.31790937005101605,False
cfg01_twMonday_mt0.0_ml3_bw4,BTC,Monday,0.0,3,4,9.80401632412964,1.057196989948597,9.855679074865842,1.0673092354078406,False,9.789300999481249,1.055120637023113,9.84088617851966,1.0652491717139174,False
cfg01_twMonday_mt0.0_ml3_bw4,OIL,Monday,0.0,3,4,1.180763930090066,0.21992837426326464,1.1798550873762443,0.22782375575083372,False,1.1789924964408085,0.21842480593357091,1.1780850183556857,0.2262905906561879,False
cfg02_twMonday_mt0.0_ml6_bw2,SP500,Monday,0.0,6,2,85.26844120698462,0.15418321163097473,85.27722344483453,0.1530965091120862,False,85.14041082722962,0.15347202194494147,85.14917987853534,0.15233705290993851,False
cfg02_twMonday_mt0.0_ml6_bw2,GOLD,Monday,0.0,6,2,2.230043248142609,0.5083719365037701,2.2312322553607693,0.5049170813430391,False,2.22669632149226,0.5055998653808842,2.227883543414292,0.5019039393179513,False
cfg02_twMonday_mt0.0_ml6_bw2,SILVER,Monday,0.0,6,2,1.6861064475380927,0.3215469957797281,1.686659698183187,0.3196772758715409,False,1.6835762428105747,0.3199136373524812,1.6841286627489933,0.31790937005101605,False
cfg02_twMonday_mt0.0_ml6_bw2,BTC,Monday,0.0,6,2,9.80401632412964,1.057196989948597,9.855679074865842,1.0673092354078406,False,9.789300999481249,1.055120637023113,9.84088617851966,1.0652491717139174,False
cfg02_twMonday_mt0.0_ml6_bw2,OIL,Monday,0.0,6,2,1.1806020766519096,0.21991083656871838,1.1798550873762443,0.22782375575083372,False,1.178830886025832,0.21840592950487792,1.1780850183556857,0.2262905906561879,False
cfg03_twMonday_mt0.0_ml6_bw4,SP500,Monday,0.0,6,4,85.279350034054,0.15422356661257827,85.27722344483453,0.1530965091120862,True,85.15130327467878,0.1535124621790475,85.14917987853534,0.15233705290993851,True
cfg03_twMonday_mt0.0_ml6_bw4,GOLD,Monday,0.0,6,4,2.2301588446639062,0.5084937336538965,2.2312322553607693,0.5049170813430391,False,2.226811744445206,0.5057244602742138,2.227883543414292,0.5019039393179513,False
cfg03_twMonday_mt0.0_ml6_bw4,SILVER,Monday,0.0,6,4,1.6859981116697729,0.32141117944210884,1.686659698183187,0.3196772758715409,False,1.6834680696087239,0.3197793819319777,1.6841286627489933,0.31790937005101605,False
cfg03_twMonday_mt0.0_ml6_bw4,BTC,Monday,0.0,6,4,9.80401632412964,1.057196989948597,9.855679074865842,1.0673092354078406,False,9.789300999481249,1.055120637023113,9.84088617851966,1.0652491717139174,False
cfg03_twMonday_mt0.0_ml6_bw4,OIL,Monday,0.0,6,4,1.1807644537391735,0.21993072443094688,1.1798550873762443,0.22782375575083372,False,1.1789930193036557,0.21842715569970947,1.1780850183556857,0.2262905906561879,False
cfg04_twMonday_mt0.5_ml3_bw2,SP500,Monday,0.5,3,2,85.27701352461091,0.15351054201693354,85.27722344483453,0.1530965091120862,False,85.1489702735084,0.15275781861281984,85.14917987853534,0.15233705290993851,False
cfg04_twMonday_mt0.5_ml3_bw2,GOLD,Monday,0.5,3,2,2.2308182553701092,0.5076826894191984,2.2312322553607693,0.5049170813430391,False,2.2274701650452515,0.5047860366994726,2.227883543414292,0.5019039393179513,False
cfg04_twMonday_mt0.5_ml3_bw2,SILVER,Monday,0.5,3,2,1.6864555086566826,0.32052940881887115,1.686659698183187,0.3196772758715409,False,1.6839247798133683,0.318824465662082,1.6841286627489933,0.31790937005101605,False
cfg04_twMonday_mt0.5_ml3_bw2,BTC,Monday,0.5,3,2,9.808329615098861,1.058080796250555,9.855679074865842,1.0673092354078406,False,9.793607814037628,1.0560058175481473,9.84088617851966,1.0652491717139174,False
cfg04_twMonday_mt0.5_ml3_bw2,OIL,Monday,0.5,3,2,1.1807589606192028,0.22154430003415487,1.1798550873762443,0.22782375575083372,False,1.1789875344316127,0.2200231320123065,1.1780850183556857,0.2262905906561879,False
cfg05_twMonday_mt0.5_ml3_bw4,SP500,Monday,0.5,3,4,85.27701352461091,0.15351054201693354,85.27722344483453,0.1530965091120862,False,85.1489702735084,0.15275781861281984,85.14917987853534,0.15233705290993851,False
cfg05_twMonday_mt0.5_ml3_bw4,GOLD,Monday,0.5,3,4,2.2308182553701092,0.5076826894191984,2.2312322553607693,0.5049170813430391,False,2.2274701650452515,0.5047860366994726,2.227883543414292,0.5019039393179513,False
cfg05_twMonday_mt0.5_ml3_bw4,SILVER,Monday,0.5,3,4,1.6864555086566826,0.32052940881887115,1.686659698183187,0.3196772758715409,False,1.6839247798133683,0.318824465662082,1.6841286627489933,0.31790937005101605,False
cfg05_twMonday_mt0.5_ml3_bw4,BTC,Monday,0.5,3,4,9.808329615098861,1.058080796250555,9.855679074865842,1.0673092354078406,False,9.793607814037628,1.0560058175481473,9.84088617851966,1.0652491717139174,False
cfg05_twMonday_mt0.5_ml3_bw4,OIL,Monday,0.5,3,4,1.1807589606192028,0.22154430003415487,1.1798550873762443,0.22782375575083372,False,1.1789875344316127,0.2200231320123065,1.1780850183556857,0.2262905906561879,False
cfg06_twMonday_mt0.5_ml6_bw2,SP500,Monday,0.5,6,2,85.27701352461091,0.15351054201693354,85.27722344483453,0.1530965091120862,False,85.1489702735084,0.15275781861281984,85.14917987853534,0.15233705290993851,False
cfg06_twMonday_mt0.5_ml6_bw2,GOLD,Monday,0.5,6,2,2.2308182553701092,0.5076826894191984,2.2312322553607693,0.5049170813430391,False,2.2274701650452515,0.5047860366994726,2.227883543414292,0.5019039393179513,False
cfg06_twMonday_mt0.5_ml6_bw2,SILVER,Monday,0.5,6,2,1.6864555086566826,0.32052940881887115,1.686659698183187,0.3196772758715409,False,1.6839247798133683,0.318824465662082,1.6841286627489933,0.31790937005101605,False
cfg06_twMonday_mt0.5_ml6_bw2,BTC,Monday,0.5,6,2,9.808329615098861,1.058080796250555,9.855679074865842,1.0673092354078406,False,9.793607814037628,1.0560058175481473,9.84088617851966,1.0652491717139174,False
cfg06_twMonday_mt0.5_ml6_bw2,OIL,Monday,0.5,6,2,1.1807589606192028,0.22154430003415487,1.1798550873762443,0.22782375575083372,False,1.1789875344316127,0.2200231320123065,1.1780850183556857,0.2262905906561879,False
cfg07_twMonday_mt0.5_ml6_bw4,SP500,Monday,0.5,6,4,85.27701352461091,0.15351054201693354,85.27722344483453,0.1530965091120862,False,85.1489702735084,0.15275781861281984,85.14917987853534,0.15233705290993851,False
cfg07_twMonday_mt0.5_ml6_bw4,GOLD,Monday,0.5,6,4,2.2308182553701092,0.5076826894191984,2.2312322553607693,0.5049170813430391,False,2.2274701650452515,0.5047860366994726,2.227883543414292,0.5019039393179513,False
