config_id,asset,vol_lookback_days,ref_lookback_days,min_mult,max_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_v20_r126_lo0.25_hi1.5,SP500,20,126,0.25,1.5,85.27956463232269,0.15313098924562574,85.27722344483453,0.1530965091120862,True,85.15151755072742,0.15237151816570377,85.14917987853534,0.15233705290993851,True
cfg00_v20_r126_lo0.25_hi1.5,GOLD,20,126,0.25,1.5,2.2313320555853204,0.5050925508737331,2.2312322553607693,0.5049170813430391,True,2.227983193788657,0.5020795184668545,2.227883543414292,0.5019039393179513,True
cfg00_v20_r126_lo0.25_hi1.5,SILVER,20,126,0.25,1.5,1.6867547688301727,0.31976343337359936,1.686659698183187,0.3196772758715409,True,1.6842235906472585,0.31799557647709326,1.6841286627489933,0.31790937005101605,True
cfg00_v20_r126_lo0.25_hi1.5,BTC,20,126,0.25,1.5,9.848490126284805,1.0664103452523566,9.855679074865842,1.0673092354078406,False,9.833708024155708,1.0643494517386503,9.84088617851966,1.0652491717139174,False
cfg00_v20_r126_lo0.25_hi1.5,OIL,20,126,0.25,1.5,1.1799496508965808,0.2277108297156125,1.1798550873762443,0.22782375575083372,False,1.1781794398887566,0.22617736812142478,1.1780850183556857,0.2262905906561879,False
cfg01_v20_r126_lo0.25_hi2.0,SP500,20,126,0.25,2.0,85.27956463232269,0.15313098924562574,85.27722344483453,0.1530965091120862,True,85.15151755072742,0.15237151816570377,85.14917987853534,0.15233705290993851,True
cfg01_v20_r126_lo0.25_hi2.0,GOLD,20,126,0.25,2.0,2.2313320555853204,0.5050925508737331,2.2312322553607693,0.5049170813430391,True,2.227983193788657,0.5020795184668545,2.227883543414292,0.5019039393179513,True
cfg01_v20_r126_lo0.25_hi2.0,SILVER,20,126,0.25,2.0,1.6867547688301727,0.31976343337359936,1.686659698183187,0.3196772758715409,True,1.6842235906472585,0.31799557647709326,1.6841286627489933,0.31790937005101605,True
cfg01_v20_r126_lo0.25_hi2.0,BTC,20,126,0.25,2.0,9.848490126284805,1.0664103452523566,9.855679074865842,1.0673092354078406,False,9.833708024155708,1.0643494517386503,9.84088617851966,1.0652491717139174,False
cfg01_v20_r126_lo0.25_hi2.0,OIL,20,126,0.25,2.0,1.1799496508965808,0.2277108297156125,1.1798550873762443,0.22782375575083372,False,1.1781794398887566,0.22617736812142478,1.1780850183556857,0.2262905906561879,False
