config_id,asset,annual_growth_rate,max_multiple_of_deposit,allow_sells,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_g0.06_k2_sT,SP500,0.06,2,True,74.69100263210163,0.1479724307207678,85.27722344483453,0.1530965091120862,False,74.6053239288441,0.14710754482180338,85.14917987853534,0.15233705290993851,False
cfg00_g0.06_k2_sT,GOLD,0.06,2,True,1.91991004130162,0.5439255146572708,2.2312322553607693,0.5049170813430391,False,1.9166292430843819,0.5388820510001363,2.227883543414292,0.5019039393179513,False
cfg00_g0.06_k2_sT,SILVER,0.06,2,True,1.7077254792037042,0.34181735124245816,1.686659698183187,0.3196772758715409,True,1.7045117611250586,0.3387938734790596,1.6841286627489933,0.31790937005101605,True
cfg00_g0.06_k2_sT,BTC,0.06,2,True,4.250920386424933,0.8962844293034936,9.855679074865842,1.0673092354078406,False,4.247974309608707,0.8936226132189897,9.84088617851966,1.0652491717139174,False
cfg00_g0.06_k2_sT,OIL,0.06,2,True,1.3066213852638915,0.2255024587134151,1.1798550873762443,0.22782375575083372,False,1.303191927926148,0.22309689839878186,1.1780850183556857,0.2262905906561879,False
cfg01_g0.06_k2_sF,SP500,0.06,2,False,82.15627940690196,0.1535228838513527,85.27722344483453,0.1530965091120862,False,82.05300977822095,0.15274609941533943,85.14917987853534,0.15233705290993851,False
cfg01_g0.06_k2_sF,GOLD,0.06,2,False,1.9916688758228005,0.5210991733604711,2.2312322553607693,0.5049170813430391,False,1.9899968592122155,0.5176627167077477,2.227883543414292,0.5019039393179513,False
cfg01_g0.06_k2_sF,SILVER,0.06,2,False,1.6531365729781347,0.3162693094844667,1.686659698183187,0.3196772758715409,False,1.6515293220547271,0.3142672486928536,1.6841286627489933,0.31790937005101605,False
cfg01_g0.06_k2_sF,BTC,0.06,2,False,6.366006366432445,0.9715058217664356,9.855679074865842,1.0673092354078406,False,6.357205051575723,0.9692825078608538,9.84088617851966,1.0652491717139174,False
cfg01_g0.06_k2_sF,OIL,0.06,2,False,1.280489261739598,0.22474400473903888,1.1798550873762443,0.22782375575083372,False,1.2785048502270897,0.22298384582739128,1.1780850183556857,0.2262905906561879,False
