config_id,ratio_window_years,band,max_tilt,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_w10_b10_t0.4,10,10,0.4,2.1745997406356317,0.4402465869745404,1.958909676205515,0.39465168018108493,True,2.111314585944448,0.42860172775621314,1.9559698570205342,0.392344474493736,True
cfg01_w10_b10_t0.7,10,10,0.7,2.2643147228824803,0.4575505702771316,1.958909676205515,0.39465168018108493,True,2.1637233413890833,0.4405278994755532,1.9559698570205342,0.392344474493736,True
cfg02_w10_b10_t1.0,10,10,1.0,2.3520405151226744,0.4728516980702526,1.958909676205515,0.39465168018108493,True,2.2123012484650393,0.4505219914968683,1.9559698570205342,0.392344474493736,True
cfg03_w10_b20_t0.4,10,20,0.4,2.1591878787711996,0.4396834654537091,1.958909676205515,0.39465168018108493,True,2.0974324959592,0.42781496778262135,1.9559698570205342,0.392344474493736,True
cfg04_w10_b20_t0.7,10,20,0.7,2.2347250234741964,0.45592431283906787,1.958909676205515,0.39465168018108493,True,2.1375904848271277,0.43856380911345144,1.9559698570205342,0.392344474493736,True
cfg05_w10_b20_t1.0,10,20,1.0,2.304459714939308,0.46924527659455106,1.958909676205515,0.39465168018108493,True,2.170960165640212,0.4465318445903369,1.9559698570205342,0.392344474493736,True
cfg06_w10_b30_t0.4,10,30,0.4,2.1921104655981387,0.4449009925245102,1.958909676205515,0.39465168018108493,True,2.124721777029745,0.4323204658015613,1.9559698570205342,0.392344474493736,True
cfg07_w10_b30_t0.7,10,30,0.7,2.2935190050358,0.4645515910403649,1.958909676205515,0.39465168018108493,True,2.185359424418003,0.44598265953933625,1.9559698570205342,0.392344474493736,True
cfg08_w10_b30_t1.0,10,30,1.0,2.3889849692589618,0.4805422279253835,1.958909676205515,0.39465168018108493,True,2.2382415567867273,0.45620251623445507,1.9559698570205342,0.392344474493736,True
cfg09_w15_b10_t0.4,15,10,0.4,2.180739109525225,0.4415109167528381,1.958909676205515,0.39465168018108493,True,2.1193148356194076,0.4300936934181715,1.9559698570205342,0.392344474493736,True
cfg10_w15_b10_t0.7,15,10,0.7,2.275598290641158,0.4598556397846369,1.958909676205515,0.39465168018108493,True,2.1781588645333607,0.44322467762916556,1.9559698570205342,0.392344474493736,True
cfg11_w15_b10_t1.0,15,10,1.0,2.368672947643735,0.476218781324063,1.958909676205515,0.39465168018108493,True,2.2332682000467146,0.4544351236713236,1.9559698570205342,0.392344474493736,True
cfg12_w15_b20_t0.4,15,20,0.4,2.1759850909008196,0.44227044651836034,1.958909676205515,0.39465168018108493,True,2.114221268544448,0.43043141701213783,1.9559698570205342,0.392344474493736,True
cfg13_w15_b20_t0.7,15,20,0.7,2.2656004860202352,0.46060404321337367,1.958909676205515,0.39465168018108493,True,2.1678820961173404,0.4432796937877643,1.9559698570205342,0.392344474493736,True
cfg14_w15_b20_t1.0,15,20,1.0,2.3504237150038643,0.4760706163735001,1.958909676205515,0.39465168018108493,True,2.2152570639282207,0.4533862835718223,1.9559698570205342,0.392344474493736,True
cfg15_w15_b30_t0.4,15,30,0.4,2.2026189016640365,0.4468047427029454,1.958909676205515,0.39465168018108493,True,2.1362367955816186,0.4343715114662555,1.9559698570205342,0.392344474493736,True
cfg16_w15_b30_t0.7,15,30,0.7,2.3130253891081347,0.4680586775056909,1.958909676205515,0.39465168018108493,True,2.2062930618511416,0.449724870410235,1.9559698570205342,0.392344474493736,True
cfg17_w15_b30_t1.0,15,30,1.0,2.4184710630113466,0.4857420225650531,1.958909676205515,0.39465168018108493,True,2.2692375395783646,0.46170164969984834,1.9559698570205342,0.392344474493736,True
cfg18_w20_b10_t0.4,20,10,0.4,2.1764603681982564,0.44093402317729086,1.958909676205515,0.39465168018108493,True,2.1158959929929617,0.4296041817666947,1.9559698570205342,0.392344474493736,True
cfg19_w20_b10_t0.7,20,10,0.7,2.2677860451410727,0.4588056595965132,1.958909676205515,0.39465168018108493,True,2.172041492795323,0.44233765959814464,1.9559698570205342,0.392344474493736,True
cfg20_w20_b10_t1.0,20,10,1.0,2.3569385774082376,0.47465774267649025,1.958909676205515,0.39465168018108493,True,2.224208215553655,0.4531168458083972,1.9559698570205342,0.392344474493736,True
cfg21_w20_b20_t0.4,20,20,0.4,2.1737737003856568,0.44195571096136,1.958909676205515,0.39465168018108493,True,2.1126555849561197,0.43018707254493527,1.9559698570205342,0.392344474493736,True
cfg22_w20_b20_t0.7,20,20,0.7,2.261524919344078,0.4600165605507329,1.958909676205515,0.39465168018108493,True,2.165040413110646,0.4428222421706505,1.9559698570205342,0.392344474493736,True
cfg23_w20_b20_t1.0,20,20,1.0,2.344317896385377,0.47518662527834293,1.958909676205515,0.39465168018108493,True,2.211072965636306,0.4526982810801279,1.9559698570205342,0.392344474493736,True
cfg24_w20_b30_t0.4,20,30,0.4,2.197900595723056,0.446145592694057,1.958909676205515,0.39465168018108493,True,2.132621904143388,0.43383302337300145,1.9559698570205342,0.392344474493736,True
cfg25_w20_b30_t0.7,20,30,0.7,2.3042688329591487,0.4668447242467898,1.958909676205515,0.39465168018108493,True,2.1996989448502675,0.4487329639005676,1.9559698570205342,0.392344474493736,True
cfg26_w20_b30_t1.0,20,30,1.0,2.4052735204578206,0.4839419483264387,1.958909676205515,0.39465168018108493,True,2.2594733322395957,0.4602330377069389,1.9559698570205342,0.392344474493736,True
