config_id,asset,n_weak_years,include_election_year_in_strong,bank_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_nw2_ie1_bf0.3_ml4,SP500,2,True,0.3,4,85.46084699274824,0.15875036559050662,85.27722344483453,0.1530965091120862,True,85.33252771541638,0.15800347988191463,85.14917987853534,0.15233705290993851,True
cfg00_nw2_ie1_bf0.3_ml4,GOLD,2,True,0.3,4,2.180947463362571,0.48998326608027465,2.2312322553607693,0.5049170813430391,False,2.1776742541067855,0.4870297915816675,2.227883543414292,0.5019039393179513,False
cfg00_nw2_ie1_bf0.3_ml4,SILVER,2,True,0.3,4,1.6576788576779904,0.3145595939014761,1.686659698183187,0.3196772758715409,False,1.6551913370193296,0.31285568038558614,1.6841286627489933,0.31790937005101605,False
cfg00_nw2_ie1_bf0.3_ml4,BTC,2,True,0.3,4,9.92836269705265,1.1054858033289725,9.855679074865842,1.0673092354078406,True,9.91346066613861,1.1037190586220693,9.84088617851966,1.0652491717139174,True
cfg00_nw2_ie1_bf0.3_ml4,OIL,2,True,0.3,4,1.178177648709277,0.2209328197357177,1.1798550873762443,0.22782375575083372,False,1.1764100983653953,0.21943027828283956,1.1780850183556857,0.2262905906561879,False
cfg01_nw2_ie1_bf0.3_ml8,SP500,2,True,0.3,8,85.57397500558315,0.15941143617074738,85.27722344483453,0.1530965091120862,True,85.4454858663702,0.15866506578039577,85.14917987853534,0.15233705290993851,True
cfg01_nw2_ie1_bf0.3_ml8,GOLD,2,True,0.3,8,2.1819506467669982,0.48972080606382545,2.2312322553607693,0.5049170813430391,False,2.1786759312298245,0.486770705505232,2.227883543414292,0.5019039393179513,False
cfg01_nw2_ie1_bf0.3_ml8,SILVER,2,True,0.3,8,1.656807598370201,0.31382637986469175,1.686659698183187,0.3196772758715409,False,1.6543213859086998,0.3121209254631583,1.6841286627489933,0.31790937005101605,False
cfg01_nw2_ie1_bf0.3_ml8,BTC,2,True,0.3,8,9.933275750205913,1.1056953437186914,9.855679074865842,1.0673092354078406,True,9.918366342335187,1.103926757798436,9.84088617851966,1.0652491717139174,True
cfg01_nw2_ie1_bf0.3_ml8,OIL,2,True,0.3,8,1.1852941410328486,0.2234419000233569,1.1798550873762443,0.22782375575083372,False,1.1835159052650566,0.221941760976948,1.1780850183556857,0.2262905906561879,False
cfg02_nw2_ie1_bf0.5_ml4,SP500,2,True,0.5,4,85.66409573834457,0.16296972151617373,85.27722344483453,0.1530965091120862,True,85.53547128271619,0.1622324805589494,85.14917987853534,0.15233705290993851,True
cfg02_nw2_ie1_bf0.5_ml4,GOLD,2,True,0.5,4,2.1522797808287213,0.48216196404800576,2.2312322553607693,0.5049170813430391,False,2.1490496161413017,0.47925896775035853,2.227883543414292,0.5019039393179513,False
cfg02_nw2_ie1_bf0.5_ml4,SILVER,2,True,0.5,4,1.6401779078295007,0.3120621479015298,1.686659698183187,0.3196772758715409,False,1.6377166648733172,0.31040559338506185,1.6841286627489933,0.31790937005101605,False
cfg02_nw2_ie1_bf0.5_ml4,BTC,2,True,0.5,4,9.979322818197264,1.1350725001758952,9.855679074865842,1.0673092354078406,True,9.964344270584812,1.1335193366755636,9.84088617851966,1.0652491717139174,True
cfg02_nw2_ie1_bf0.5_ml4,OIL,2,True,0.5,4,1.1772941780737953,0.21796033845895002,1.1798550873762443,0.22782375575083372,False,1.175527954262401,0.2164796858061663,1.1780850183556857,0.2262905906561879,False
cfg03_nw2_ie1_bf0.5_ml8,SP500,2,True,0.5,8,85.57697459935345,0.1626167077086984,85.27722344483453,0.1530965091120862,True,85.448480956246,0.16187824638362686,85.14917987853534,0.15233705290993851,True
cfg03_nw2_ie1_bf0.5_ml8,GOLD,2,True,0.5,8,2.1455734452823205,0.4775904036849084,2.2312322553607693,0.5049170813430391,False,2.142353350167793,0.4746830896677456,2.227883543414292,0.5019039393179513,False
cfg03_nw2_ie1_bf0.5_ml8,SILVER,2,True,0.5,8,1.6366778403232576,0.31037015087257797,1.686659698183187,0.3196772758715409,False,1.6342218527236902,0.30870989550232814,1.6841286627489933,0.31790937005101605,False
cfg03_nw2_ie1_bf0.5_ml8,BTC,2,True,0.5,8,9.984282012121595,1.1294931349329407,9.855679074865842,1.0673092354078406,True,9.969296018272015,1.1279193115541948,9.84088617851966,1.0652491717139174,True
cfg03_nw2_ie1_bf0.5_ml8,OIL,2,True,0.5,8,1.1818560742542374,0.21789268753037494,1.1798550873762443,0.22782375575083372,False,1.1800830007488776,0.21641640377866078,1.1780850183556857,0.2262905906561879,False
cfg04_nw2_ie1_bf0.7_ml4,SP500,2,True,0.7,4,85.79739785579493,0.16802626108551855,85.27722344483453,0.1530965091120862,True,85.668573246837,0.16730006048727622,85.14917987853534,0.15233705290993851,True
cfg04_nw2_ie1_bf0.7_ml4,GOLD,2,True,0.7,4,2.1168109882479396,0.4702456168480433,2.2312322553607693,0.5049170813430391,False,2.1136340800058346,0.46739601458358676,2.227883543414292,0.5019039393179513,False
cfg04_nw2_ie1_bf0.7_ml4,SILVER,2,True,0.7,4,1.6233683021364576,0.30908403007358265,1.686659698183187,0.3196772758715409,False,1.6209322988284562,0.3074769088014442,1.6841286627489933,0.31790937005101605,False
cfg04_nw2_ie1_bf0.7_ml4,BTC,2,True,0.7,4,9.988029788057036,1.1640031755193394,9.855679074865842,1.0673092354078406,True,9.973038166916266,1.1626627883177396,9.84088617851966,1.0652491717139174,True
cfg04_nw2_ie1_bf0.7_ml4,OIL,2,True,0.7,4,1.1738654735699088,0.21379521160117662,1.1798550873762443,0.22782375575083372,False,1.1721043979634758,0.21233799311144025,1.1780850183556857,0.2262905906561879,False
cfg05_nw2_ie1_bf0.7_ml8,SP500,2,True,0.7,8,85.70567838996719,0.16589828088280018,85.27722344483453,0.1530965091120862,True,85.576991497925,0.16516807209410517,85.14917987853534,0.15233705290993851,True
cfg05_nw2_ie1_bf0.7_ml8,GOLD,2,True,0.7,8,2.1139010740316486,0.4661257232935109,2.2312322553607693,0.5049170813430391,False,2.1107285350301077,0.4632679446936916,2.227883543414292,0.5019039393179513,False
cfg05_nw2_ie1_bf0.7_ml8,SILVER,2,True,0.7,8,1.6190377370044,0.30719637256131166,1.686659698183187,0.3196772758715409,False,1.6166082360464473,0.30558352485557955,1.6841286627489933,0.31790937005101605,False
cfg05_nw2_ie1_bf0.7_ml8,BTC,2,True,0.7,8,10.025274193301717,1.1514137416675827,9.855679074865842,1.0673092354078406,True,10.010226649630551,1.1500350490082274,9.84088617851966,1.0652491717139174,True
cfg05_nw2_ie1_bf0.7_ml8,OIL,2,True,0.7,8,1.175941063819985,0.21101637955582517,1.1798550873762443,0.22782375575083372,False,1.1741768717116738,0.20956746818280914,1.1780850183556857,0.2262905906561879,False
cfg06_nw2_ie0_bf0.3_ml4,SP500,2,False,0.3,4,85.61423336291183,0.1570012526535989,85.27722344483453,0.1530965091120862,True,85.48568377571519,0.15632686523034095,85.14917987853534,0.15233705290993851,True
cfg06_nw2_ie0_bf0.3_ml4,GOLD,2,False,0.3,4,2.1528142878872365,0.4931517196339958,2.2312322553607693,0.5049170813430391,False,2.1495833206366717,0.4906476399072681,2.227883543414292,0.5019039393179513,False
cfg06_nw2_ie0_bf0.3_ml4,SILVER,2,False,0.3,4,1.6393128195151134,0.3191142647405612,1.686659698183187,0.3196772758715409,False,1.6368528754903287,0.31767909400444816,1.6841286627489933,0.31790937005101605,False
cfg06_nw2_ie0_bf0.3_ml4,BTC,2,False,0.3,4,9.262298884048432,1.0898814901890563,9.855679074865842,1.0673092354078406,False,9.248396948949711,1.0881037033718528,9.84088617851966,1.0652491717139174,False
cfg06_nw2_ie0_bf0.3_ml4,OIL,2,False,0.3,4,1.1737186220904432,0.22471869784234025,1.1798550873762443,0.22782375575083372,False,1.1719577669817247,0.22342176993946983,1.1780850183556857,0.2262905906561879,False
cfg07_nw2_ie0_bf0.3_ml8,SP500,2,False,0.3,8,85.55299548836281,0.15699262756320903,85.27722344483453,0.1530965091120862,True,85.42453784992676,0.15631747872015217,85.14917987853534,0.15233705290993851,True
cfg07_nw2_ie0_bf0.3_ml8,GOLD,2,False,0.3,8,2.1513255209419673,0.4914222711697924,2.2312322553607693,0.5049170813430391,False,2.1480967890772065,0.4889199358576424,2.227883543414292,0.5019039393179513,False
cfg07_nw2_ie0_bf0.3_ml8,SILVER,2,False,0.3,8,1.6374259655811128,0.3179199062294019,1.686659698183187,0.3196772758715409,False,1.6349688546703438,0.3164825971170012,1.6841286627489933,0.31790937005101605,False
cfg07_nw2_ie0_bf0.3_ml8,BTC,2,False,0.3,8,9.292646514991239,1.0907326070786936,9.855679074865842,1.0673092354078406,False,9.278699012879086,1.0889529299291587,9.84088617851966,1.0652491717139174,False
cfg07_nw2_ie0_bf0.3_ml8,OIL,2,False,0.3,8,1.184110690803287,0.22771088007673457,1.1798550873762443,0.22782375575083372,False,1.1823342319877927,0.2264178080298492,1.1780850183556857,0.2262905906561879,True
cfg08_nw2_ie0_bf0.5_ml4,SP500,2,False,0.5,4,85.70044373810494,0.16099972215525776,85.27722344483453,0.1530965091120862,True,85.5717647059005,0.16039294041101337,85.14917987853534,0.15233705290993851,True
cfg08_nw2_ie0_bf0.5_ml4,GOLD,2,False,0.5,4,2.1026911099955936,0.4853771261623304,2.2312322553607693,0.5049170813430391,False,2.0995354027718895,0.4832437925921327,2.227883543414292,0.5019039393179513,False
cfg08_nw2_ie0_bf0.5_ml4,SILVER,2,False,0.5,4,1.6115067763849285,0.31934491404060567,1.686659698183187,0.3196772758715409,False,1.6090885831756583,0.318139176336749,1.6841286627489933,0.31790937005101605,False
cfg08_nw2_ie0_bf0.5_ml4,BTC,2,False,0.5,4,8.797361691976128,1.1072666474801094,9.855679074865842,1.0673092354078406,False,8.784157860769412,1.105697398872474,9.84088617851966,1.0652491717139174,False
cfg08_nw2_ie0_bf0.5_ml4,OIL,2,False,0.5,4,1.1680674263997253,0.2244747380853676,1.1798550873762443,0.22782375575083372,False,1.1663150565698224,0.22334986297311196,1.1780850183556857,0.2262905906561879,False
cfg09_nw2_ie0_bf0.5_ml8,SP500,2,False,0.5,8,85.71130147662478,0.158532761020074,85.27722344483453,0.1530965091120862,True,85.58260614150977,0.15792116122615002,85.14917987853534,0.15233705290993851,True
cfg09_nw2_ie0_bf0.5_ml8,GOLD,2,False,0.5,8,2.0991212041511806,0.48087286755896613,2.2312322553607693,0.5049170813430391,False,2.095970857146461,0.4787309710105338,2.227883543414292,0.5019039393179513,False
cfg09_nw2_ie0_bf0.5_ml8,SILVER,2,False,0.5,8,1.607556124403313,0.31767870644761015,1.686659698183187,0.3196772758715409,False,1.6051438631039263,0.31646840536296705,1.6841286627489933,0.31790937005101605,False
cfg09_nw2_ie0_bf0.5_ml8,BTC,2,False,0.5,8,8.902423531095208,1.1041141151483171,9.855679074865842,1.0673092354078406,False,8.8890619493793,1.1025241700390167,9.84088617851966,1.0652491717139174,False
cfg09_nw2_ie0_bf0.5_ml8,OIL,2,False,0.5,8,1.1764472263588714,0.22394618860120774,1.1798550873762443,0.22782375575083372,False,1.1746822742467469,0.22282548243634262,1.1780850183556857,0.2262905906561879,False
cfg10_nw2_ie0_bf0.7_ml4,SP500,2,False,0.7,4,85.59800926262577,0.16529628142614652,85.27722344483453,0.1530965091120862,True,85.46948403593997,0.16476447319560203,85.14917987853534,0.15233705290993851,True
cfg10_nw2_ie0_bf0.7_ml4,GOLD,2,False,0.7,4,2.0410376196609694,0.47229658332048075,2.2312322553607693,0.5049170813430391,False,2.0379744852455786,0.4705555577746242,2.227883543414292,0.5019039393179513,False
cfg10_nw2_ie0_bf0.7_ml4,SILVER,2,False,0.7,4,1.5828199634376616,0.3194117383710742,1.686659698183187,0.3196772758715409,False,1.580444843521101,0.3184424421671208,1.6841286627489933,0.31790937005101605,False
cfg10_nw2_ie0_bf0.7_ml4,BTC,2,False,0.7,4,8.318689692008968,1.1245747863006155,9.855679074865842,1.0673092354078406,False,8.306204587528928,1.1232162402407884,9.84088617851966,1.0652491717139174,False
cfg10_nw2_ie0_bf0.7_ml4,OIL,2,False,0.7,4,1.1668965066782464,0.2233334837538464,1.1798550873762443,0.22782375575083372,False,1.1651458949860627,0.22239463477030944,1.1780850183556857,0.2262905906561879,False
cfg11_nw2_ie0_bf0.7_ml8,SP500,2,False,0.7,8,86.06357992034897,0.1611771263590615,85.27722344483453,0.1530965091120862,True,85.9343556386217,0.16063748669038438,85.14917987853534,0.15233705290993851,True
cfg11_nw2_ie0_bf0.7_ml8,GOLD,2,False,0.7,8,2.0482569979225365,0.46970403529943544,2.2312322553607693,0.5049170813430391,False,2.0451830235998414,0.46794710736837497,2.227883543414292,0.5019039393179513,False
cfg11_nw2_ie0_bf0.7_ml8,SILVER,2,False,0.7,8,1.5761836479576847,0.31723528528297396,1.686659698183187,0.3196772758715409,False,1.5738184924787837,0.3162570761111786,1.6841286627489933,0.31790937005101605,False
cfg11_nw2_ie0_bf0.7_ml8,BTC,2,False,0.7,8,8.471125296291886,1.1147594763634683,9.855679074865842,1.0673092354078406,False,8.45841130952313,1.1133623327953286,9.84088617851966,1.0652491717139174,False
cfg11_nw2_ie0_bf0.7_ml8,OIL,2,False,0.7,8,1.1655366683760413,0.22012384286731057,1.1798550873762443,0.22782375575083372,False,1.16378809848311,0.21918685996197387,1.1780850183556857,0.2262905906561879,False
