config_id,vol_lookback_days,min_weight,max_weight,smoothing_halflife_days,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_vl63_mn0.1_mx0.3_sm0,63,0.1,0.3,0,1.602424983851694,0.9773094219286662,2.936827935697141,0.8017476338865982,False,1.5916170264782243,0.9510354244381211,2.932423704725081,0.7982484049375094,False
cfg01_vl63_mn0.1_mx0.3_sm10,63,0.1,0.3,10,1.598514723451999,0.9496210269938975,2.936827935697141,0.8017476338865982,False,1.5894760820467315,0.9262645936837702,2.932423704725081,0.7982484049375094,False
cfg02_vl63_mn0.05_mx0.4_sm0,63,0.05,0.4,0,1.4223293017656495,0.7915616515290245,2.936827935697141,0.8017476338865982,False,1.411604349794616,0.7584148031391741,2.932423704725081,0.7982484049375094,False
cfg03_vl63_mn0.05_mx0.4_sm10,63,0.05,0.4,10,1.426419431223442,0.7832782696966464,2.936827935697141,0.8017476338865982,False,1.4182993311479677,0.755939914388617,2.932423704725081,0.7982484049375094,False
cfg04_vl126_mn0.1_mx0.3_sm0,126,0.1,0.3,0,1.5948216242187734,0.9335585686546927,2.936827935697141,0.8017476338865982,False,1.5860626616563782,0.9099410964085893,2.932423704725081,0.7982484049375094,False
cfg05_vl126_mn0.1_mx0.3_sm10,126,0.1,0.3,10,1.5990659107429588,0.9359742928815972,2.936827935697141,0.8017476338865982,False,1.590706202552716,0.9132624951965483,2.932423704725081,0.7982484049375094,False
cfg06_vl126_mn0.05_mx0.4_sm0,126,0.05,0.4,0,1.433394564751004,0.7620348475760208,2.936827935697141,0.8017476338865982,False,1.425729147501543,0.7346282236166523,2.932423704725081,0.7982484049375094,False
cfg07_vl126_mn0.05_mx0.4_sm10,126,0.05,0.4,10,1.4468460726746752,0.7889853437727565,2.936827935697141,0.8017476338865982,False,1.4399418406470461,0.7637871338782339,2.932423704725081,0.7982484049375094,False
cfg08_vl252_mn0.1_mx0.3_sm0,252,0.1,0.3,0,1.593451919858387,0.8952257496204227,2.936827935697141,0.8017476338865982,False,1.5856118976299998,0.8727277314513341,2.932423704725081,0.7982484049375094,False
cfg09_vl252_mn0.1_mx0.3_sm10,252,0.1,0.3,10,1.5917540065732008,0.8658250045949898,2.936827935697141,0.8017476338865982,False,1.5839675004386184,0.8440250478165012,2.932423704725081,0.7982484049375094,False
cfg10_vl252_mn0.05_mx0.4_sm0,252,0.05,0.4,0,1.457723942261571,0.7529591917443259,2.936827935697141,0.8017476338865982,False,1.451455858923285,0.7285208792133477,2.932423704725081,0.7982484049375094,False
cfg11_vl252_mn0.05_mx0.4_sm10,252,0.05,0.4,10,1.4584942711554307,0.7204635656933946,2.936827935697141,0.8017476338865982,False,1.4523581100175125,0.6970863435657633,2.932423704725081,0.7982484049375094,False
