config_id,asset,vvix_lookback,k,min_mult,max_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_vl126_k0.5_mn0.25_mx1.5,SP500,126,0.5,0.25,1.5,85.2772379160844,0.15309651830224547,85.27722344483453,0.1530965091120862,True,85.14919432805645,0.15233706207358208,85.14917987853534,0.15233705290993851,True
cfg00_vl126_k0.5_mn0.25_mx1.5,GOLD,126,0.5,0.25,1.5,2.2312149780270003,0.5049182008754439,2.2312322553607693,0.5049170813430391,False,2.227866292022465,0.5019050257320278,2.227883543414292,0.5019039393179513,False
cfg00_vl126_k0.5_mn0.25_mx1.5,SILVER,126,0.5,0.25,1.5,1.6867149823912673,0.3196864702908257,1.686659698183187,0.3196772758715409,True,1.6841838639477502,0.3179185540823739,1.6841286627489933,0.31790937005101605,True
cfg00_vl126_k0.5_mn0.25_mx1.5,BTC,126,0.5,0.25,1.5,9.856818256211973,1.0673238938306635,9.855679074865842,1.0673092354078406,True,9.842023649383268,1.06526369423172,9.84088617851966,1.0652491717139174,True
cfg00_vl126_k0.5_mn0.25_mx1.5,OIL,126,0.5,0.25,1.5,1.180102568461793,0.22786114664182427,1.1798550873762443,0.22782375575083372,True,1.17833212784801,0.22632795675467388,1.1780850183556857,0.2262905906561879,True
cfg01_vl126_k0.5_mn0.25_mx2.0,SP500,126,0.5,0.25,2.0,85.2772379160844,0.15309651830224547,85.27722344483453,0.1530965091120862,True,85.14919432805645,0.15233706207358208,85.14917987853534,0.15233705290993851,True
cfg01_vl126_k0.5_mn0.25_mx2.0,GOLD,126,0.5,0.25,2.0,2.2312149780270003,0.5049182008754439,2.2312322553607693,0.5049170813430391,False,2.227866292022465,0.5019050257320278,2.227883543414292,0.5019039393179513,False
cfg01_vl126_k0.5_mn0.25_mx2.0,SILVER,126,0.5,0.25,2.0,1.6867149823912673,0.3196864702908257,1.686659698183187,0.3196772758715409,True,1.6841838639477502,0.3179185540823739,1.6841286627489933,0.31790937005101605,True
cfg01_vl126_k0.5_mn0.25_mx2.0,BTC,126,0.5,0.25,2.0,9.856818256211973,1.0673238938306635,9.855679074865842,1.0673092354078406,True,9.842023649383268,1.06526369423172,9.84088617851966,1.0652491717139174,True
cfg01_vl126_k0.5_mn0.25_mx2.0,OIL,126,0.5,0.25,2.0,1.180102568461793,0.22786114664182427,1.1798550873762443,0.22782375575083372,True,1.17833212784801,0.22632795675467388,1.1780850183556857,0.2262905906561879,True
cfg02_vl126_k0.5_mn0.5_mx1.5,SP500,126,0.5,0.5,1.5,85.2772379160844,0.15309651830224547,85.27722344483453,0.1530965091120862,True,85.14919432805645,0.15233706207358208,85.14917987853534,0.15233705290993851,True
cfg02_vl126_k0.5_mn0.5_mx1.5,GOLD,126,0.5,0.5,1.5,2.2312149780270003,0.5049182008754439,2.2312322553607693,0.5049170813430391,False,2.227866292022465,0.5019050257320278,2.227883543414292,0.5019039393179513,False
cfg02_vl126_k0.5_mn0.5_mx1.5,SILVER,126,0.5,0.5,1.5,1.6867149823912673,0.3196864702908257,1.686659698183187,0.3196772758715409,True,1.6841838639477502,0.3179185540823739,1.6841286627489933,0.31790937005101605,True
