config_id,asset,window_days,mild_tilt_fraction,max_lump_multiple,banking_window_weeks,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_wd2_mt0.0_ml3_bw4,SP500,2,0.0,3,4,67.72982903414356,0.16013872092457757,85.27722344483453,0.1530965091120862,False,67.63342292901945,0.15954661322554917,85.14917987853534,0.15233705290993851,False
cfg00_wd2_mt0.0_ml3_bw4,GOLD,2,0.0,3,4,2.2243294476039726,0.5082501562460771,2.2312322553607693,0.5049170813430391,False,2.2209955618409754,0.505874296667675,2.227883543414292,0.5019039393179513,False
cfg00_wd2_mt0.0_ml3_bw4,SILVER,2,0.0,3,4,1.6813102402991873,0.3252592845790595,1.686659698183187,0.3196772758715409,False,1.678791698691305,0.32386305054770803,1.6841286627489933,0.31790937005101605,False
cfg00_wd2_mt0.0_ml3_bw4,BTC,2,0.0,3,4,9.703987592924788,1.0889141829167748,9.855679074865842,1.0673092354078406,False,9.689438732147606,1.087366193557158,9.84088617851966,1.0652491717139174,False
cfg00_wd2_mt0.0_ml3_bw4,OIL,2,0.0,3,4,1.1831936755304104,0.21713003945904086,1.1798550873762443,0.22782375575083372,False,1.181423050808925,0.21590175701457415,1.1780850183556857,0.2262905906561879,False
cfg01_wd2_mt0.0_ml3_bw8,SP500,2,0.0,3,8,41.37374977003248,0.16861716815590821,85.27722344483453,0.1530965091120862,False,41.325258740205626,0.168166412277562,85.14917987853534,0.15233705290993851,False
cfg01_wd2_mt0.0_ml3_bw8,GOLD,2,0.0,3,8,2.1365388922385904,0.5051808799782566,2.2312322553607693,0.5049170813430391,False,2.133466481593687,0.5029320670349006,2.227883543414292,0.5019039393179513,False
cfg01_wd2_mt0.0_ml3_bw8,SILVER,2,0.0,3,8,1.6418043685533659,0.3199186016166139,1.686659698183187,0.3196772758715409,False,1.6394748137336008,0.3185956394929582,1.6841286627489933,0.31790937005101605,False
cfg01_wd2_mt0.0_ml3_bw8,BTC,2,0.0,3,8,8.741871005111332,1.080416099846235,9.855679074865842,1.0673092354078406,False,8.728888600371498,1.0790530326182548,9.84088617851966,1.0652491717139174,False
cfg01_wd2_mt0.0_ml3_bw8,OIL,2,0.0,3,8,1.185675395494409,0.22929896718292878,1.1798550873762443,0.22782375575083372,True,1.184025269245719,0.2281344549929811,1.1780850183556857,0.2262905906561879,True
