config_id,asset,ac_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_aw20_pl252_k0.5_mn0.25,SP500,20,252,0.5,0.25,85.27967622689542,0.15306112627874646,85.27722344483453,0.1530965091120862,False,85.1516289777407,0.15230157888200152,85.14917987853534,0.15233705290993851,False
cfg00_aw20_pl252_k0.5_mn0.25,GOLD,20,252,0.5,0.25,2.2312741385959405,0.5049059569218464,2.2312322553607693,0.5049170813430391,False,2.227925363761728,0.5018926712082347,2.227883543414292,0.5019039393179513,False
cfg00_aw20_pl252_k0.5_mn0.25,SILVER,20,252,0.5,0.25,1.6866778728343785,0.3196577595772905,1.686659698183187,0.3196772758715409,False,1.6841468101109163,0.31788975629159544,1.6841286627489933,0.31790937005101605,False
cfg00_aw20_pl252_k0.5_mn0.25,BTC,20,252,0.5,0.25,9.855513944025383,1.0673649196312627,9.855679074865842,1.0673092354078406,False,9.8407212956234,1.0653047999475522,9.84088617851966,1.0652491717139174,False
cfg00_aw20_pl252_k0.5_mn0.25,OIL,20,252,0.5,0.25,1.1801685698920383,0.22783852986949166,1.1798550873762443,0.22782375575083372,True,1.1783980301770136,0.2263052042648075,1.1780850183556857,0.2262905906561879,True
cfg01_aw20_pl252_k0.5_mn0.5,SP500,20,252,0.5,0.5,85.27967622689542,0.15306112627874646,85.27722344483453,0.1530965091120862,False,85.1516289777407,0.15230157888200152,85.14917987853534,0.15233705290993851,False
cfg01_aw20_pl252_k0.5_mn0.5,GOLD,20,252,0.5,0.5,2.2312741385959405,0.5049059569218464,2.2312322553607693,0.5049170813430391,False,2.227925363761728,0.5018926712082347,2.227883543414292,0.5019039393179513,False
cfg01_aw20_pl252_k0.5_mn0.5,SILVER,20,252,0.5,0.5,1.6866778728343785,0.3196577595772905,1.686659698183187,0.3196772758715409,False,1.6841468101109163,0.31788975629159544,1.6841286627489933,0.31790937005101605,False
cfg01_aw20_pl252_k0.5_mn0.5,BTC,20,252,0.5,0.5,9.855513944025383,1.0673649196312627,9.855679074865842,1.0673092354078406,False,9.8407212956234,1.0653047999475522,9.84088617851966,1.0652491717139174,False
cfg01_aw20_pl252_k0.5_mn0.5,OIL,20,252,0.5,0.5,1.1801685698920383,0.22783852986949166,1.1798550873762443,0.22782375575083372,True,1.1783980301770136,0.2263052042648075,1.1780850183556857,0.2262905906561879,True
cfg02_aw20_pl252_k1.0_mn0.25,SP500,20,252,1.0,0.25,85.28307413290895,0.15304039075439962,85.27722344483453,0.1530965091120862,False,85.1550217817931,0.15228075867524232,85.14917987853534,0.15233705290993851,False
cfg02_aw20_pl252_k1.0_mn0.25,GOLD,20,252,1.0,0.25,2.231297700172751,0.5049225425796429,2.2312322553607693,0.5049170813430391,True,2.227948889960793,0.5019089871657998,2.227883543414292,0.5019039393179513,True
cfg02_aw20_pl252_k1.0_mn0.25,SILVER,20,252,1.0,0.25,1.686333324152062,0.31952784011267554,1.686659698183187,0.3196772758715409,False,1.6838027787689638,0.3177595859214617,1.6841286627489933,0.31790937005101605,False
