config_id,asset,hurst_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_hw100_pl252_k0.5_mn0.25,SP500,100,252,0.5,0.25,85.26994687830468,0.153033146268571,85.27722344483453,0.1530965091120862,False,85.14191423778105,0.15227357698334587,85.14917987853534,0.15233705290993851,False
cfg00_hw100_pl252_k0.5_mn0.25,GOLD,100,252,0.5,0.25,2.231244763747601,0.5049307919293717,2.2312322553607693,0.5049170813430391,True,2.227896033019757,0.501917511356443,2.227883543414292,0.5019039393179513,True
cfg00_hw100_pl252_k0.5_mn0.25,SILVER,100,252,0.5,0.25,1.686635470067707,0.31965524708375315,1.686659698183187,0.3196772758715409,False,1.6841044710120636,0.31788722325914376,1.6841286627489933,0.31790937005101605,False
cfg00_hw100_pl252_k0.5_mn0.25,BTC,100,252,0.5,0.25,9.854699760470117,1.067287964032431,9.855679074865842,1.0673092354078406,False,9.839908334565973,1.0652278739241183,9.84088617851966,1.0652491717139174,False
cfg00_hw100_pl252_k0.5_mn0.25,OIL,100,252,0.5,0.25,1.1800901317154795,0.2278813008384062,1.1798550873762443,0.22782375575083372,True,1.1783197097754887,0.22634810500937938,1.1780850183556857,0.2262905906561879,True
cfg01_hw100_pl252_k0.5_mn0.5,SP500,100,252,0.5,0.5,85.26994687830468,0.153033146268571,85.27722344483453,0.1530965091120862,False,85.14191423778105,0.15227357698334587,85.14917987853534,0.15233705290993851,False
cfg01_hw100_pl252_k0.5_mn0.5,GOLD,100,252,0.5,0.5,2.231244763747601,0.5049307919293717,2.2312322553607693,0.5049170813430391,True,2.227896033019757,0.501917511356443,2.227883543414292,0.5019039393179513,True
cfg01_hw100_pl252_k0.5_mn0.5,SILVER,100,252,0.5,0.5,1.686635470067707,0.31965524708375315,1.686659698183187,0.3196772758715409,False,1.6841044710120636,0.31788722325914376,1.6841286627489933,0.31790937005101605,False
cfg01_hw100_pl252_k0.5_mn0.5,BTC,100,252,0.5,0.5,9.854699760470117,1.067287964032431,9.855679074865842,1.0673092354078406,False,9.839908334565973,1.0652278739241183,9.84088617851966,1.0652491717139174,False
cfg01_hw100_pl252_k0.5_mn0.5,OIL,100,252,0.5,0.5,1.1800901317154795,0.2278813008384062,1.1798550873762443,0.22782375575083372,True,1.1783197097754887,0.22634810500937938,1.1780850183556857,0.2262905906561879,True
cfg02_hw100_pl252_k1.0_mn0.25,SP500,100,252,1.0,0.25,85.26631731355414,0.152986878523753,85.27722344483453,0.1530965091120862,False,85.13829027922452,0.1522271830160151,85.14917987853534,0.15233705290993851,False
cfg02_hw100_pl252_k1.0_mn0.25,GOLD,100,252,1.0,0.25,2.2310108438105587,0.5048896418469652,2.2312322553607693,0.5049170813430391,False,2.227662464313856,0.5018762405459933,2.227883543414292,0.5019039393179513,False
cfg02_hw100_pl252_k1.0_mn0.25,SILVER,100,252,1.0,0.25,1.6859646355712938,0.31949377323606354,1.686659698183187,0.3196772758715409,False,1.683434643774656,0.3177254698707911,1.6841286627489933,0.31790937005101605,False
cfg02_hw100_pl252_k1.0_mn0.25,BTC,100,252,1.0,0.25,9.8515505395937,1.0672008086539593,9.855679074865842,1.0673092354078406,False,9.836766552943184,1.0651407118966174,9.84088617851966,1.0652491717139174,False
cfg02_hw100_pl252_k1.0_mn0.25,OIL,100,252,1.0,0.25,1.1799454741036155,0.22779674034855565,1.1798550873762443,0.22782375575083372,False,1.1781756584193381,0.22626336554156853,1.1780850183556857,0.2262905906561879,False
cfg03_hw100_pl252_k1.0_mn0.5,SP500,100,252,1.0,0.5,85.26777436700671,0.1530245345505799,85.27722344483453,0.1530965091120862,False,85.13974498852185,0.1522649425840344,85.14917987853534,0.15233705290993851,False
cfg03_hw100_pl252_k1.0_mn0.5,GOLD,100,252,1.0,0.5,2.231278172918829,0.5049502709034689,2.2312322553607693,0.5049170813430391,True,2.2279293920270757,0.5019369290500856,2.227883543414292,0.5019039393179513,True
cfg03_hw100_pl252_k1.0_mn0.5,SILVER,100,252,1.0,0.5,1.686601365420063,0.319637693113707,1.686659698183187,0.3196772758715409,False,1.6840704175725991,0.31786961239701295,1.6841286627489933,0.31790937005101605,False
cfg03_hw100_pl252_k1.0_mn0.5,BTC,100,252,1.0,0.5,9.85358838487312,1.067264729885699,9.855679074865842,1.0673092354078406,False,9.83879862786135,1.0652046212810928,9.84088617851966,1.0652491717139174,False
cfg03_hw100_pl252_k1.0_mn0.5,OIL,100,252,1.0,0.5,1.18009352256475,0.22784969941091654,1.1798550873762443,0.22782375575083372,True,1.178323095577307,0.22631641465174956,1.1780850183556857,0.2262905906561879,True
cfg04_hw100_pl252_k1.5_mn0.25,SP500,100,252,1.5,0.25,85.25867460790097,0.15295033370463068,85.27722344483453,0.1530965091120862,False,85.13065904913415,0.1521905604755015,85.14917987853534,0.15233705290993851,False
cfg04_hw100_pl252_k1.5_mn0.25,GOLD,100,252,1.5,0.25,2.231046793641571,0.5049051524206283,2.2312322553607693,0.5049170813430391,False,2.2276983601661424,0.5018915767572429,2.227883543414292,0.5019039393179513,False
cfg04_hw100_pl252_k1.5_mn0.25,SILVER,100,252,1.5,0.25,1.686006070777879,0.3194879246383441,1.686659698183187,0.3196772758715409,False,1.683476016766224,0.317719551212682,1.6841286627489933,0.31790937005101605,False
cfg04_hw100_pl252_k1.5_mn0.25,BTC,100,252,1.5,0.25,9.848910300334722,1.0671341419609472,9.855679074865842,1.0673092354078406,False,9.834130278007427,1.0650740020791627,9.84088617851966,1.0652491717139174,False
cfg04_hw100_pl252_k1.5_mn0.25,OIL,100,252,1.5,0.25,1.1797234120117523,0.2276870050499117,1.1798550873762443,0.22782375575083372,False,1.1779542835296704,0.22615348675466027,1.1780850183556857,0.2262905906561879,False
cfg05_hw100_pl252_k1.5_mn0.5,SP500,100,252,1.5,0.5,85.26793129639613,0.15302803219130515,85.27722344483453,0.1530965091120862,False,85.13990168228169,0.1522684431911111,85.14917987853534,0.15233705290993851,False
cfg05_hw100_pl252_k1.5_mn0.5,GOLD,100,252,1.5,0.5,2.2313052566531555,0.5049630243223845,2.2312322553607693,0.5049170813430391,True,2.2279564350951375,0.5019496825548451,2.227883543414292,0.5019039393179513,True
cfg05_hw100_pl252_k1.5_mn0.5,SILVER,100,252,1.5,0.5,1.6866046502268106,0.31963144468667726,1.686659698183187,0.3196772758715409,False,1.684073697447207,0.3178633434115403,1.6841286627489933,0.31790937005101605,False
cfg05_hw100_pl252_k1.5_mn0.5,BTC,100,252,1.5,0.5,9.853352468566603,1.0672608847301988,9.855679074865842,1.0673092354078406,False,9.838563065783516,1.065200769444278,9.84088617851966,1.0652491717139174,False
cfg05_hw100_pl252_k1.5_mn0.5,OIL,100,252,1.5,0.5,1.180070818736048,0.2278233023291151,1.1798550873762443,0.22782375575083372,False,1.1783004258384384,0.22628996273796131,1.1780850183556857,0.2262905906561879,False
cfg06_hw100_pl504_k0.5_mn0.25,SP500,100,504,0.5,0.25,85.27126225346754,0.15304638135149695,85.27722344483453,0.1530965091120862,False,85.14322763790639,0.15228683552353087,85.14917987853534,0.15233705290993851,False
cfg06_hw100_pl504_k0.5_mn0.25,GOLD,100,504,0.5,0.25,2.231167689777011,0.5048871363714408,2.2312322553607693,0.5049170813430391,False,2.227819074775863,0.5018738826503051,2.227883543414292,0.5019039393179513,False
cfg06_hw100_pl504_k0.5_mn0.25,SILVER,100,504,0.5,0.25,1.6866701378113378,0.31967026937811693,1.686659698183187,0.3196772758715409,False,1.6841390867020256,0.31790226624022616,1.6841286627489933,0.31790937005101605,False
cfg06_hw100_pl504_k0.5_mn0.25,BTC,100,504,0.5,0.25,9.854293964781366,1.0672735840570848,9.855679074865842,1.0673092354078406,False,9.839503148180064,1.0652134879298456,9.84088617851966,1.0652491717139174,False
cfg06_hw100_pl504_k0.5_mn0.25,OIL,100,504,0.5,0.25,1.1800394183178342,0.22786022337762168,1.1798550873762443,0.22782375575083372,True,1.1782690725240912,0.22632702497883725,1.1780850183556857,0.2262905906561879,True
cfg07_hw100_pl504_k0.5_mn0.5,SP500,100,504,0.5,0.5,85.27126225346754,0.15304638135149695,85.27722344483453,0.1530965091120862,False,85.14322763790639,0.15228683552353087,85.14917987853534,0.15233705290993851,False
