config_id,asset,pctile_window_years,low_pctile,high_pctile,max_mult,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025,beats_dca_both_fees
cfg00_wy15_lo20_hi70_mx1.5_mn0.3,SP500,15,20,70,1.5,0.3,85.44184034764926,0.15462089524509262,85.27722344483453,0.15456792630709126,True,85.3139457490093,0.1538582564309396,85.14917987853534,0.1538084669523658,True,True
cfg01_wy15_lo20_hi70_mx1.5_mn0.5,SP500,15,20,70,1.5,0.5,85.28370276777159,0.15453845118613688,85.27722344483453,0.15456792630709126,False,85.155869900176,0.1537774198466768,85.14917987853534,0.1538084669523658,False,False
cfg02_wy15_lo20_hi70_mx2.0_mn0.3,SP500,15,20,70,2.0,0.3,85.02979291483746,0.154345018726798,85.27722344483453,0.15456792630709126,False,84.90237048558022,0.1535839149800754,85.14917987853534,0.1538084669523658,False,False
cfg03_wy15_lo20_hi70_mx2.0_mn0.5,SP500,15,20,70,2.0,0.5,85.14406795631862,0.1544455376505447,85.27722344483453,0.15456792630709126,False,85.01634717824585,0.15368503763569638,85.14917987853534,0.1538084669523658,False,False
cfg04_wy15_lo20_hi80_mx1.5_mn0.3,SP500,15,20,80,1.5,0.3,85.4611043394091,0.15465089686840044,85.27722344483453,0.15456792630709126,True,85.33309592017176,0.15388896670349,85.14917987853534,0.1538084669523658,True,True
cfg05_wy15_lo20_hi80_mx1.5_mn0.5,SP500,15,20,80,1.5,0.5,85.22180464913511,0.1544973596839456,85.27722344483453,0.15456792630709126,False,85.09403421188765,0.15373657134400256,85.14917987853534,0.1538084669523658,False,False
cfg06_wy15_lo20_hi80_mx2.0_mn0.3,SP500,15,20,80,2.0,0.3,85.02171480377179,0.1543436419787714,85.27722344483453,0.15456792630709126,False,84.89425370949371,0.15358273287595653,85.14917987853534,0.1538084669523658,False,False
cfg07_wy15_lo20_hi80_mx2.0_mn0.5,SP500,15,20,80,2.0,0.5,85.16194520093093,0.15446237062474155,85.27722344483453,0.15456792630709126,False,85.03415379682068,0.15370200617344537,85.14917987853534,0.1538084669523658,False,False
cfg08_wy15_lo30_hi70_mx1.5_mn0.3,SP500,15,30,70,1.5,0.3,85.46005033314194,0.1546492627093493,85.27722344483453,0.15456792630709126,True,85.33204955179151,0.1538872832975782,85.14917987853534,0.1538084669523658,True,True
cfg09_wy15_lo30_hi70_mx1.5_mn0.5,SP500,15,30,70,1.5,0.5,85.21678823351002,0.15449296822692274,85.27722344483453,0.15456792630709126,False,85.08903070203266,0.15373214174977443,85.14917987853534,0.1538084669523658,False,False
