config_id,illiq_lookback,top_n,signal_smooth_days,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb126_n1_sm1,126,1,1,0.7972273289536992,-0.14860876188119604,2.936827935697141,0.8017476338865982,False,0.6725016941023231,-0.339066724797719,2.932423704725081,0.7982484049375094,False
cfg01_lb126_n1_sm10,126,1,10,2.870129463036031,0.7976589523385934,2.936827935697141,0.8017476338865982,False,2.462004707675113,0.7047845696157496,2.932423704725081,0.7982484049375094,False
cfg02_lb126_n2_sm1,126,2,1,1.605496811477144,0.5720441108345092,2.936827935697141,0.8017476338865982,False,1.3655403764267018,0.3953523920769557,2.932423704725081,0.7982484049375094,False
cfg03_lb126_n2_sm10,126,2,10,2.312925143708298,0.8405877529577807,2.936827935697141,0.8017476338865982,False,2.045216382472206,0.726131376632602,2.932423704725081,0.7982484049375094,False
cfg04_lb126_n3_sm1,126,3,1,1.6385943934283498,0.6004886209638568,2.936827935697141,0.8017476338865982,False,1.4509091302049495,0.4192830131044709,2.932423704725081,0.7982484049375094,False
cfg05_lb126_n3_sm10,126,3,10,2.3182229438136774,1.044690547603495,2.936827935697141,0.8017476338865982,False,2.110673375028641,0.9248067595638741,2.932423704725081,0.7982484049375094,False
cfg06_lb252_n1_sm1,252,1,1,1.1741281958968015,0.24503349087811896,2.936827935697141,0.8017476338865982,False,0.9783787390739577,0.11626879485658986,2.932423704725081,0.7982484049375094,False
cfg07_lb252_n1_sm10,252,1,10,4.917475897817252,1.0849619389229173,2.936827935697141,0.8017476338865982,True,4.253842291290535,1.0218064390259576,2.932423704725081,0.7982484049375094,True
cfg08_lb252_n2_sm1,252,2,1,2.2944387649658764,0.8526252361509958,2.936827935697141,0.8017476338865982,False,1.9491214269596129,0.6837801656071131,2.932423704725081,0.7982484049375094,False
cfg09_lb252_n2_sm10,252,2,10,2.265787913808637,0.7930366597367783,2.936827935697141,0.8017476338865982,False,2.014188561455022,0.6869655685103666,2.932423704725081,0.7982484049375094,False
cfg10_lb252_n3_sm1,252,3,1,1.565460014849366,0.5925555806850907,2.936827935697141,0.8017476338865982,False,1.3900022541808388,0.4296027411928144,2.932423704725081,0.7982484049375094,False
cfg11_lb252_n3_sm10,252,3,10,2.3668005821174254,1.0312319364175513,2.936827935697141,0.8017476338865982,False,2.167840863324889,0.9254145363564267,2.932423704725081,0.7982484049375094,False
