config_id,asset,illiq_lookback,elevated_pct,decay_days,buy_multiplier,calm_fraction,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb126_ep90_dd5_bm1.5_cf0.85,SP500,126,90.0,5,1.5,0.85,78.74954374091489,0.16115533503161988,85.27722344483453,0.1530965091120862,False,78.63291664885327,0.16043692114820432,85.14917987853534,0.15233705290993851,False
cfg00_lb126_ep90_dd5_bm1.5_cf0.85,GOLD,126,90.0,5,1.5,0.85,2.2279435172306394,0.5073632269040798,2.2312322553607693,0.5049170813430391,False,2.224602660870021,0.504547211483005,2.227883543414292,0.5019039393179513,False
cfg00_lb126_ep90_dd5_bm1.5_cf0.85,SILVER,126,90.0,5,1.5,0.85,1.684238533623071,0.32084275939646023,1.686659698183187,0.3196772758715409,False,1.6817111335710986,0.31916539734065186,1.6841286627489933,0.31790937005101605,False
cfg00_lb126_ep90_dd5_bm1.5_cf0.85,BTC,126,90.0,5,1.5,0.85,9.382299321673509,1.0604724524503502,9.855679074865842,1.0673092354078406,False,9.368258810192062,1.0584916957404515,9.84088617851966,1.0652491717139174,False
cfg00_lb126_ep90_dd5_bm1.5_cf0.85,OIL,126,90.0,5,1.5,0.85,1.1791760908177213,0.2279300020937522,1.1798550873762443,0.22782375575083372,False,1.1774072641126943,0.22644559596942998,1.1780850183556857,0.2262905906561879,False
cfg01_lb126_ep90_dd5_bm1.5_cf0.95,SP500,126,90.0,5,1.5,0.95,84.43844357943242,0.1570252091592768,85.27722344483453,0.1530965091120862,False,84.31165961463859,0.15628406438218834,85.14917987853534,0.15233705290993851,False
cfg01_lb126_ep90_dd5_bm1.5_cf0.95,GOLD,126,90.0,5,1.5,0.95,2.23092263909114,0.5056875868521058,2.2312322553607693,0.5049170813430391,False,2.2275753601386037,0.502735556912266,2.227883543414292,0.5019039393179513,False
cfg01_lb126_ep90_dd5_bm1.5_cf0.95,SILVER,126,90.0,5,1.5,0.95,1.6855974824874986,0.31989361746377637,1.686659698183187,0.3196772758715409,False,1.6830680419717627,0.31815286462465825,1.6841286627489933,0.31790937005101605,False
cfg01_lb126_ep90_dd5_bm1.5_cf0.95,BTC,126,90.0,5,1.5,0.95,9.808922759975204,1.068357810068648,9.855679074865842,1.0673092354078406,False,9.794200339367384,1.0663252698847243,9.84088617851966,1.0652491717139174,False
cfg01_lb126_ep90_dd5_bm1.5_cf0.95,OIL,126,90.0,5,1.5,0.95,1.1799415990844049,0.22812138323930267,1.1798550873762443,0.22782375575083372,True,1.1781714744334442,0.22660411704458883,1.1780850183556857,0.2262905906561879,True
cfg02_lb126_ep90_dd5_bm2.0_cf0.85,SP500,126,90.0,5,2.0,0.85,81.86137590944655,0.16381910741592107,85.27722344483453,0.1530965091120862,False,81.73875646299419,0.16311362164478896,85.14917987853534,0.15233705290993851,False
cfg02_lb126_ep90_dd5_bm2.0_cf0.85,GOLD,126,90.0,5,2.0,0.85,2.2297665602392267,0.5071478803221858,2.2312322553607693,0.5049170813430391,False,2.2264229533501116,0.5043192170264432,2.227883543414292,0.5019039393179513,False
cfg02_lb126_ep90_dd5_bm2.0_cf0.85,SILVER,126,90.0,5,2.0,0.85,1.683494753597597,0.32016868099468015,1.686659698183187,0.3196772758715409,False,1.68096847033245,0.31848239704037634,1.6841286627489933,0.31790937005101605,False
cfg02_lb126_ep90_dd5_bm2.0_cf0.85,BTC,126,90.0,5,2.0,0.85,9.652550345841858,1.0680780414686397,9.855679074865842,1.0673092354078406,False,9.638063260771403,1.0661004478825826,9.84088617851966,1.0652491717139174,False
cfg02_lb126_ep90_dd5_bm2.0_cf0.85,OIL,126,90.0,5,2.0,0.85,1.1793615645392646,0.22821961469724078,1.1798550873762443,0.22782375575083372,False,1.177592459345166,0.2267342046124428,1.1780850183556857,0.2262905906561879,False
cfg03_lb126_ep90_dd5_bm2.0_cf0.95,SP500,126,90.0,5,2.0,0.95,85.0960887197741,0.1576351000225786,85.27722344483453,0.1530965091120862,False,84.96831729981479,0.15689448561670494,85.14917987853534,0.15233705290993851,False
