asset,strat_wealth_fee0.001,dca_wealth_fee0.001,strat_sharpe_fee0.001,dca_sharpe_fee0.001,strat_wealth_fee0.0025,dca_wealth_fee0.0025,strat_sharpe_fee0.0025,dca_sharpe_fee0.0025
SP500,85.28060701962373,85.27722344483453,0.1531050675504899,0.1530965091120862,85.15255837288258,85.14917987853534,0.152345562288178,0.15233705290993851
GOLD,2.2313696928173226,2.2312322553607693,0.5049628090385603,0.5049170813430391,2.228020774508306,2.227883543414292,0.5019495756691711,0.5019039393179513
SILVER,1.6868226191094884,1.686659698183187,0.31969603054841206,0.3196772758715409,1.6842913390492766,1.6841286627489933,0.31792804753899634,0.31790937005101605
BTC,9.85220837059192,9.855679074865842,1.0672329642907101,1.0673092354078406,9.837420685673676,9.84088617851966,1.0651728068881026,1.0652491717139174
OIL,1.180552843449731,1.1798550873762443,0.2279228610509689,0.22782375575083372,1.1787817267473792,1.1780850183556857,0.22638960475859193,0.2262905906561879
