config_id,asset,sharpe_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_sw40_pl504_k0.5_mm0.25,SP500,40,504,0.5,0.25,85.28004883029834,0.15310837519200568,85.27722344483453,0.1530965091120862,True,85.15200102167874,0.15234888954290132,85.14917987853534,0.15233705290993851,True
cfg00_sw40_pl504_k0.5_mm0.25,GOLD,40,504,0.5,0.25,2.231282963936126,0.5049286453660276,2.2312322553607693,0.5049170813430391,True,2.227934175850646,0.5019153945942734,2.227883543414292,0.5019039393179513,True
cfg00_sw40_pl504_k0.5_mm0.25,SILVER,40,504,0.5,0.25,1.6866999393284106,0.3196743730981203,1.686659698183187,0.3196772758715409,False,1.6841688434720783,0.3179063944716348,1.6841286627489933,0.31790937005101605,False
cfg00_sw40_pl504_k0.5_mm0.25,BTC,40,504,0.5,0.25,9.853568154585114,1.0672687227898674,9.855679074865842,1.0673092354078406,False,9.83877842778891,1.0652085871903336,9.84088617851966,1.0652491717139174,False
cfg00_sw40_pl504_k0.5_mm0.25,OIL,40,504,0.5,0.25,1.1803412968537959,0.2278743041848031,1.1798550873762443,0.22782375575083372,True,1.1785704977889764,0.22634104295223928,1.1780850183556857,0.2262905906561879,True
cfg01_sw40_pl504_k0.5_mm0.5,SP500,40,504,0.5,0.5,85.28004883029834,0.15310837519200568,85.27722344483453,0.1530965091120862,True,85.15200102167874,0.15234888954290132,85.14917987853534,0.15233705290993851,True
cfg01_sw40_pl504_k0.5_mm0.5,GOLD,40,504,0.5,0.5,2.231282963936126,0.5049286453660276,2.2312322553607693,0.5049170813430391,True,2.227934175850646,0.5019153945942734,2.227883543414292,0.5019039393179513,True
cfg01_sw40_pl504_k0.5_mm0.5,SILVER,40,504,0.5,0.5,1.6866999393284106,0.3196743730981203,1.686659698183187,0.3196772758715409,False,1.6841688434720783,0.3179063944716348,1.6841286627489933,0.31790937005101605,False
cfg01_sw40_pl504_k0.5_mm0.5,BTC,40,504,0.5,0.5,9.853568154585114,1.0672687227898674,9.855679074865842,1.0673092354078406,False,9.83877842778891,1.0652085871903336,9.84088617851966,1.0652491717139174,False
cfg01_sw40_pl504_k0.5_mm0.5,OIL,40,504,0.5,0.5,1.1803412968537959,0.2278743041848031,1.1798550873762443,0.22782375575083372,True,1.1785704977889764,0.22634104295223928,1.1780850183556857,0.2262905906561879,True
