date,excess_return
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,-0.00015458409943907013
17,0.0014307271852406211
18,-3.678120653549666e-05
19,-0.0010003548732691492
20,-0.002758835135938442
21,-8.712532330970024e-05
22,3.895469305570387e-07
23,-1.2600420470354479e-06
24,7.943422505318765e-07
25,9.425461603651541e-07
26,-9.818588887933188e-07
27,6.445791132181355e-07
28,-1.1117587504383408e-06
29,8.243545503994199e-08
30,4.31244005660858e-07
31,-3.787453354053838e-07
32,1.4735575857294236e-07
33,-3.694481377713998e-07
34,-1.8651022353211034e-07
35,-1.0148913631491396e-06
36,-4.437042635974109e-07
37,-1.9251832870104124e-07
38,-4.5966587332024743e-07
39,-3.5974026020291204e-07
40,-2.149308915955217e-07
41,-7.604365074964648e-07
42,-4.010617304039954e-07
43,2.6550191054575125e-07
44,-1.387219415782681e-07
45,-2.0523618067258552e-07
46,3.0398508472639917e-07
47,1.8521698832429934e-07
48,-7.075080928675703e-07
49,7.922092548628967e-08
50,2.4722109115415948e-08
51,-1.4288657657068881e-08
52,-4.734412348827988e-08
53,-1.7488715182700786e-07
54,4.674733511400575e-08
55,1.5757089344425879e-07
56,1.270000561803819e-06
57,1.290321171265596e-06
58,4.711489266062685e-07
59,7.838273505811343e-08
60,-7.252558951176268e-08
61,-4.979446677211285e-09
62,-3.1231026689226835e-07
63,-1.7758983434923436e-07
64,4.0808925667601413e-07
65,8.918265739232822e-07
66,8.001384381728371e-08
67,-3.117178781764096e-09
68,2.7291417470376444e-07
69,4.063419820621306e-08
70,-1.3289025968532542e-07
71,7.218308217815661e-08
72,7.205163949919325e-08
73,1.7780900041231007e-07
74,-2.5287192828571393e-08
75,-3.151730463279989e-08
76,3.769622731741862e-08
77,-2.7153971737803316e-09
78,1.1256265612935578e-07
79,2.2981673253319455e-08
80,-3.815564353359946e-08
81,-9.159638025835192e-09
82,9.92335014160517e-09
83,-4.644549607135673e-08
84,-6.185352561249857e-08
85,1.7273352104218985e-08
86,-2.448714626179793e-07
87,-8.654179306510912e-09
88,3.565698942775697e-08
89,7.350630759628274e-08
90,4.1533907157997876e-08
91,6.380659445248682e-09
92,4.0287192715204866e-08
93,2.1425553042853097e-08
94,2.4196556358546673e-08
95,-4.3491422463404206e-08
96,4.622810667598287e-09
97,2.9173303994767252e-08
98,9.332252757232595e-08
99,8.141061758060176e-09
100,7.277996694199373e-08
101,7.730039142117561e-09
102,6.637938976261637e-08
103,6.015694407057736e-08
104,6.993091217211144e-10
105,1.2465335874622952e-09
106,3.387148377331783e-08
107,1.927369179810512e-08
108,2.4835433265479878e-08
109,-4.710516436912115e-08
110,8.677138652046778e-09
111,-1.5531482144837128e-08
112,9.795258382183647e-09
113,5.084990424286673e-08
114,-7.82295588308557e-09
115,2.732391495285924e-08
116,-2.2414639433421257e-08
