config_id,asset,skew_window,neg_threshold,pos_threshold,buy_multiplier,reduce_fraction,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_sw60_nt-0.5_pt0.25_bm1.5_rf0.85,SP500,60,-0.5,0.25,1.5,0.85,85.15730239742437,0.15438551239250053,85.27722344483453,0.1530965091120862,False,85.02946826087141,0.15362782469568953,85.14917987853534,0.15233705290993851,False
cfg00_sw60_nt-0.5_pt0.25_bm1.5_rf0.85,GOLD,60,-0.5,0.25,1.5,0.85,2.2234635037630643,0.5038376386179004,2.2312322553607693,0.5049170813430391,False,2.220126456608781,0.5008556124733705,2.227883543414292,0.5019039393179513,False
cfg00_sw60_nt-0.5_pt0.25_bm1.5_rf0.85,SILVER,60,-0.5,0.25,1.5,0.85,1.683226819115749,0.31915824324696707,1.686659698183187,0.3196772758715409,False,1.680704051050011,0.31739166330901425,1.6841286627489933,0.31790937005101605,False
cfg00_sw60_nt-0.5_pt0.25_bm1.5_rf0.85,BTC,60,-0.5,0.25,1.5,0.85,9.901185611303736,1.0778407739078422,9.855679074865842,1.0673092354078406,True,9.8863335604918,1.0758071466807004,9.84088617851966,1.0652491717139174,True
cfg00_sw60_nt-0.5_pt0.25_bm1.5_rf0.85,OIL,60,-0.5,0.25,1.5,0.85,1.1818686507058815,0.22585527533539657,1.1798550873762443,0.22782375575083372,False,1.1800984614118712,0.22429973520947474,1.1780850183556857,0.2262905906561879,False
cfg01_sw60_nt-0.5_pt0.25_bm1.5_rf0.95,SP500,60,-0.5,0.25,1.5,0.95,85.31881075517043,0.1536468791673307,85.27722344483453,0.1530965091120862,True,85.19070476110159,0.15288846474851225,85.14917987853534,0.15233705290993851,True
cfg01_sw60_nt-0.5_pt0.25_bm1.5_rf0.95,GOLD,60,-0.5,0.25,1.5,0.95,2.2303123242913587,0.5052001729126347,2.2312322553607693,0.5049170813430391,False,2.2269649936227665,0.5021966683511343,2.227883543414292,0.5019039393179513,False
cfg01_sw60_nt-0.5_pt0.25_bm1.5_rf0.95,SILVER,60,-0.5,0.25,1.5,0.95,1.6861554309783577,0.3196165051901738,1.686659698183187,0.3196772758715409,False,1.6836251527021246,0.3178490794220155,1.6841286627489933,0.31790937005101605,False
cfg01_sw60_nt-0.5_pt0.25_bm1.5_rf0.95,BTC,60,-0.5,0.25,1.5,0.95,9.867070195763265,1.0699365756939703,9.855679074865842,1.0673092354078406,True,9.85226291141926,1.0678834093270313,9.84088617851966,1.0652491717139174,True
cfg01_sw60_nt-0.5_pt0.25_bm1.5_rf0.95,OIL,60,-0.5,0.25,1.5,0.95,1.1793976933397952,0.22741596988236765,1.1798550873762443,0.22782375575083372,False,1.1776292787953724,0.22587917927847584,1.1780850183556857,0.2262905906561879,False
cfg02_sw60_nt-0.5_pt0.25_bm2.0_rf0.85,SP500,60,-0.5,0.25,2.0,0.85,85.40817867830783,0.15481171717782463,85.27722344483453,0.1530965091120862,True,85.27993852944697,0.15405501997143634,85.14917987853534,0.15233705290993851,True
cfg02_sw60_nt-0.5_pt0.25_bm2.0_rf0.85,GOLD,60,-0.5,0.25,2.0,0.85,2.2270537047861265,0.5051560154096705,2.2312322553607693,0.5049170813430391,False,2.223711266939616,0.5021729129183417,2.227883543414292,0.5019039393179513,False
cfg02_sw60_nt-0.5_pt0.25_bm2.0_rf0.85,SILVER,60,-0.5,0.25,2.0,0.85,1.6849855444557988,0.31946461521029107,1.686659698183187,0.3196772758715409,False,1.6824578593968025,0.31769815949390273,1.6841286627489933,0.31790937005101605,False
cfg02_sw60_nt-0.5_pt0.25_bm2.0_rf0.85,BTC,60,-0.5,0.25,2.0,0.85,9.896106903500307,1.0761690050446886,9.855679074865842,1.0673092354078406,True,9.881261452070651,1.074131733131854,9.84088617851966,1.0652491717139174,True
cfg02_sw60_nt-0.5_pt0.25_bm2.0_rf0.85,OIL,60,-0.5,0.25,2.0,0.85,1.177247030257559,0.22609760276084645,1.1798550873762443,0.22782375575083372,False,1.1754837803335914,0.22455081463929394,1.1780850183556857,0.2262905906561879,False
cfg03_sw60_nt-0.5_pt0.25_bm2.0_rf0.95,SP500,60,-0.5,0.25,2.0,0.95,85.35234260866571,0.1538051024478361,85.27722344483453,0.1530965091120862,True,85.22418626646858,0.1530470590091648,85.14917987853534,0.15233705290993851,True
cfg03_sw60_nt-0.5_pt0.25_bm2.0_rf0.95,GOLD,60,-0.5,0.25,2.0,0.95,2.2304909914936117,0.5052391344428456,2.2312322553607693,0.5049170813430391,False,2.227143392555948,0.5022352151082459,2.227883543414292,0.5019039393179513,False
