asset,strat_wealth_fee0.001,dca_wealth_fee0.001,strat_sharpe_fee0.001,dca_sharpe_fee0.001,strat_wealth_fee0.0025,dca_wealth_fee0.0025,strat_sharpe_fee0.0025,dca_sharpe_fee0.0025
SP500,85.38690911378417,85.27722344483453,0.15407360211646653,0.1530965091120862,85.25870085428835,85.14917987853534,0.1533140923105572,0.15233705290993851
GOLD,2.218928597325724,2.2312322553607693,0.5012524619578259,0.5049170813430391,2.215605685568532,2.227883543414292,0.49825221962954885,0.5019039393179513
SILVER,1.682381876146785,1.686659698183187,0.31868104591705637,0.3196772758715409,1.6798611728226143,1.6841286627489933,0.31691395549489687,0.31790937005101605
BTC,9.88596729658933,9.855679074865842,1.0712108154170787,1.0673092354078406,9.87113706979467,9.84088617851966,1.0691574463526243,1.0652491717139174
OIL,1.1785207673914802,1.1798550873762443,0.22708278885712052,0.22782375575083372,1.1767560507272443,1.1780850183556857,0.22554481786975283,0.2262905906561879
