config_id,asset,signal_choice,lookback_years,stress_pctile,stress_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_credit_spread_lb5_pc70_tf0.0,SP500,credit_spread,5,70,0.0,6.0,83.78632688810397,0.1637046213645789,85.27722344483453,0.1530965091120862,False,83.66052190522335,0.16294810154750233,85.14917987853534,0.15233705290993851,False
cfg00_credit_spread_lb5_pc70_tf0.0,GOLD,credit_spread,5,70,0.0,6.0,2.0533170153303577,0.4661842339149227,2.2312322553607693,0.5049170813430391,False,2.050235443383929,0.4649324051543427,2.227883543414292,0.5019039393179513,False
cfg00_credit_spread_lb5_pc70_tf0.0,SILVER,credit_spread,5,70,0.0,6.0,1.540647360821827,0.3086321398387135,1.686659698183187,0.3196772758715409,False,1.5383355631314197,0.3079364497432697,1.6841286627489933,0.31790937005101605,False
cfg00_credit_spread_lb5_pc70_tf0.0,BTC,credit_spread,5,70,0.0,6.0,8.456124758928759,1.01588078088732,9.855679074865842,1.0673092354078406,False,8.443433295489392,1.0138091376672766,9.84088617851966,1.0652491717139174,False
cfg00_credit_spread_lb5_pc70_tf0.0,OIL,credit_spread,5,70,0.0,6.0,1.11558441283603,0.214104141337249,1.1798550873762443,0.22782375575083372,False,1.1139108463297946,0.21342200123368021,1.1780850183556857,0.2262905906561879,False
cfg01_credit_spread_lb5_pc70_tf0.25,SP500,credit_spread,5,70,0.25,6.0,84.22288063343129,0.1619600367399908,85.27722344483453,0.1530965091120862,False,84.09642016444666,0.16120078784977124,85.14917987853534,0.15233705290993851,False
cfg01_credit_spread_lb5_pc70_tf0.25,GOLD,credit_spread,5,70,0.25,6.0,2.1110041096120633,0.4861162837346026,2.2312322553607693,0.5049170813430391,False,2.1078359204069517,0.48436249190827885,2.227883543414292,0.5019039393179513,False
cfg01_credit_spread_lb5_pc70_tf0.25,SILVER,credit_spread,5,70,0.25,6.0,1.6038795736671794,0.32075389006267035,1.686659698183187,0.3196772758715409,False,1.601472832714243,0.31977217880142816,1.6841286627489933,0.31790937005101605,False
cfg01_credit_spread_lb5_pc70_tf0.25,BTC,credit_spread,5,70,0.25,6.0,8.84180858178262,1.031131208821994,9.855679074865842,1.0673092354078406,False,8.828538013504131,1.0290650579193128,9.84088617851966,1.0652491717139174,False
cfg01_credit_spread_lb5_pc70_tf0.25,OIL,credit_spread,5,70,0.25,6.0,1.1387515102883763,0.2203429933632046,1.1798550873762443,0.22782375575083372,False,1.137043158350532,0.21940406342588342,1.1780850183556857,0.2262905906561879,False
cfg02_credit_spread_lb5_pc80_tf0.0,SP500,credit_spread,5,80,0.0,6.0,84.29461869359281,0.16112546026048835,85.27722344483453,0.1530965091120862,False,84.16805050980308,0.16036345041570835,85.14917987853534,0.15233705290993851,False
cfg02_credit_spread_lb5_pc80_tf0.0,GOLD,credit_spread,5,80,0.0,6.0,2.164434418000474,0.4935309599937613,2.2312322553607693,0.5049170813430391,False,2.1611860031070926,0.4906883251562877,2.227883543414292,0.5019039393179513,False
cfg02_credit_spread_lb5_pc80_tf0.0,SILVER,credit_spread,5,80,0.0,6.0,1.6633950593759235,0.3208544245895365,1.686659698183187,0.3196772758715409,False,1.6608989558318286,0.3192273103946431,1.6841286627489933,0.31790937005101605,False
cfg02_credit_spread_lb5_pc80_tf0.0,BTC,credit_spread,5,80,0.0,6.0,9.112946678330966,1.043615298017577,9.855679074865842,1.0673092354078406,False,9.099268995793393,1.0415506382020898,9.84088617851966,1.0652491717139174,False
cfg02_credit_spread_lb5_pc80_tf0.0,OIL,credit_spread,5,80,0.0,6.0,1.136126698685988,0.20181739172198698,1.1798550873762443,0.22782375575083372,False,1.1344222879067054,0.20030550543856943,1.1780850183556857,0.2262905906561879,False
cfg03_credit_spread_lb5_pc80_tf0.25,SP500,credit_spread,5,80,0.25,6.0,84.48536556250215,0.15922288699841414,85.27722344483453,0.1530965091120862,False,84.35851097200235,0.15846037325090256,85.14917987853534,0.15233705290993851,False
cfg03_credit_spread_lb5_pc80_tf0.25,GOLD,credit_spread,5,80,0.25,6.0,2.187236336219224,0.4993370412959333,2.2312322553607693,0.5049170813430391,False,2.1839536842114,0.49644676082936473,2.227883543414292,0.5019039393179513,False
cfg03_credit_spread_lb5_pc80_tf0.25,SILVER,credit_spread,5,80,0.25,6.0,1.6704156097677538,0.32058857333738516,1.686659698183187,0.3196772758715409,False,1.667908964856707,0.31892196170361986,1.6841286627489933,0.31790937005101605,False
cfg03_credit_spread_lb5_pc80_tf0.25,BTC,credit_spread,5,80,0.25,6.0,9.33676211905219,1.0509888576793258,9.855679074865842,1.0673092354078406,False,9.32274837729432,1.0489277029786828,9.84088617851966,1.0652491717139174,False
cfg03_credit_spread_lb5_pc80_tf0.25,OIL,credit_spread,5,80,0.25,6.0,1.14649931073719,0.20795752455032016,1.1798550873762443,0.22782375575083372,False,1.1447793254653384,0.20643555337218847,1.1780850183556857,0.2262905906561879,False
cfg04_credit_spread_lb5_pc90_tf0.0,SP500,credit_spread,5,90,0.0,6.0,87.73830804932207,0.17394004664479423,85.27722344483453,0.1530965091120862,True,87.606569160794,0.17320364606800026,85.14917987853534,0.15233705290993851,True
cfg04_credit_spread_lb5_pc90_tf0.0,GOLD,credit_spread,5,90,0.0,6.0,2.211290600463411,0.5029108713138177,2.2312322553607693,0.5049170813430391,False,2.207971830941705,0.4998881292290095,2.227883543414292,0.5019039393179513,False
cfg04_credit_spread_lb5_pc90_tf0.0,SILVER,credit_spread,5,90,0.0,6.0,1.685031625785481,0.32043519123939423,1.686659698183187,0.3196772758715409,False,1.6825030349044359,0.31867701548733113,1.6841286627489933,0.31790937005101605,False
cfg04_credit_spread_lb5_pc90_tf0.0,BTC,credit_spread,5,90,0.0,6.0,9.791014789304867,1.0653119147257115,9.855679074865842,1.0673092354078406,False,9.77631898648055,1.0632531888958006,9.84088617851966,1.0652491717139174,False
cfg04_credit_spread_lb5_pc90_tf0.0,OIL,credit_spread,5,90,0.0,6.0,1.165562604927123,0.21563814418081578,1.1798550873762443,0.22782375575083372,False,1.1638139960904224,0.21407619425875424,1.1780850183556857,0.2262905906561879,False
cfg05_credit_spread_lb5_pc90_tf0.25,SP500,credit_spread,5,90,0.25,6.0,87.10737010704771,0.16908721714185948,85.27722344483453,0.1530965091120862,True,86.9765785727874,0.16834472961245944,85.14917987853534,0.15233705290993851,True
cfg05_credit_spread_lb5_pc90_tf0.25,GOLD,credit_spread,5,90,0.25,6.0,2.2175047267820713,0.5037179210812806,2.2312322553607693,0.5049170813430391,False,2.2141766267403677,0.500696519018284,2.227883543414292,0.5019039393179513,False
cfg05_credit_spread_lb5_pc90_tf0.25,SILVER,credit_spread,5,90,0.25,6.0,1.688029557854014,0.32048870575826915,1.686659698183187,0.3196772758715409,True,1.6854964655734683,0.31872742197896614,1.6841286627489933,0.31790937005101605,True
cfg05_credit_spread_lb5_pc90_tf0.25,BTC,credit_spread,5,90,0.25,6.0,9.807866557544987,1.065841961864583,9.855679074865842,1.0673092354078406,False,9.793145451765357,1.0637827039119065,9.84088617851966,1.0652491717139174,False
cfg05_credit_spread_lb5_pc90_tf0.25,OIL,credit_spread,5,90,0.25,6.0,1.1676610276314165,0.21773422891607447,1.1798550873762443,0.22782375575083372,False,1.1659092680098746,0.2161776483036582,1.1780850183556857,0.2262905906561879,False
cfg06_credit_spread_lb10_pc70_tf0.0,SP500,credit_spread,10,70,0.0,6.0,83.33496029947896,0.15682561964291503,85.27722344483453,0.1530965091120862,False,83.20983304420909,0.15606464928161304,85.14917987853534,0.15233705290993851,False
cfg06_credit_spread_lb10_pc70_tf0.0,GOLD,credit_spread,10,70,0.0,6.0,2.0374961895827846,0.45099316172131254,2.2312322553607693,0.5049170813430391,False,2.034438372629968,0.44821753550212956,2.227883543414292,0.5019039393179513,False
cfg06_credit_spread_lb10_pc70_tf0.0,SILVER,credit_spread,10,70,0.0,6.0,1.4832908061863872,0.2647149295941067,1.686659698183187,0.3196772758715409,False,1.4810651294488864,0.26311785493585055,1.6841286627489933,0.31790937005101605,False
cfg06_credit_spread_lb10_pc70_tf0.0,BTC,credit_spread,10,70,0.0,6.0,9.170115218582607,1.0450228137365503,9.855679074865842,1.0673092354078406,False,9.15635169739601,1.042958716047183,9.84088617851966,1.0652491717139174,False
cfg06_credit_spread_lb10_pc70_tf0.0,OIL,credit_spread,10,70,0.0,6.0,1.0512792630942107,0.15788266944387805,1.1798550873762443,0.22782375575083372,False,1.0497022508668663,0.1563769855887603,1.1780850183556857,0.2262905906561879,False
